tau1,tau2,tau3,tau4,p1,p2,p3,p4,g1,g2,g3,g4,TARGET
5.32033,2.15741,3.65854,2.25489,3.98205,1.30974,1.07246,2.05292,1.78731,1.46517,1.49050,1.09957,1.07943
3.57042,4.09913,5.81541,7.69541,2.78468,1.99639,1.91908,1.71701,1.58054,1.03143,1.30171,1.25606,1.05783
7.27606,6.13204,6.49401,2.42967,4.11385,1.30669,1.10512,1.89151,1.00270,1.11158,1.40401,1.17861,1.03386
5.40404,5.74777,9.92106,3.79583,3.56662,2.11601,1.42933,1.30521,1.89623,1.01531,1.86892,1.33072,1.12398
5.68168,7.55452,6.35409,8.21489,3.11105,2.12161,1.49068,1.69383,1.50405,1.93121,1.52432,1.28033,1.15472
6.69736,7.76331,4.12500,1.69720,2.51541,1.72926,2.02374,2.14876,1.64116,1.32957,1.10351,1.14917,1.07895
3.49530,7.86019,2.66788,2.67602,3.57500,1.31726,2.01266,1.51225,1.39813,1.23006,1.63340,1.79754,1.06995
9.23669,1.25863,7.20963,5.66172,2.52316,1.30047,2.24550,2.34805,1.45322,1.44802,1.23598,1.28674,1.06323
9.89825,7.21948,5.99640,3.49930,2.50705,2.15668,2.37084,1.38260,1.72030,1.75162,1.67345,1.22125,1.14633
6.21259,7.17361,5.61889,5.61604,2.29843,2.03550,2.39866,1.68458,1.14314,1.32296,1.10439,1.20486,1.05625
8.44360,4.53280,8.47338,2.31095,2.68674,2.24017,1.37023,2.12004,1.68819,1.51831,1.19749,1.11206,1.09826
8.50953,3.56887,7.22201,10.46328,2.54953,1.26293,2.11736,2.48734,1.01886,1.64746,1.60379,1.08961,1.07689
4.64692,9.53346,7.25463,6.61638,4.81445,1.17062,1.36126,1.07084,1.06911,1.06903,1.46984,1.82550,1.11298
1.49325,2.10426,4.57117,3.18186,3.25756,2.28635,1.62813,1.24513,1.68880,1.88315,1.68407,1.91283,1.12035
6.36905,8.96371,6.39869,8.59997,3.60441,2.26047,1.34603,1.20626,1.48147,1.40566,1.23366,1.29661,1.11498
1.46282,3.72138,3.09361,9.43355,3.11492,1.63989,1.92864,1.73372,1.40841,1.03904,1.02633,1.87883,1.06897
10.01274,2.06606,7.76697,9.87920,3.80443,1.37587,1.62653,1.61035,1.15747,1.55344,1.43743,1.17842,1.06226
7.68770,3.43568,9.79730,6.76912,3.16250,1.84362,1.63165,1.77939,1.49109,1.93351,1.08521,1.01235,1.07281
3.33558,9.86658,9.44358,3.02973,3.47757,1.60375,1.53703,1.79883,1.20732,1.30963,1.51538,1.09608,1.08096
5.60428,8.63284,10.33880,8.15273,3.75606,2.48786,1.04259,1.13066,1.56731,1.44701,1.72580,1.47628,1.14727
9.83718,5.02116,1.18826,6.31251,2.05355,2.32033,1.60557,2.43773,1.85732,1.38090,1.02069,1.19589,1.10277
4.12985,10.18553,1.64449,1.66297,2.93534,1.77753,1.65956,2.04473,1.70564,1.94883,1.83618,1.34041,1.05404
7.08882,7.93753,2.47929,3.69754,4.33589,1.73533,1.20729,1.13865,1.65008,1.51272,1.77788,1.10036,1.09945
7.80797,4.21843,1.38966,10.32053,3.80885,1.87017,1.61996,1.11820,1.14812,1.23613,1.18978,1.20583,1.02299
8.42439,9.00993,5.42548,3.56241,2.53312,1.95340,1.92619,2.00446,1.57454,1.14317,1.37082,1.93121,1.10866
7.64964,5.33709,3.74362,2.58869,3.95703,1.01806,1.62397,1.81811,1.26927,1.02272,1.79202,1.52781,1.05278
5.76255,3.98065,7.44896,6.63949,4.27708,1.09201,1.11991,1.92818,1.70637,1.33996,1.12312,1.90911,1.14169
8.02870,1.98894,8.83304,10.14024,1.48375,2.43119,2.22792,2.27431,1.52150,1.85262,1.21570,1.41838,1.08491
7.19234,4.75498,1.29797,9.14064,2.42298,1.96474,1.58161,2.44784,1.05316,1.51265,1.10178,1.91515,1.10122
2.20261,8.94323,8.02675,9.35382,3.04191,1.45065,1.58705,2.33757,1.68857,1.33817,1.27323,1.48128,1.08820
5.60219,2.17455,2.58603,5.30487,3.23120,2.20319,1.03822,1.94456,1.76573,1.46532,1.86754,1.90320,1.14466
4.20194,5.48270,10.20551,9.15164,3.79357,2.22590,1.16970,1.22800,1.35555,1.18873,1.28849,1.22653,1.07261
3.69760,3.22439,6.06095,7.24869,3.25776,1.97457,2.02419,1.16065,1.65578,1.01143,1.60548,1.66659,1.12191
2.28395,2.22681,9.26563,8.11526,2.52855,1.73170,2.05259,2.10434,1.81911,1.59500,1.70766,1.09228,1.05691
10.17894,3.94196,5.35425,7.43399,3.17074,1.69583,2.25639,1.29422,1.62223,1.25565,1.19370,1.47875,1.10837
6.05813,1.58941,5.05865,7.41182,3.02992,1.92348,1.87012,1.59365,1.93130,1.02056,1.90810,1.33059,1.14453
8.76526,1.14782,9.20383,7.79353,3.15670,1.33919,1.74006,2.18122,1.23226,1.64341,1.37907,1.37021,1.06773
8.08893,7.83409,4.38768,2.11424,2.83214,2.11200,1.75903,1.71401,1.18576,1.62890,1.13380,1.45660,1.07104
5.73039,2.92882,7.63714,4.97731,2.76871,1.24669,2.02874,2.37304,1.80028,1.51626,1.27243,1.17928,1.10375
4.27813,6.98335,1.15586,7.38611,3.00920,2.26419,1.85036,1.29342,1.42162,1.37915,1.71660,1.79087,1.09189
1.58673,8.10333,8.01243,6.33527,2.68911,1.67303,1.88803,2.16701,1.69904,1.55574,1.78949,1.11762,1.10192
3.55819,7.08507,5.16628,5.88353,4.40942,1.49206,1.00951,1.50618,1.37647,1.79752,1.13729,1.35214,1.11229
6.85091,9.78921,8.74434,9.96726,2.44894,2.29534,2.12672,1.54617,1.84248,1.21211,1.11734,1.91923,1.14634
8.54240,8.19766,2.71798,6.06980,1.94469,1.93771,2.45313,2.08164,1.76781,1.81853,1.93972,1.15807,1.13193
4.21106,2.53507,5.93507,2.16318,4.34628,1.15713,1.22787,1.68589,1.89496,1.72097,1.80018,1.66442,1.14109
2.69386,5.98145,9.05005,10.29514,3.71410,1.86375,1.82734,1.01199,1.33962,1.43732,1.56310,1.15285,1.09254
6.69290,2.07456,2.67102,2.12501,3.01179,1.25857,2.07263,2.07418,1.31714,1.07126,1.20981,1.48411,1.03412
3.33724,5.48031,8.68158,5.77450,3.05423,1.39761,2.47597,1.48936,1.02478,1.47342,1.63737,1.28374,1.10434
7.82515,8.20495,7.44501,9.22653,2.18335,2.31273,1.45253,2.46856,1.83391,1.16323,1.72308,1.20980,1.14486
10.04588,3.28274,9.03552,1.19556,3.58628,1.34438,1.39214,2.09437,1.12449,1.58038,1.43414,1.14850,1.04778
6.99942,4.26961,4.55062,6.13338,2.84422,1.94007,1.23940,2.39348,1.54239,1.32270,1.27925,1.14878,1.08764
6.13456,3.95065,4.40714,10.37809,3.13093,1.33358,2.47755,1.47511,1.32176,1.79091,1.56559,1.69722,1.11569
8.45345,7.23711,5.59366,3.16353,3.12556,1.16525,1.99020,2.13616,1.22178,1.72700,1.30842,1.75620,1.11464
6.27960,2.20230,4.19180,9.10357,3.80178,1.68315,1.84284,1.08939,1.82423,1.29515,1.30774,1.19348,1.08942
6.88223,9.04969,10.04322,8.89563,2.67278,2.30908,1.88949,1.54582,1.38772,1.90317,1.20388,1.14559,1.13079
10.28925,3.20797,3.03659,8.43058,2.71883,1.58102,1.88581,2.23151,1.68634,1.03105,1.37501,1.43291,1.09810
7.34076,4.89148,3.47420,10.04800,2.26053,1.66261,2.43615,2.05788,1.44362,1.09205,1.46051,1.91564,1.11744
7.59933,8.68134,7.87105,10.36240,3.48138,2.21032,1.32726,1.39821,1.11523,1.30864,1.04141,1.25036,1.07606
8.50641,7.46859,1.72106,1.27146,1.91979,1.82786,2.31029,2.35923,1.79945,1.82707,1.60111,1.39265,1.09868
2.67087,8.69531,3.73206,2.68740,3.52032,1.90363,1.17117,1.82205,1.48530,1.31758,1.13825,1.25565,1.04635
4.96975,1.25000,9.87697,2.74381,4.25794,1.44638,1.31918,1.39368,1.49270,1.94176,1.21639,1.18025,1.04833
7.78502,3.19245,10.36491,4.59578,1.89435,2.45322,2.19784,1.87176,1.17935,1.73387,1.68838,1.83260,1.10580
2.66436,6.45867,9.69221,3.06265,2.77535,2.00759,2.28710,1.34714,1.20101,1.36268,1.23308,1.66462,1.06066
9.63800,6.69821,7.56812,5.49772,3.97190,1.63969,1.49628,1.30930,1.39589,1.47524,1.84652,1.18633,1.13879
3.65407,8.46710,8.71939,1.49057,3.47105,2.02618,1.82643,1.09352,1.63082,1.41562,1.03038,1.07362,1.04575
4.66216,3.23308,9.03856,6.37964,2.84333,1.97188,1.96385,1.63811,1.51043,1.23625,1.62483,1.10781,1.09015
1.29413,9.90663,5.09249,3.36031,2.39661,1.95999,2.30554,1.75504,1.64411,1.80925,1.10244,1.57990,1.06266
2.31083,8.71435,5.40927,5.86916,4.19118,1.23238,1.13508,1.85852,1.92467,1.84577,1.27779,1.90680,1.13238
3.42841,8.14320,3.67154,2.26653,2.43632,2.14988,1.87308,1.95790,1.38811,1.63597,1.46709,1.03707,1.07213
2.55654,1.11659,2.46611,4.84962,3.66356,1.99885,1.13836,1.61640,1.79910,1.02504,1.59517,1.76256,1.08222
2.94392,3.61736,7.23656,3.15240,4.03071,1.56381,1.50330,1.31935,1.20521,1.47000,1.70293,1.71148,1.09733
2.29490,7.14273,6.09533,8.55810,3.09808,2.39558,1.61131,1.31220,1.54222,1.81405,1.74240,1.77151,1.15257
2.40757,3.55903,9.38596,2.19536,3.02687,2.18091,1.08038,2.12901,1.02382,1.24241,1.05996,1.59788,1.03142
2.70781,4.61861,9.65434,6.04871,3.57885,1.23896,2.39651,1.20286,1.18126,1.52067,1.84623,1.10597,1.09967
3.43217,1.13358,9.68720,4.31814,2.54255,1.27592,2.36018,2.23852,1.82497,1.90594,1.84546,1.71480,1.05786
3.22673,8.92262,6.30290,1.33030,3.73813,1.36961,1.12582,2.18361,1.43019,1.56571,1.24960,1.04405,1.06937
1.64361,1.36185,4.22446,2.34776,1.65773,2.01423,2.26035,2.48486,1.68690,1.38690,1.33645,1.75231,1.05439
7.33730,3.04334,6.19195,2.66931,2.39949,1.37519,2.22061,2.42187,1.88729,1.82574,1.40658,1.62254,1.12432
8.49369,9.41704,6.20217,10.17751,3.17656,1.10829,2.10239,2.02993,1.09106,1.49377,1.56605,1.48204,1.12572
1.08180,5.78037,5.67013,5.01045,4.23920,1.54817,1.11430,1.51550,1.90762,1.35283,1.55457,1.49614,1.07648
4.56036,1.74507,2.08655,6.24571,2.89062,1.69477,2.16832,1.66346,1.81640,1.37333,1.49930,1.69346,1.10231
4.72666,8.54202,5.04812,3.78154,3.09628,1.97732,1.87988,1.46368,1.00444,1.05252,1.29467,1.11584,1.04230
2.35667,8.24407,3.41431,4.39535,3.28746,1.22949,1.59870,2.30153,1.07621,1.07917,1.58665,1.37263,1.02719
9.93654,9.25630,2.80599,1.97089,2.30715,2.16225,1.53546,2.41231,1.21764,1.55146,1.50313,1.27978,1.06215
7.13146,9.94519,9.78398,4.55778,3.95645,1.26803,2.13365,1.05905,1.54282,1.30350,1.43064,1.75635,1.12807
5.08912,2.83611,5.54360,6.72009,2.96945,1.95541,2.07324,1.41906,1.72088,1.09465,1.87840,1.61422,1.15155
1.50409,4.00733,10.46367,6.96559,3.07843,1.17048,2.04427,2.12400,1.09919,1.64841,1.68008,1.14641,1.08204
3.92976,7.84260,2.31403,3.64852,2.66512,1.31812,1.93562,2.49831,1.09999,1.09139,1.32645,1.56316,1.03484
1.02661,1.52157,1.46394,1.49142,3.45932,1.58778,1.98287,1.38720,1.84959,1.20197,1.07413,1.42838,1.02012
5.90178,7.33505,3.76566,2.66258,2.12653,2.35030,1.75193,2.18842,1.15307,1.73885,1.37140,1.06999,1.08449
2.03641,9.67004,8.74910,8.80286,3.12651,2.05485,1.85823,1.37758,1.54047,1.43871,1.65041,1.63846,1.12398
9.06310,9.15989,9.60854,1.65404,4.16987,1.11042,1.59954,1.53734,1.32798,1.82689,1.09411,1.01442,1.11030
10.43799,3.97555,6.99197,1.68497,2.56736,2.41570,1.84717,1.58694,1.33419,1.19948,1.01700,1.87201,1.04794
5.05186,5.25638,9.68348,1.61545,3.47306,1.85645,1.73781,1.34985,1.29213,1.94398,1.27922,1.69290,1.08047
9.86660,3.91696,3.59152,7.21349,2.67777,2.23895,1.45532,2.04513,1.42893,1.60112,1.16640,1.12352,1.06653
1.40668,1.74271,9.00431,4.83301,1.60112,2.04444,2.28886,2.48276,1.24970,1.03780,1.65271,1.23990,1.05552
7.75898,10.10430,1.62437,8.51363,2.15777,2.00757,2.11274,2.13909,1.40348,1.32756,1.36399,1.10719,1.06870
5.60895,7.29745,1.38934,10.27627,2.09910,2.44536,1.73550,2.13721,1.85193,1.71894,1.72830,1.90167,1.12888
7.55019,9.58935,9.70267,8.43348,2.18545,2.31953,1.96850,1.94369,1.82602,1.77393,1.51591,1.79963,1.17606
1.10699,10.24644,4.55771,7.72145,2.77062,2.38949,2.20746,1.04960,1.32455,1.59335,1.82911,1.79448,1.11965
7.63210,4.09419,8.35025,9.68026,3.01829,2.19264,1.79959,1.40666,1.92840,1.34763,1.82609,1.48144,1.16007
7.41824,1.71562,9.54640,6.79415,2.99221,1.77011,2.49373,1.16113,1.76907,1.78398,1.60366,1.14995,1.10261
3.66834,2.26297,5.38575,4.62728,4.08763,1.16852,1.26872,1.89231,1.00124,1.59078,1.60227,1.86938,1.10900
5.23231,2.34046,8.91692,5.35158,3.54976,1.28607,2.28046,1.30088,1.15858,1.20288,1.60157,1.11704,1.06721
10.17730,10.48144,2.09815,1.21584,2.78913,2.45634,2.02061,1.15109,1.53560,1.66981,1.58207,1.39709,1.07709
6.55470,9.17192,8.52135,9.41032,4.03802,1.03890,1.91168,1.42857,1.56882,1.55982,1.33071,1.93357,1.15908
4.47248,6.15468,4.01762,1.91704,2.20489,2.39428,2.13363,1.68437,1.90575,1.82783,1.64081,1.39247,1.15040
3.00099,3.58705,7.99311,2.67747,3.23488,2.04091,1.95566,1.18572,1.45304,1.05775,1.48430,1.30781,1.04470
1.00594,6.89010,1.25680,4.86611,3.63427,1.35488,2.42700,1.00102,1.27962,1.26894,1.52260,1.35896,1.04563
10.30738,6.66332,1.50572,6.18637,2.47192,1.91548,1.83473,2.19506,1.19609,1.02176,1.55938,1.12780,1.03084
7.02226,1.29407,6.33003,4.84684,2.38133,1.94745,2.11092,1.97747,1.38047,1.05657,1.84403,1.41625,1.11573
5.52909,6.46161,3.13818,4.96869,3.92196,1.06398,1.32142,2.10980,1.01974,1.85084,1.57146,1.48744,1.11758
1.25103,9.53504,9.51240,3.39168,3.99682,2.16376,1.08105,1.17554,1.31256,1.55740,1.72572,1.84178,1.09990
6.44043,9.08373,4.68116,6.40887,2.51544,2.27440,2.28963,1.33771,1.19928,1.38545,1.69839,1.36507,1.11227
2.21721,9.00038,4.96265,1.85840,3.00382,1.85064,1.08935,2.47337,1.46557,1.20387,1.74756,1.56220,1.06045
4.71607,2.05808,2.52223,7.64256,1.70441,1.89101,2.35576,2.46600,1.08827,1.54053,1.81915,1.39549,1.04725
2.57839,10.13053,3.80799,4.44133,3.01841,1.68160,1.80372,1.91345,1.60495,1.72797,1.07715,1.34376,1.06860
1.27842,2.41729,5.72118,1.05669,2.84632,1.63200,2.28466,1.65420,1.46169,1.39956,1.54355,1.65467,1.03778
9.13317,8.48428,3.35121,5.53292,4.03345,1.64575,1.15440,1.58356,1.06883,1.56199,1.25066,1.94689,1.11786
4.53100,3.62437,7.16443,5.41750,3.75347,1.80397,1.09513,1.76460,1.63337,1.68417,1.60722,1.90601,1.16630
4.21605,4.22956,7.90518,2.39730,3.59349,1.09352,2.17767,1.55249,1.32530,1.42231,1.80574,1.25104,1.09833
7.99255,5.94347,6.65148,2.57381,3.43112,2.28254,1.35351,1.35001,1.89965,1.69153,1.74737,1.07871,1.15718
4.89785,8.52242,5.35957,6.56806,3.80962,1.50315,1.76043,1.34396,1.31821,1.05717,1.81648,1.84758,1.14108
6.17866,3.79062,3.05821,2.24194,3.70281,1.46467,1.40953,1.84017,1.50797,1.69290,1.10411,1.46556,1.07277
8.73200,5.30378,4.81828,7.04439,3.63455,1.64157,1.68188,1.45917,1.57016,1.48036,1.77241,1.54780,1.14959
10.21957,6.70092,4.77621,1.44971,3.62457,1.62323,1.17653,1.99285,1.91089,1.73590,1.72462,1.21099,1.13199
8.86520,3.78588,8.31951,4.11140,3.07613,1.51350,1.85178,1.97576,1.29470,1.27125,1.64889,1.07358,1.09402
5.61599,1.84963,7.58286,1.35648,3.42514,1.34829,1.56192,2.08183,1.47535,1.46739,1.21545,1.67051,1.03069
8.89563,3.92977,9.72095,2.19804,3.02688,1.19405,2.43652,1.75972,1.82649,1.17297,1.02778,1.57563,1.07325
6.73468,6.34042,4.35552,10.09968,4.59234,1.06093,1.35473,1.40918,1.59896,1.10949,1.59033,1.39132,1.11022
8.42947,4.12359,9.53043,2.53871,2.14216,1.47139,2.34783,2.45580,1.54804,1.14898,1.84338,1.53756,1.11289
8.54696,7.25052,8.29654,3.71385,4.42256,1.12129,1.76381,1.10951,1.14333,1.11304,1.91564,1.63370,1.11589
7.42575,1.67098,9.80972,9.91591,3.08069,1.42473,2.05973,1.85203,1.79098,1.72065,1.47726,1.14739,1.09681
5.50549,2.74233,3.84450,7.89569,3.61430,2.09029,1.24734,1.46525,1.46481,1.36757,1.52551,1.01405,1.05733
8.52887,1.80240,4.07362,1.98701,3.20003,2.06457,1.99162,1.16095,1.57042,1.11501,1.29248,1.43213,1.06239
1.23144,6.95706,3.01885,7.96680,3.50674,1.37853,2.44793,1.08398,1.36177,1.88606,1.37041,1.31298,1.08936
5.86495,5.11005,8.07038,6.39209,3.40382,1.44399,1.94736,1.62200,1.67231,1.45289,1.89177,1.24300,1.15181
7.47591,7.98069,8.07471,9.22387,3.79215,1.14361,1.42366,2.05775,1.18773,1.89434,1.34337,1.50843,1.14517
1.73752,8.27960,10.23458,2.35328,3.15299,1.95250,1.25733,2.05435,1.27810,1.29499,1.55218,1.39017,1.06320
9.79959,8.81662,1.39134,7.33840,3.67223,1.31798,1.75476,1.67219,1.74058,1.26270,1.08157,1.84354,1.13315
4.87069,2.74699,9.60194,6.59616,3.35013,1.77896,1.21366,2.07441,1.86882,1.30708,1.39554,1.37950,1.10834
3.73996,4.71453,3.98160,9.79777,4.32797,1.66603,1.34661,1.07656,1.80939,1.38402,1.16048,1.40779,1.07754
9.36873,9.13525,4.86899,9.58092,3.08482,2.16747,1.97780,1.18709,1.35396,1.62725,1.72495,1.33278,1.13427
4.95517,5.95229,8.68557,1.62398,3.79952,1.30167,1.13166,2.18432,1.79237,1.85395,1.74254,1.32343,1.14303
6.82057,8.60244,1.31665,6.08984,2.63865,1.71602,1.90885,2.15365,1.89927,1.10496,1.80283,1.63519,1.10420
7.69511,6.75228,4.16146,9.98894,3.40306,1.29436,2.33339,1.38637,1.73139,1.09524,1.54693,1.17782,1.10580
6.88706,6.24695,1.26127,8.11181,2.79048,2.11672,1.55425,1.95573,1.64108,1.34020,1.38996,1.83978,1.12422
7.42843,3.54313,5.07405,2.88645,2.74821,2.19942,2.35811,1.11144,1.09245,1.90452,1.62702,1.81398,1.12597
6.88004,3.18398,4.57792,7.29474,1.57917,2.21059,2.25199,2.37542,1.43871,1.84610,1.64462,1.19076,1.11499
9.41330,1.09126,3.89926,1.82612,3.97034,1.19470,1.07346,2.17868,1.04191,1.38121,1.31888,1.05460,1.03488
3.18887,9.70607,3.86751,3.23503,2.84408,1.80347,2.12526,1.64436,1.49671,1.90915,1.05235,1.55110,1.08371
2.95219,7.45016,4.23513,4.26677,4.39786,1.08817,1.27492,1.65623,1.53176,1.79157,1.24743,1.25306,1.09768
2.51845,1.78817,8.83474,8.68274,2.10698,1.98724,2.39201,1.93095,1.09283,1.32377,1.70340,1.55974,1.09878
7.19443,1.98711,2.19990,4.02767,3.33240,2.06203,1.97158,1.05117,1.50651,1.87514,1.35528,1.60059,1.05876
3.54992,8.57966,1.36162,5.16847,3.32432,1.92535,1.85845,1.30906,1.21384,1.10827,1.43382,1.34545,1.04225
8.41766,1.99929,4.94252,8.65491,3.55432,2.07758,1.57718,1.20809,1.13659,1.85622,1.92732,1.05407,1.06305
6.80146,9.47803,7.90302,5.43318,4.25945,1.12897,1.54275,1.48601,1.05522,1.90691,1.11755,1.46236,1.11810
1.56216,2.11976,3.39665,6.47694,3.75657,1.76316,1.75797,1.13948,1.22034,1.60057,1.43575,1.19334,1.03361
1.17648,1.14834,4.37856,3.71764,3.08903,2.36889,1.84800,1.11125,1.26573,1.59177,1.12073,1.03997,1.02777
9.68152,3.65505,1.73840,1.62979,4.50904,1.70303,1.09891,1.10619,1.54057,1.80263,1.48505,1.81576,1.06354
3.19207,1.56880,4.42351,2.13072,2.95751,1.64235,1.87430,1.94301,1.44627,1.24066,1.38983,1.51090,1.02806
8.54830,7.66880,1.25187,8.96696,3.88383,1.39558,2.10728,1.03048,1.91563,1.86831,1.76890,1.77743,1.14438
9.08182,6.87815,4.21436,5.41442,3.60419,1.61860,2.08932,1.10506,1.77490,1.58109,1.01665,1.88284,1.14682
5.84780,3.00892,1.27278,10.42020,3.49810,2.01864,1.27588,1.62455,1.02593,1.50002,1.76970,1.72449,1.04574
1.29297,1.33728,1.66256,3.30471,4.52574,1.75683,1.05041,1.08419,1.77151,1.89503,1.36066,1.30959,1.02385
5.85663,7.75718,5.33581,4.61951,3.53012,1.28235,2.16252,1.44219,1.80928,1.69386,1.38045,1.73620,1.16418
8.37717,1.10849,1.42679,6.42210,3.40278,1.55793,1.50305,1.95340,1.43265,1.55099,1.79735,1.18815,1.05234
3.36556,2.59277,7.36571,3.56059,2.81619,1.22518,1.97247,2.40332,1.49199,1.22852,1.66698,1.37066,1.07988
8.24445,4.81155,8.39260,1.41733,2.87537,1.57488,1.70860,2.25832,1.52619,1.80188,1.12196,1.73861,1.07615
4.54485,2.89252,1.70440,6.27785,3.19473,1.88394,1.31553,2.02298,1.28104,1.24288,1.28624,1.88902,1.08251
6.47647,6.50598,4.30862,7.83562,3.56634,1.81557,1.10230,1.93296,1.62652,1.55175,1.66152,1.21622,1.13827
2.38334,1.25632,4.26637,4.10675,3.30838,2.32536,1.18678,1.59665,1.59085,1.60590,1.66139,1.84064,1.10747
1.81073,2.42785,10.14534,1.79598,4.22440,1.50586,1.32828,1.35864,1.47322,1.25953,1.26629,1.09639,1.05035
4.38990,6.67956,2.54267,1.81705,2.89002,1.72027,2.22846,1.57843,1.48249,1.84778,1.83747,1.26521,1.10277
8.60617,8.88045,2.62542,6.91853,2.77420,1.12547,2.18348,2.33402,1.17173,1.78127,1.81745,1.79668,1.13023
3.93176,1.44393,3.82398,8.23488,3.55203,1.50394,1.60125,1.75994,1.35896,1.34217,1.28086,1.60597,1.05785
7.49939,4.09111,1.86662,5.80099,2.26503,1.99539,2.33543,1.82132,1.23009,1.02007,1.84195,1.42207,1.04050
2.99257,8.03483,2.36380,9.72221,3.21054,1.36100,1.97520,1.87043,1.77454,1.63407,1.68785,1.81643,1.10396
3.55888,3.37854,3.44858,1.17107,3.52755,1.70089,2.18219,1.00655,1.22201,1.09715,1.32576,1.85286,1.03258
1.34587,9.18934,7.58449,7.83350,3.68056,1.15395,2.15615,1.42651,1.46140,1.44691,1.74203,1.51329,1.11791
3.82222,5.27405,1.69158,3.05168,2.38283,2.20604,1.34767,2.48064,1.42238,1.01435,1.13283,1.31574,1.04889
7.51287,7.16170,6.33108,8.49752,3.90841,2.16305,1.05692,1.28878,1.20976,1.47300,1.59794,1.09365,1.11242
8.33432,8.13229,3.62966,3.08736,3.88929,1.33988,1.22201,1.96599,1.37513,1.63275,1.45906,1.26010,1.10060
1.48203,1.78412,7.92510,8.38356,2.68907,2.00537,2.19675,1.52598,1.69735,1.67419,1.21736,1.11924,1.04211
9.97315,4.81252,2.37779,7.80996,4.09552,1.76824,1.48368,1.06974,1.27623,1.74541,1.37751,1.28323,1.08078
7.67631,6.52582,6.17664,5.31478,2.22495,2.25164,1.72111,2.21946,1.03301,1.55758,1.00125,1.06358,1.04424
7.67277,5.27110,5.60861,3.96412,4.10458,1.35768,1.81175,1.14316,1.49326,1.31649,1.57373,1.74349,1.13363
7.79486,1.61632,10.02074,2.73848,1.94423,2.14942,1.83759,2.48593,1.76889,1.86764,1.28141,1.11102,1.06422
1.05102,5.02439,10.03439,10.46522,4.35621,1.17920,1.68960,1.19216,1.56118,1.87112,1.80115,1.18918,1.09304
