TARGET,GiftCnt36,GiftCntAll,GiftCntCard36,GiftCntCardAll,GiftAvgLast,GiftAvg36,GiftAvgAll,GiftTimeLast,GiftTimeFirst,PromCnt12,PromCnt36,PromCntAll,PromCntCard12,PromCntCard36,PromCntCardAll,DemMedHomeValue,DemPctVeterans,DemMedIncome
19,3,5,1,2,16,12,10.4,20,40,12,33,35,6,16,15,144300,9,0
5,4,16,3,10,5,5.5,6.5,16,92,7,19,46,3,9,18,46400,38,45096
5,10,42,7,24,5,5.2,5.29,22,130,10,30,79,5,16,33,46500,37,45084
20,1,12,0,6,18,18,10.67,26,113,10,31,71,5,5,27,72600,39,0
19,4,21,3,10,19,19.25,13.43,20,122,13,34,80,6,17,34,160600,27,0
7,3,10,2,6,10,8.33,6.6,19,110,4,12,36,2,6,17,71300,45,0
20,4,14,3,9,5,5.5,4.79,18,78,12,33,58,6,16,24,40500,34,32500
10,3,18,1,8,10,10,8.39,18,128,15,35,81,7,16,33,175700,23,87665
5,6,20,4,10,5,5,4.4,15,93,13,31,66,6,16,25,71900,25,66154
6,6,19,4,10,5,5.83,5.95,22,124,11,31,61,6,17,28,58800,33,41031
5,4,15,2,11,5,8.75,5.27,25,128,5,23,61,3,13,26,52100,26,27184
15,1,1,1,1,20,20,20,24,24,7,17,16,3,7,6,187300,34,57389
15,2,10,2,4,20,19,14.7,16,88,8,20,46,4,12,19,43600,33,56157
15,2,3,0,0,15,9,7.33,18,32,11,27,24,5,5,10,43900,23,45494
12,6,15,5,9,11,12,13,23,78,12,34,57,6,17,24,41100,35,37197
4,6,12,4,6,3,4,4,16,64,9,22,34,4,10,14,166300,41,52584
5,6,7,4,5,3,5.5,5.14,4,32,14,31,29,7,15,13,67900,26,41842
10,1,6,0,1,10,15,11.5,15,90,25,39,65,5,5,18,34200,33,41875
8,7,48,4,20,4,7.86,7.38,16,130,11,28,79,5,15,34,124700,29,43517
10,2,3,0,0,15,12.5,10,17,42,10,28,29,4,4,11,71700,34,0
15,2,20,1,11,10,12.5,9.5,24,130,7,22,58,3,10,23,65900,23,31439
4,7,8,6,6,4,4.43,4.38,20,33,7,24,24,5,14,12,74000,37,36415
11,2,2,1,1,20,12.5,12.5,18,24,12,23,20,6,11,9,86700,31,55201
25,2,8,0,5,25,25,14.88,26,103,12,32,65,5,5,28,61300,23,0
4,6,21,5,12,5,4.33,4.33,4,128,16,33,70,4,13,27,47500,34,0
20,0,1,0,0,25,0,25,23,23,10,10,15,4,4,6,142800,17,0
20,5,5,3,3,20,14.8,14.8,18,35,13,31,29,6,15,13,45200,21,40830
15,3,6,2,4,20,14,10.83,16,77,14,31,50,6,13,18,59500,27,49833
15,1,1,0,0,15,15,15,20,20,8,15,12,3,3,5,101600,27,62563
9,5,7,5,6,5,10.6,9.71,4,40,13,33,35,6,16,15,88500,63,48197
16,3,17,2,9,16,16,11.12,15,81,13,33,63,6,16,24,85700,42,59141
25,2,3,0,1,25,22.5,18.33,19,43,13,33,35,6,6,14,37300,0,0
19,4,18,2,9,10,14,12.22,19,78,13,34,63,6,16,24,80100,30,0
15,10,21,6,9,18,13.9,10.67,15,126,29,51,102,11,22,41,88900,25,61176
15,3,10,2,6,15,15,10.3,22,77,12,32,57,6,17,23,31200,40,0
10,2,24,0,12,10,7.5,3.58,25,130,9,28,72,4,4,28,35900,22,41240
10,3,14,1,10,10,9,7.21,18,120,15,34,68,6,14,28,66100,46,66256
3,3,12,3,10,12,6.67,4.42,16,90,13,30,52,5,12,21,93100,24,0
8,9,18,4,7,9,9.44,8.22,18,52,13,33,46,6,17,19,46400,24,40212
15,1,1,1,1,15,15,15,17,17,10,14,12,4,6,5,243200,48,118275
6,7,25,5,16,9,7.57,6.4,15,129,11,29,73,5,15,32,41300,26,41365
10,2,13,1,8,17,16,13,26,126,10,31,71,5,15,32,110400,37,59588
9,9,26,5,12,11,10.11,8.62,18,119,14,34,70,6,17,30,63700,32,60262
40,2,12,1,7,25,25,20.42,23,105,13,31,67,6,14,27,49700,36,50898
21,1,12,1,7,21,21,15.17,20,106,13,34,78,6,16,32,220000,22,39019
100,2,5,1,2,30,27.5,28,26,68,10,31,51,5,15,20,89600,48,0
22,1,2,0,1,16,16,13,26,42,10,28,29,4,4,11,416700,13,0
20,1,5,0,3,20,20,9.4,15,88,10,21,43,3,3,14,140300,32,0
12.5,2,4,1,2,15,13,11,16,105,10,20,35,4,7,13,244100,45,85664
12.5,9,24,5,14,10,10,9.13,22,93,14,36,66,6,17,26,79900,59,58490
50,3,16,1,7,25,18.33,15.06,17,93,13,35,69,6,17,30,95700,43,56535
20,2,3,0,1,20,16,14,19,44,14,31,35,6,6,13,53500,37,43481
25,2,6,1,2,19,15,12,5,64,27,40,56,7,12,17,142900,0,0
25,1,15,0,8,25,25,14.67,18,128,13,35,76,6,6,33,121200,38,0
25,4,7,2,3,25,25,18.71,22,80,14,35,50,6,16,19,65400,39,40107
30,2,2,1,1,15,15,15,19,24,12,23,22,6,11,9,254900,21,83472
20,2,2,2,2,20,15,15,23,29,10,23,22,4,10,9,44200,28,40529
15,1,1,0,0,20,20,20,20,20,10,16,15,4,4,5,85700,34,60858
20,2,3,0,1,20,15.5,13.67,17,50,12,28,34,6,6,14,290100,12,117618
10,4,12,3,5,13,10.5,9,16,123,16,36,66,6,17,27,95000,0,0
20,1,1,1,1,20,20,20,17,17,11,16,14,5,7,6,165400,21,66949
25,2,6,2,6,25,25,17.5,16,113,13,31,61,6,14,26,0,0,63863
7,4,12,0,4,11,7.75,7.33,15,93,12,28,57,5,5,21,351400,0,0
10,2,17,1,8,10,10,7.94,18,93,9,25,52,4,11,19,54800,15,33726
20,2,23,1,13,10,10,10.04,18,123,13,34,78,6,16,32,107400,57,0
20,4,4,3,3,10,8.25,8.25,21,33,12,27,26,6,13,11,326100,32,47580
6,7,8,6,7,6,7,6.5,17,41,12,32,34,6,16,15,219000,13,82927
15,2,19,1,9,15,11,10.16,5,113,29,49,86,8,17,31,82700,20,40788
15,6,14,1,6,9,7.83,5.79,17,90,13,33,59,6,16,25,67500,29,49642
10,4,10,1,3,7,6.75,6.2,18,69,13,33,53,6,15,20,153800,35,45864
10,1,6,0,5,17,17,13.17,18,113,12,27,53,5,5,23,63300,47,61722
25,3,5,2,4,15,12.33,11.4,22,45,12,31,36,6,16,16,97300,23,81514
25,0,6,0,2,20,0,16.67,23,123,12,12,64,6,6,27,110100,32,76794
12,2,14,1,9,11,10,7.79,20,122,12,29,68,5,12,28,332600,18,68819
10,3,4,2,3,10,6.67,5.75,16,40,13,29,29,6,13,12,115800,34,0
8,5,22,5,17,9,9.6,9.77,17,105,15,34,86,6,17,30,374200,14,110085
35,2,2,1,1,25,15,15,15,29,10,20,20,3,7,7,96400,29,0
5,3,16,2,11,10,10,7.5,24,130,11,31,71,6,17,33,48300,38,44220
3,4,12,3,8,5,4.5,3.13,17,120,6,17,40,3,8,19,39600,34,51587
10,3,23,2,13,10,8.33,7.26,15,128,12,31,77,5,13,30,95500,5,37016
16,3,5,3,5,17,14.33,11,20,57,12,31,43,6,14,15,260000,22,78418
10,2,19,2,12,20,15.5,8.58,21,127,12,31,77,6,15,31,71800,21,67760
21,2,3,2,3,15,15,15,22,45,10,28,35,4,12,13,35500,28,0
15,1,1,1,1,15,15,15,17,17,4,6,5,2,3,3,137300,28,0
21,2,2,1,1,22,21,21,19,24,12,23,20,6,11,9,57900,0,52419
25,2,2,2,2,15,10,10,16,31,12,25,23,4,9,8,74700,15,56686
10,3,20,2,13,19,13.67,12.2,17,130,14,32,79,6,15,31,106700,40,0
6,6,14,4,9,6,6.17,5.71,19,105,13,34,62,6,16,27,142100,23,58656
20,2,9,1,6,20,20,11.44,18,125,13,35,63,6,17,29,95600,30,0
5,1,6,0,2,30,30,21.17,18,86,13,35,59,6,6,24,80500,38,60456
9,6,6,3,3,10,6.67,6.67,17,33,14,30,29,6,13,11,91400,28,50599
4,9,20,6,12,6,4.44,4.15,18,91,12,30,62,6,17,25,103500,29,0
5,7,20,5,10,4,4.14,3.6,16,57,7,17,33,3,9,13,28000,31,0
9,6,20,3,14,10,8.5,7,18,127,12,32,73,6,17,32,50000,34,51112
3,3,3,1,1,12,11.33,11.33,18,24,13,24,21,6,11,9,58300,29,0
30,1,1,1,1,20,20,20,21,21,10,17,15,4,7,6,42900,31,39399
12.5,6,8,5,7,4,4.33,4,16,45,13,32,36,6,15,15,129900,36,71568
7,7,7,4,4,5,6.71,6.71,17,29,13,26,25,6,12,10,189000,39,44777
10,5,17,4,9,10,8.4,6.29,19,118,9,26,47,4,13,17,45900,35,0
10,4,32,2,13,10,8.75,9.69,19,129,22,43,102,6,16,33,155500,33,56614
20,2,5,1,2,25,22.5,15.4,17,93,13,31,49,6,14,20,72500,46,41738
25,1,1,0,0,20,20,20,20,20,10,16,15,4,4,5,80900,25,49791
7,6,7,5,6,10,6.17,6,18,40,13,31,33,6,15,14,391200,15,50829
5,8,22,7,13,5,5,4.91,22,64,12,31,53,6,17,22,47500,25,35515
15,3,24,1,10,13,12.33,6.46,15,123,17,36,100,6,14,29,112500,19,64875
10,1,1,0,0,15,15,15,16,16,11,16,13,4,4,5,47500,33,36250
5,6,6,4,4,8,7.5,7.5,22,36,13,34,34,7,17,15,124800,35,0
47,1,6,0,2,32,32,28.83,26,44,18,40,65,5,5,16,566700,28,52283
30,1,2,1,1,20,20,15,16,31,11,24,22,5,10,9,60100,0,0
20,2,2,1,1,20,20,20,19,29,10,23,22,4,10,9,53400,44,62349
3,8,29,4,16,2,3.13,2.64,17,130,8,20,47,4,10,19,110400,24,44490
15,1,3,0,0,15,15,15,17,21,32,38,43,4,4,5,60400,23,31131
15,4,8,3,5,13,11.5,9.88,17,57,13,32,46,6,16,17,76500,39,0
15,6,9,2,2,15,10.67,11.44,6,29,32,48,46,9,17,15,93000,36,62681
15,2,7,0,2,15,15,11.43,19,45,14,35,42,6,6,16,87700,33,54151
12,1,8,0,3,10,15,9.75,18,81,13,32,59,6,6,22,209800,32,0
14,3,9,2,6,12,10.67,8.11,20,99,7,17,48,4,9,19,97600,38,61991
20,1,4,0,1,20,20,16.25,26,56,11,30,58,5,5,18,225400,45,66717
10,3,6,2,3,20,16.67,13.33,26,65,10,32,44,5,16,17,168900,36,91382
12,3,19,1,5,12,14.67,14.68,19,80,13,34,66,6,17,26,120000,56,72991
20,1,2,0,1,20,20,12.5,17,41,9,19,22,4,4,8,165400,30,46047
10,6,21,5,13,10,9.17,7.43,16,105,14,35,74,6,17,29,122700,36,34619
45,5,6,3,4,46,26.2,22.67,17,44,13,33,37,6,15,15,67500,38,81700
4,10,26,5,13,4,4.6,4.11,15,124,11,33,73,6,17,31,128700,28,46332
4,7,7,4,4,5,3.86,3.86,21,34,12,29,30,6,15,13,71100,51,0
44,4,23,3,7,35,46,39,4,53,34,54,82,7,18,22,42400,24,45561
10,6,19,4,12,11,9.67,7.74,17,81,14,32,59,6,15,23,188300,25,72526
15,2,8,1,4,15,13.5,9.75,15,68,13,30,50,6,13,19,547000,33,74453
12,4,4,2,2,8,7,7,18,33,13,29,27,6,13,11,107400,39,76352
5,1,48,0,11,0,5,4.5,18,144,31,51,113,5,5,28,63700,50,48581
10,2,2,2,2,10,12.5,12.5,16,21,13,21,18,6,10,8,82800,25,52780
15,2,19,1,9,15,15,9.84,22,89,6,20,45,4,12,19,92000,44,0
25,2,8,0,4,20,18,16.25,15,87,12,32,58,5,5,23,290800,35,43940
25,2,14,1,7,30,27.5,17.86,26,130,23,42,93,4,14,28,107200,27,48544
12,1,11,1,6,10,10,7.27,22,88,6,17,38,4,11,16,91900,28,78055
15,1,1,1,1,15,15,15,16,16,11,16,13,4,6,5,278900,38,0
10,3,4,2,3,10,13.33,11.25,15,45,7,13,18,2,5,7,500000,17,42450
10,1,7,0,6,25,25,13.57,25,124,11,32,65,6,6,26,71000,33,38737
12,3,6,1,2,5,10,8.83,20,77,16,34,55,7,15,19,127000,33,52720
16,5,8,4,6,17,16,14.75,17,56,4,12,19,2,6,10,34700,22,0
5,4,5,2,3,10,7.5,7,18,42,12,31,31,6,14,14,64800,33,68750
15,3,7,2,4,15,12,9.43,15,53,9,22,38,3,10,15,41100,30,0
15,3,10,2,7,15,15,9.1,22,91,12,34,60,6,17,26,47700,49,57169
10,5,12,2,5,16,12.8,9.67,18,104,9,30,57,4,14,23,58200,47,49205
15,2,7,1,4,20,20,17.71,24,62,12,32,48,6,16,21,88000,45,41426
47,4,82,4,23,39,46.5,26.83,6,260,18,37,95,7,18,34,44800,31,40411
5,0,32,0,11,5,0,8.09,4,126,37,37,112,7,7,33,26600,20,33698
20,8,24,4,13,15,14.88,11.58,9,92,27,47,104,11,22,37,48300,33,35567
10,4,6,2,4,5,6.25,6.67,19,52,12,32,43,6,15,20,207600,47,68924
11,8,29,6,13,11,11.5,13.28,20,98,11,30,78,5,16,32,51800,26,47523
16,2,5,0,1,16,15,13.2,24,67,10,28,46,5,5,16,80600,37,0
15,2,2,0,0,16,13,13,18,27,11,25,21,5,5,10,40600,53,42595
12,3,8,2,6,10,12.33,10.75,16,80,13,33,52,6,16,21,82200,27,30208
15,2,2,1,1,20,15,15,15,22,12,20,18,5,8,7,101000,18,0
15,2,9,0,3,15,14,8,18,92,11,30,55,4,4,21,204600,30,0
15,2,3,0,1,20,17.5,15,20,41,12,32,34,6,6,14,39700,36,0
4,13,44,7,20,5,3.92,3.61,17,98,12,31,68,5,16,28,66400,0,0
13,2,13,2,11,3,12,7.08,9,128,16,32,65,5,12,25,144800,27,84676
20,2,10,2,6,20,20,17,22,76,12,33,61,6,16,23,58100,34,48976
20,2,5,1,4,20,20,17.4,18,68,13,32,55,6,15,21,68500,36,0
50,1,1,0,0,15,15,15,18,18,10,14,12,4,4,4,90200,29,62681
5,8,19,6,9,3,4.38,3.58,18,74,13,30,50,6,16,21,65100,35,47727
10,1,8,1,6,20,20,14,23,128,10,27,62,4,11,26,120800,30,55991
13,2,15,1,6,10,13,9.87,6,110,18,37,76,6,15,32,27100,34,35536
20,6,19,2,8,20,16.17,12.53,18,75,13,35,61,6,17,24,70800,43,0
10,1,2,1,1,10,15,12.5,5,17,14,19,17,6,8,7,44600,26,0
10,3,3,2,2,20,11.67,11.67,22,32,13,30,29,6,14,12,50700,21,57550
10,5,6,4,4,15,10,9.17,17,33,15,31,31,6,14,12,85000,0,50754
15,3,11,2,8,12,10.67,8.27,16,88,14,32,61,5,14,24,357000,25,47076
21,4,6,2,3,15,15.75,13.17,18,53,13,34,44,6,16,18,65900,40,0
36,4,7,2,4,23,20.5,15.57,18,75,14,34,45,6,15,18,117800,37,36238
25,1,1,1,1,15,15,15,21,21,8,15,14,3,6,5,156600,14,53432
10,2,26,2,14,10,17.5,7.5,6,123,17,36,80,6,14,32,70400,36,49460
25,6,22,4,8,10,27.5,21.64,19,86,14,34,74,6,17,27,46900,0,0
16,5,5,2,2,15,13.8,13.8,16,27,15,29,27,6,13,11,120800,34,72991
10,5,28,1,16,10,7.8,5.93,15,124,12,32,78,6,16,32,33900,0,0
3,9,9,6,6,3,3.44,3.44,16,35,13,31,31,6,16,14,78600,32,0
25,1,3,1,2,25,25,18.33,19,43,4,12,15,2,6,8,198900,30,0
10,5,5,2,2,15,11.6,11.6,18,32,13,30,28,6,15,13,40600,32,30885
20,2,5,0,2,25,22.5,17.6,16,68,12,29,48,5,5,18,57200,32,31004
5,5,49,4,21,9,7.6,7.57,15,126,10,31,82,4,14,31,145700,19,35778
15,1,1,1,1,15,15,15,17,17,12,17,15,4,6,5,84900,22,61134
15,2,11,2,7,10,11,8.73,15,130,12,30,65,5,13,27,60000,29,32367
7,4,13,3,7,10,8.75,5.62,17,81,13,34,60,6,16,23,36800,34,40375
50,1,6,1,3,15,15,12.83,22,54,12,32,43,6,16,18,81000,45,0
15,3,12,1,7,11,10.33,7.83,8,105,17,33,62,6,13,26,67000,42,62047
7,6,8,4,5,10,6.5,5.88,17,41,14,35,36,6,16,15,23600,43,29659
10,2,18,2,12,10,15,10.44,18,85,13,34,66,6,16,25,405800,0,0
5,0,1,0,0,15,0,15,23,23,9,9,14,3,3,5,146300,41,49514
5,6,9,4,5,6,5.5,5.22,18,41,7,26,28,4,14,13,117500,38,53288
10,4,4,4,4,10,7.5,7.5,17,29,14,27,26,6,12,10,65000,29,0
10,3,15,1,9,15,11.67,8.73,16,119,11,27,64,6,15,29,42800,31,41500
25,2,5,2,3,25,18,10.6,16,45,14,34,38,6,15,15,232400,32,55735
15,2,15,0,9,15,14,9.73,18,97,15,35,65,6,6,27,92700,41,56689
10,2,3,2,2,10,7.5,8.33,15,21,13,20,19,5,8,7,41500,28,40024
12,3,20,2,13,12,12.33,6.35,26,125,9,28,74,4,14,30,65500,31,51568
10,5,16,3,6,10,6,4.63,17,122,13,35,63,6,17,27,94500,47,35641
8,5,8,5,5,9,9.8,8.25,17,29,14,26,26,6,13,11,84600,22,21364
25,4,9,1,4,25,22.75,17.33,15,80,14,30,52,6,13,20,309200,20,75256
50,4,9,4,8,50,36.25,25.11,21,105,13,32,63,6,17,27,29500,0,0
20,2,9,2,4,10,12.5,9.78,18,81,13,31,56,6,15,23,27800,0,0
30,1,7,0,3,25,25,13,18,75,13,35,55,6,6,22,529400,29,0
5,8,9,6,6,5,5.38,5.44,19,33,12,29,28,6,15,13,117400,33,84674
15,2,4,2,3,15,15,9.25,25,41,10,27,32,5,14,14,27500,29,24464
20,1,1,0,0,20,20,20,16,16,11,16,13,5,5,6,179600,15,0
100,2,14,1,7,100,100,85,17,113,29,50,111,6,17,30,94700,45,32981
20,2,5,1,2,20,18,14.4,17,69,13,31,47,6,13,16,134800,21,61206
3,5,19,4,13,6,3.4,3.21,18,130,12,31,69,6,15,30,35200,28,0
5,6,8,2,3,7,5.67,5.25,19,40,12,32,32,6,15,14,87700,31,0
30,1,1,1,1,25,25,25,24,24,6,16,14,2,6,5,44400,15,45566
15,2,14,2,7,15,20,16.43,6,115,23,34,86,4,12,24,173400,24,0
25,5,5,4,4,26,22.2,22.2,16,29,14,27,26,6,13,11,597500,42,200001
20,1,2,0,1,20,20,15,18,37,10,24,24,4,4,9,550000,31,88905
20,2,3,2,3,20,18,15.33,23,38,12,33,33,6,16,15,98500,33,61875
12,5,10,3,6,13,11.2,9,17,53,13,35,45,6,17,18,103400,15,0
20,2,4,1,2,15,13,11.5,18,41,12,31,32,6,14,13,46300,33,45560
14,3,10,2,5,15,13.67,9.1,18,113,13,31,62,6,15,27,37300,27,0
15,5,8,3,5,15,13.2,10.63,18,53,14,32,42,6,14,16,219600,26,95073
8,5,5,3,3,10,7.2,7.2,21,29,13,27,26,6,13,11,205600,21,107060
10,5,5,4,4,7,6.2,6.2,15,28,13,25,24,5,10,9,39900,32,34923
30,1,1,1,1,20,20,20,24,24,8,18,16,3,7,6,85900,25,51013
10,7,16,5,8,20,19.86,12.63,19,53,13,35,47,6,17,20,103300,46,33066
15,1,1,0,0,15,15,15,19,19,10,17,15,4,4,6,120800,37,61487
17,11,50,5,17,5,6.27,6.34,4,113,45,66,137,14,25,50,45200,21,0
20,3,13,1,5,16,15.67,10.31,24,92,11,33,58,6,17,26,59200,0,31414
10,5,8,3,5,10,10,9,16,45,14,34,38,6,15,15,39700,2,29717
6,10,37,6,20,5,3.2,2.45,17,126,10,31,67,6,17,31,22700,29,38997
30,2,10,2,6,20,15,12.4,20,91,13,32,60,6,15,25,70900,45,46772
15,2,6,1,3,20,17.5,10.5,18,79,15,35,52,6,15,20,89900,32,50836
15,3,8,1,3,16,14.67,10,17,65,13,27,46,6,12,16,90200,28,43310
15,2,6,2,5,15,15,10.83,21,69,11,28,50,5,13,19,108800,47,38438
10,4,34,3,20,11,9.5,7.5,19,80,7,15,34,2,6,14,102400,32,0
15,2,25,0,7,15,13.5,11.56,8,105,38,59,122,7,7,31,94300,32,50984
9,5,9,3,5,10,8.8,7.67,20,52,12,31,41,6,15,17,156300,35,50485
9,3,7,2,5,11,9.67,8,16,52,14,33,42,6,15,16,48600,27,44444
5,4,14,3,5,5,9.75,8.93,16,68,29,44,73,4,13,18,236200,24,79008
14,2,23,1,14,14,13,8.22,21,128,12,30,78,5,13,31,72500,33,54926
7,4,28,2,16,10,9.25,8.14,16,127,13,34,86,6,17,35,93300,23,53288
25,3,4,1,1,25,13,11,18,32,13,26,24,6,11,9,79200,24,51462
20,3,27,1,16,27,24.33,9.59,15,128,14,32,77,6,14,31,45700,36,46678
25,3,4,1,1,30,13.33,11.25,18,29,13,26,23,6,12,10,425500,32,105950
15,3,12,1,8,15,13.33,7.5,19,127,7,27,60,4,14,28,50100,29,41228
10,3,31,1,11,10,10,9.52,4,105,26,41,106,6,13,24,104700,38,65650
8,4,12,2,5,10,9.75,7.17,19,112,13,32,60,6,15,25,44000,24,39991
35,2,2,2,2,35,32.5,32.5,17,31,14,29,27,6,13,11,330400,22,62979
5,5,10,3,5,15,9.4,7.2,16,56,13,33,50,6,16,19,95000,47,53324
20,6,7,4,5,20,17.5,16.43,16,41,15,35,40,6,16,15,54900,32,0
5,3,16,1,9,5,5.67,11.38,18,91,13,31,59,5,13,22,116300,42,0
20,4,5,2,3,13,12,10.6,16,40,14,34,36,6,15,14,90400,27,55137
21,3,26,3,14,16,15.67,12.81,16,123,40,58,129,6,15,32,593100,31,155586
10,6,7,5,5,10,10.83,10,17,39,12,32,36,6,16,15,85500,35,38049
17,2,8,1,6,17,16,12,17,104,13,33,65,6,16,28,53500,31,26080
3,5,34,3,20,5,3.4,3,18,125,13,32,73,6,15,30,47000,37,41228
100,1,4,1,1,100,100,62.5,19,49,29,44,56,6,13,12,577800,28,71979
15,2,2,1,1,15,10,10,17,32,10,23,21,4,9,8,129000,34,81018
12,3,10,2,6,12,12,7.5,16,76,12,29,51,5,12,19,276800,25,41254
15,2,6,1,4,15,20,17.5,19,76,13,35,59,6,17,22,27800,33,0
13,5,13,4,8,6,10.6,8.92,15,73,14,35,57,6,16,22,79000,46,50055
10,4,5,3,3,10,8.75,7.8,17,28,14,27,26,6,12,10,234700,31,102368
15,4,4,3,3,15,13.75,13.75,16,24,15,26,23,6,11,9,181100,34,39013
15,3,6,2,3,15,14.33,13.17,17,56,14,32,43,6,14,17,77700,37,46493
5,7,15,3,7,5,5.14,5,15,92,13,34,61,6,16,24,37700,25,27048
10,4,10,3,8,10,10,9,19,79,12,32,50,6,15,23,55000,38,45494
15,5,19,3,9,20,14,8.16,15,93,14,34,64,6,16,24,81400,17,71308
11,2,14,2,9,10,8,12.93,5,123,17,27,51,7,12,18,25700,34,0
75,3,12,1,7,70,63.33,40.08,21,69,13,34,63,6,17,24,302000,30,0
32,4,7,3,5,40,27.5,18.86,18,45,25,46,70,10,20,27,83200,27,53597
23,4,4,0,0,15,15,15,18,32,13,30,29,6,6,12,90100,35,58776
5,6,18,5,9,6,4,3.72,17,79,13,28,55,6,14,22,30300,30,44375
16,1,6,1,4,16,16,12.33,17,79,11,26,47,4,10,17,68200,35,42011
12,3,77,2,19,14,10.33,8.04,15,160,29,46,126,5,13,32,61400,42,46636
20,4,4,2,2,13,12,12,18,33,12,30,28,6,14,12,44000,27,41216
25,3,3,1,1,25,23.33,23.33,15,28,11,24,24,5,11,11,381300,33,64579
