LEVEL_POS,SHIP_SPEED,GAS_TURBINE_SHAFT,GAS_TURBINE_RATE,GAS_GENERATOR_RATE,STARBOARD,PORT,HP_TURBINE_EXIT_TEMP,GT_COMPRESSOR_INLET_TEMP,GT_COMPRESSOR_OUTLET_TEMP,HP_TURBINE_EXIT_PRESS,GT_COMPRESSOR_INLET_AIR_PRESS,GT_COMPRESSOR_OUTLET_AUR_PRESS,GAS_TURBINE_EXHAUST,TURBINE_INJECTION_CONTROL,FUEL_FLOW,TARGET1,TARGET2
4.161,12,14719.156,1547.455,7739.039,113.752,113.752,622.763,288,601.03,1.662,0.998,8.85,1.023,16.399,0.325,0.993,0.997
1.138,3,5549.954,1406.842,6742.998,10.98,10.98,612.011,288,575.244,1.291,0.998,6.99,1.019,0,0.251,0.951,0.985
1.138,3,698.211,1328.997,6644.226,6.34,6.34,472.465,288,546.534,1.111,0.998,5.976,1.019,18.87,0.108,0.974,0.988
2.088,6,5057.464,1394.533,6810.904,31.553,31.553,551.586,288,566.409,1.28,0.998,6.877,1.02,0,0.189,0.98,0.99
8.206,24,50991.221,3087.358,9303.909,438.089,438.089,936.132,288,734.112,3.593,0.998,18.712,1.041,61.511,1.218,0.974,0.975
5.14,15,21621.215,1924.311,8452.279,175.21,175.21,700.416,288,632.483,2.093,0.998,11.215,1.027,24.905,0.493,1,0.98
4.161,12,14721.18,1547.459,7760.752,113.764,113.764,635.769,288,605.516,1.66,0.998,8.897,1.023,16.977,0.336,0.977,0.99
4.161,12,14723.115,1547.469,7796.607,113.777,113.777,630.399,288,605.451,1.656,0.998,8.802,1.023,16.689,0.33,0.97,1
6.175,18,29797.347,2307.241,8843.47,246.364,246.364,774.106,288,670.27,2.496,0.998,13.081,1.03,34.093,0.675,0.956,0.996
9.3,27,72767.009,3560.409,9781.268,644.792,644.792,1110.108,288,788.007,4.493,0.998,22.681,1.049,91.943,1.82,0.951,0.98
5.14,15,21627.378,1924.327,8473.088,175.241,175.241,698.883,288,634.197,2.086,0.998,11.092,1.027,24.729,0.49,0.986,0.989
4.161,12,14718.693,1547.448,7720.458,113.742,113.742,636.474,288,604.08,1.664,0.998,8.971,1.023,17.056,0.338,0.989,0.983
8.206,24,50993.519,3087.467,9302.857,438.017,438.017,922.23,288,730.293,3.593,0.998,18.574,1.042,60.403,1.196,0.982,0.983
5.14,15,21634.734,1924.328,8494.033,175.3,175.3,713.24,288,640.425,2.079,0.998,11.078,1.026,25.408,0.503,0.962,0.987
8.206,24,50994.708,3087.543,9318.871,437.967,437.967,927.722,288,735.77,3.569,0.998,18.307,1.041,60.402,1.196,0.96,0.992
7.148,21,39006.898,2678.014,9116.003,332.443,332.443,823.414,288,687.005,2.987,0.998,15.722,1.036,44.087,0.873,0.989,0.98
3.144,9,8375.94,1386.739,7062.775,60.32,60.32,573.832,288,576.248,1.391,0.998,7.469,1.021,11.828,0.234,0.991,0.992
2.088,6,4171.859,1391.308,6780.192,30.905,30.905,532.526,288,563.482,1.251,0.998,6.772,1.02,0,0.163,0.983,0.981
7.148,21,39005.457,2678.036,9118.793,332.394,332.394,805.194,288,682.429,2.984,0.998,15.527,1.036,42.76,0.847,0.997,0.993
5.14,15,21627.881,1924.311,8470.682,175.219,175.219,713.586,288,638.112,2.086,0.998,11.205,1.026,25.531,0.505,0.978,0.978
3.144,9,8380.577,1386.765,7148.842,60.364,60.364,590.699,288,584.383,1.387,0.998,7.451,1.02,12.459,0.247,0.953,0.992
4.161,12,14722.925,1547.466,7787.143,113.786,113.786,637.252,288,606.983,1.657,0.998,8.862,1.023,17.015,0.337,0.968,0.993
8.206,24,50995.661,3087.522,9311.928,438.011,438.011,941.939,288,737.56,3.583,0.998,18.63,1.041,61.777,1.223,0.962,0.977
8.206,24,50990.377,3087.316,9292.706,438,438,913.31,288,725.504,3.607,0.998,18.676,1.042,59.946,1.187,0.999,0.981
6.175,18,29761.64,2306.792,8798.322,245.998,245.998,774.661,288,666.502,2.511,0.998,13.319,1.03,34.355,0.68,0.984,0.982
7.148,21,38998.335,2678.051,9121.236,332.329,332.329,828.905,288,689.844,2.979,0.998,15.671,1.036,44.354,0.878,0.979,0.981
9.3,27,72777.544,3560.432,9786.096,645.154,645.154,1091.958,288,784.217,4.482,0.998,22.336,1.049,90.088,1.783,0.956,0.994
6.175,18,29761.749,2306.775,8804.502,245.966,245.966,774.486,288,667.003,2.509,0.998,13.284,1.03,34.309,0.679,0.98,0.984
3.144,9,8377.077,1386.746,7081.406,60.336,60.336,582.645,288,579.557,1.39,0.998,7.492,1.02,12.174,0.241,0.978,0.988
2.088,6,3294.018,1348.625,6720.327,23.032,23.032,515.528,288,556.023,1.213,0.998,6.574,1.019,18.553,0.159,0.998,0.981
7.148,21,38998.208,2678.064,9123.507,332.285,332.285,809.927,288,684.932,2.978,0.998,15.481,1.036,42.993,0.851,0.988,0.994
7.148,21,38976.119,2678.075,9140.483,332.145,332.145,838.254,288,697.211,2.954,0.998,15.406,1.035,44.587,0.883,0.95,0.991
1.138,3,3020.158,1313.156,6636.29,5.52,5.52,557.11,288,559.195,1.192,0.998,6.467,1.019,31.573,0.212,0.971,0.985
7.148,21,38984.526,2678.076,9131.994,332.195,332.195,835.129,288,694.242,2.965,0.998,15.53,1.035,44.553,0.882,0.962,0.986
6.175,18,29762.851,2306.763,8805.371,245.955,245.955,757.587,288,662.239,2.509,0.998,13.155,1.031,33.273,0.659,0.99,0.995
6.175,18,29794.366,2307.332,8833.286,246.253,246.253,788.194,288,673.383,2.5,0.998,13.24,1.03,34.999,0.693,0.954,0.984
8.206,24,50993.983,3087.511,9316.827,437.988,437.988,916.12,288,732.274,3.57,0.998,18.215,1.041,59.51,1.178,0.968,0.998
7.148,21,39001.427,2678.04,9119.335,332.35,332.35,826.283,288,688.633,2.982,0.998,15.685,1.036,44.214,0.875,0.983,0.981
4.161,12,14720.776,1547.456,7750.872,113.749,113.749,640.097,288,606.312,1.661,0.998,8.942,1.023,17.187,0.34,0.977,0.985
6.175,18,29796.181,2307.282,8839.691,246.343,246.343,786.496,288,673.465,2.498,0.998,13.193,1.03,34.861,0.69,0.951,0.987
8.206,24,50993.143,3087.442,9305.742,438.099,438.099,933.561,288,733.912,3.59,0.998,18.645,1.041,61.25,1.213,0.973,0.978
6.175,18,29760.421,2306.815,8775.988,245.959,245.959,773.31,288,664.126,2.52,0.998,13.433,1.031,34.399,0.681,1,0.976
4.161,12,14724.311,1547.469,7800.786,113.797,113.797,648.842,288,610.73,1.656,0.998,8.913,1.022,17.529,0.347,0.956,0.986
3.144,9,8379.483,1386.759,7128.475,60.365,60.365,584.122,288,581.686,1.388,0.998,7.442,1.02,12.207,0.242,0.964,0.994
6.175,18,29761.881,2306.841,8793.172,245.961,245.961,768.94,288,664.414,2.514,0.998,13.306,1.031,34.036,0.674,0.991,0.984
2.088,6,3346.925,1349.505,6846.241,23.242,23.242,524.437,288,562.806,1.212,0.998,6.497,1.019,18.454,0.166,0.956,0.994
2.088,6,3207.632,1378.285,6820.221,28.456,28.456,505.979,288,560.389,1.214,0.998,6.518,1.02,2.512,0.132,0.97,0.989
4.161,12,14720.923,1547.458,7756.53,113.77,113.77,636.182,288,605.461,1.66,0.998,8.907,1.023,17.001,0.337,0.978,0.989
1.138,3,5812.047,1402.354,6732.2,10.675,10.675,613.732,288,574.207,1.299,0.998,7.014,1.019,0,0.256,0.958,0.988
2.088,6,4244.729,1344.296,6753.133,22.285,22.285,531.954,288,557.31,1.243,0.998,6.65,1.02,21.97,0.188,1,0.997
7.148,21,38980.586,2678.084,9137.546,332.133,332.133,824.033,288,692.404,2.958,0.998,15.345,1.035,43.676,0.865,0.962,0.997
9.3,27,72778.401,3560.435,9782.345,644.954,644.954,1086.461,288,782.582,4.486,0.998,22.335,1.05,89.67,1.775,0.96,0.995
7.148,21,38984.194,2678.085,9134.619,332.178,332.178,818.363,288,690.056,2.962,0.998,15.352,1.036,43.347,0.858,0.969,0.998
5.14,15,21640.308,1924.354,8515.852,175.337,175.337,709.12,288,641.479,2.072,0.998,10.937,1.026,25.093,0.497,0.95,0.998
1.138,3,2393.165,1408.854,6706.589,10.935,10.935,503.476,288,555.383,1.185,0.998,6.345,1.019,0,0.13,0.975,0.992
5.14,15,21628.512,1924.339,8479.325,175.276,175.276,690.878,288,632.547,2.084,0.998,11.004,1.027,24.267,0.48,0.987,0.997
4.161,12,14719.457,1547.449,7726.562,113.751,113.751,646.66,288,607.12,1.663,0.998,9.027,1.022,17.516,0.347,0.98,0.976
5.14,15,21636.798,1924.333,8500.719,175.285,175.285,713.969,288,641.317,2.077,0.998,11.048,1.026,25.418,0.503,0.957,0.989
8.206,24,50993.737,3087.474,9306.576,438.018,438.018,931.415,288,733.575,3.589,0.998,18.603,1.041,61.051,1.209,0.973,0.98
1.138,3,2313.467,1402.47,6674.78,10.501,10.501,497.305,288,552.671,1.182,0.998,6.331,1.019,0.033,0.125,0.987,0.991
8.206,24,50993.026,3087.442,9295.648,438.025,438.025,904.229,288,723.842,3.602,0.998,18.516,1.042,59.123,1.17,1,0.989
6.175,18,29794.01,2307.338,8832.186,246.237,246.237,787.661,288,673.135,2.5,0.998,13.242,1.03,34.973,0.692,0.955,0.984
7.148,21,38990.772,2678.084,9129.832,332.286,332.286,808.533,288,686.051,2.969,0.998,15.358,1.036,42.765,0.847,0.981,1
1.138,3,1536.056,1345.914,6622.334,7.216,7.216,485.2,288,547.238,1.145,0.998,6.152,1.019,14.233,0.123,0.993,0.99
8.206,24,50994.349,3087.527,9316.874,438.047,438.047,922.23,288,733.851,3.571,0.998,18.285,1.041,60.01,1.188,0.965,0.994
2.088,6,4137.378,1390.636,6814.852,30.791,30.791,528.771,288,563.431,1.249,0.998,6.705,1.02,0,0.16,0.976,0.989
2.088,6,3280.623,1349.223,6787.83,23.17,23.17,528.474,288,562.44,1.211,0.998,6.569,1.019,19.111,0.168,0.966,0.98
4.161,12,14716.938,1547.442,7696.915,113.713,113.713,632.943,288,602.147,1.666,0.998,8.99,1.023,16.92,0.335,0.999,0.982
3.144,9,8374.52,1386.731,7035.714,60.3,60.3,572.312,288,574.815,1.393,0.998,7.495,1.021,11.781,0.233,1,0.989
5.14,15,21637.893,1924.344,8506.262,175.296,175.296,709.716,288,640.675,2.075,0.998,10.99,1.026,25.166,0.498,0.956,0.994
8.206,24,50995.121,3087.549,9312.203,438.066,438.066,931.915,288,735.118,3.58,0.998,18.494,1.041,60.935,1.206,0.966,0.984
2.088,6,6260.657,1390.288,6799.718,30.78,30.78,582.1,288,569.693,1.317,0.998,7.08,1.02,0.355,0.23,0.985,0.991
6.175,18,29762.656,2306.83,8793.213,246.034,246.034,754.779,288,660.354,2.514,0.998,13.202,1.031,33.168,0.657,1,0.993
3.144,9,8377.937,1386.751,7097.131,60.343,60.343,585.757,288,581.054,1.39,0.998,7.489,1.02,12.29,0.243,0.971,0.988
9.3,27,72766.944,3560.404,9765.339,645.035,645.035,1090.924,288,782.202,4.509,0.998,22.723,1.05,90.555,1.793,0.966,0.982
3.144,9,8378.622,1386.754,7104.512,60.353,60.353,595.12,288,584.106,1.389,0.998,7.528,1.02,12.66,0.251,0.961,0.982
4.161,12,14722.659,1547.46,7770.916,113.774,113.774,653.135,288,610.699,1.659,0.998,8.991,1.022,17.758,0.352,0.962,0.978
5.14,15,21631.741,1924.321,8483.637,175.277,175.277,711.925,288,638.983,2.082,0.998,11.124,1.026,25.384,0.502,0.97,0.984
4.161,12,14723.392,1547.466,7788.896,113.79,113.79,645.187,288,609.247,1.657,0.998,8.91,1.022,17.376,0.344,0.962,0.987
3.144,9,8378.899,1386.756,7123.263,60.358,60.358,575.426,288,578.884,1.389,0.998,7.404,1.02,11.859,0.235,0.973,1
1.138,3,5342.85,1408.544,6739.789,11.069,11.069,603.929,288,573.661,1.285,0.998,6.949,1.019,0,0.243,0.954,0.986
6.175,18,29764.937,2306.958,8810.075,245.965,245.965,785.183,288,670.527,2.507,0.998,13.334,1.03,34.928,0.692,0.97,0.979
1.138,3,6124.078,1326.188,6685.907,6.268,6.268,633.409,288,571.495,1.288,0.998,6.948,1.019,27.891,0.303,0.964,0.994
6.175,18,29792.91,2307.355,8826.06,246.287,246.287,762.625,288,665.455,2.503,0.998,13.089,1.031,33.489,0.663,0.974,0.998
1.138,3,1664.303,1393.248,6684.811,9.924,9.924,472.574,288,547.856,1.156,0.998,6.141,1.019,0,0.099,0.988,0.999
5.14,15,21624.934,1924.342,8470.013,175.239,175.239,681.658,288,628.95,2.087,0.998,10.99,1.027,23.803,0.471,1,1
1.138,3,3867.124,1375.566,6609.672,8.978,8.978,557.776,288,560.234,1.234,0.998,6.721,1.019,7.39,0.198,0.994,0.976
9.3,27,72766.131,3560.412,9777.738,645.09,645.09,1106.576,288,786.889,4.497,0.998,22.7,1.049,91.705,1.815,0.954,0.98
5.14,15,21626.358,1924.324,8469.419,175.23,175.23,698.311,288,633.657,2.087,0.998,11.107,1.027,24.714,0.489,0.989,0.988
6.175,18,29794.604,2307.328,8834.514,246.306,246.306,792.018,288,674.572,2.499,0.998,13.261,1.03,35.222,0.697,0.951,0.982
5.14,15,21632.444,1924.322,8485.546,175.259,175.259,712.975,288,639.477,2.082,0.998,11.121,1.026,25.432,0.503,0.968,0.984
4.161,12,14725.965,1547.477,7829.095,113.81,113.81,645.537,288,610.947,1.654,0.998,8.845,1.022,17.346,0.343,0.95,0.993
7.148,21,38995.221,2678.057,9122.564,332.345,332.345,837.7,288,692.678,2.977,0.998,15.717,1.035,44.93,0.89,0.972,0.977
2.088,6,2801.458,1364.53,6765.382,25.908,25.908,505.761,288,558.97,1.198,0.998,6.508,1.019,9.781,0.135,0.976,0.976
2.088,6,6748.439,1382.891,6812.203,29.403,29.403,593.033,288,570.597,1.328,0.998,7.113,1.02,5.109,0.249,0.984,0.997
7.148,21,39013.929,2677.954,9111.612,332.537,332.537,826.01,288,686.686,2.993,0.998,15.822,1.036,44.361,0.878,0.993,0.975
2.088,6,3017.881,1354.141,6803.177,24.047,24.047,515.985,288,560.9,1.203,0.998,6.495,1.019,16.01,0.152,0.965,0.984
7.148,21,38984.266,2678.086,9130.904,332.106,332.106,850.955,288,698.495,2.965,0.998,15.675,1.035,45.656,0.904,0.954,0.976
8.206,24,50991.677,3087.374,9297.051,437.951,437.951,918.462,288,727.895,3.601,0.998,18.648,1.042,60.252,1.193,0.991,0.981
9.3,27,72763.637,3560.409,9777.724,644.991,644.991,1111.62,288,788.062,4.498,0.998,22.769,1.049,92.182,1.825,0.952,0.977
5.14,15,21637.516,1924.33,8501.957,175.321,175.321,720.524,288,643.3,2.076,0.998,11.085,1.026,25.761,0.51,0.952,0.985
9.3,27,72753.632,3560.35,9724.461,644.689,644.689,1064.287,288,772.921,4.555,0.998,23.113,1.051,88.993,1.762,0.996,0.975
7.148,21,39000.665,2678.062,9122.718,332.298,332.298,800.565,288,682.027,2.979,0.998,15.42,1.036,42.355,0.839,0.995,0.999
5.14,15,21631.468,1924.308,8479.313,175.255,175.255,722.86,288,641.615,2.084,0.998,11.221,1.026,25.987,0.514,0.966,0.975
9.3,27,72768.895,3560.418,9781.246,644.808,644.808,1105.078,288,786.839,4.492,0.998,22.612,1.049,91.468,1.811,0.953,0.983
5.14,15,21633.063,1924.315,8485.853,175.288,175.288,722.023,288,642.06,2.081,0.998,11.18,1.026,25.913,0.513,0.962,0.978
7.148,21,39008.405,2678.003,9115.03,332.497,332.497,823.798,288,686.88,2.988,0.998,15.742,1.036,44.134,0.874,0.99,0.979
5.14,15,21627.322,1924.318,8470.475,175.239,175.239,704.673,288,635.572,2.087,0.998,11.145,1.026,25.053,0.496,0.984,0.984
1.138,3,2032.9,1406.019,6719.137,10.851,10.851,505.31,288,558.165,1.171,0.998,6.315,1.019,0,0.127,0.958,0.983
6.175,18,29795.944,2307.275,8838.255,246.324,246.324,777.865,288,670.886,2.498,0.998,13.137,1.03,34.349,0.68,0.957,0.992
1.138,3,963.659,1321.022,6678.617,5.913,5.913,478.278,288,547.06,1.12,0.998,5.967,1.019,22.284,0.12,0.97,1
8.206,24,50991.913,3087.385,9296.4,437.953,437.953,916.102,288,727.123,3.602,0.998,18.634,1.042,60.077,1.189,0.993,0.982
2.088,6,3009.078,1374.604,6763.334,27.756,27.756,506.042,288,559.273,1.208,0.998,6.557,1.019,4.299,0.132,0.98,0.976
8.206,24,50993.864,3087.484,9305.755,437.982,437.982,927.276,288,732.31,3.589,0.998,18.573,1.041,60.736,1.202,0.976,0.982
2.088,6,5331.957,1346.266,6816.524,22.714,22.714,590.395,288,572.575,1.275,0.998,6.922,1.019,23.366,0.245,0.956,0.983
8.206,24,50993.186,3087.455,9298.019,438.02,438.02,910.175,288,725.976,3.599,0.998,18.535,1.042,59.548,1.179,0.994,0.987
5.14,15,21637.633,1924.346,8506.131,175.341,175.341,706.761,288,639.818,2.075,0.998,10.971,1.026,25.009,0.495,0.958,0.996
7.148,21,38986.596,2678.077,9130.541,332.15,332.15,831.406,288,692.821,2.967,0.998,15.526,1.035,44.329,0.878,0.966,0.987
6.175,18,29762.318,2306.762,8800.243,245.958,245.958,761.352,288,662.87,2.511,0.998,13.21,1.031,33.532,0.664,0.991,0.991
6.175,18,29761.701,2306.798,8805.641,245.989,245.989,779.845,288,668.627,2.509,0.998,13.317,1.03,34.628,0.686,0.976,0.981
1.138,3,5390.83,1320.074,6675.698,5.902,5.902,610.822,288,567.199,1.265,0.998,6.811,1.019,30.214,0.279,0.97,0.997
4.161,12,14724.699,1547.473,7814.013,113.807,113.807,638.789,288,608.478,1.655,0.998,8.827,1.022,17.056,0.338,0.959,0.996
9.3,27,72771.688,3560.4,9747.509,644.822,644.822,1052.983,288,771.583,4.526,0.998,22.564,1.051,87.361,1.729,0.991,0.994
8.206,24,50985.641,3087.152,9291.97,437.923,437.923,918.876,288,726.788,3.609,0.998,18.751,1.042,60.417,1.196,0.997,0.977
2.088,6,6880.258,1366.847,6798.469,26.431,26.431,597.819,288,569.581,1.327,0.998,7.105,1.02,13.779,0.262,0.988,0.999
2.088,6,3311.611,1380.099,6828.893,28.798,28.798,506.515,288,560.316,1.218,0.998,6.515,1.02,1.267,0.133,0.97,0.992
3.144,9,8376.582,1386.742,7077.574,60.325,60.325,570.388,288,575.743,1.391,0.998,7.433,1.021,11.679,0.231,0.99,0.997
5.14,15,21627.058,1924.34,8475.578,175.275,175.275,687.45,288,631.182,2.085,0.998,11,1.027,24.097,0.477,0.992,0.998
4.161,12,14724.802,1547.472,7810.897,113.801,113.801,644.479,288,609.931,1.655,0.998,8.868,1.022,17.319,0.343,0.956,0.991
3.144,9,8379.635,1386.76,7133.887,60.367,60.367,581.306,288,581.032,1.388,0.998,7.421,1.02,12.091,0.239,0.965,0.997
4.161,12,14718.922,1547.452,7731.443,113.724,113.724,627.418,288,602.022,1.663,0.998,8.893,1.023,16.624,0.329,0.992,0.992
3.144,9,8380.985,1386.768,7159.218,60.374,60.374,587.501,288,583.792,1.387,0.998,7.423,1.02,12.326,0.244,0.953,0.996
5.14,15,21636.611,1924.328,8499.018,175.317,175.317,718.91,288,642.542,2.077,0.998,11.09,1.026,25.688,0.508,0.955,0.985
7.148,21,38994.445,2678.073,9125.85,332.216,332.216,814.791,288,686.903,2.974,0.998,15.478,1.036,43.282,0.857,0.982,0.993
6.175,18,29762.179,2306.836,8793.138,246.029,246.029,762.597,288,662.597,2.514,0.998,13.259,1.031,33.648,0.666,0.995,0.988
7.148,21,38997.523,2678.065,9123.421,332.261,332.261,814.844,288,686.332,2.977,0.998,15.521,1.036,43.336,0.858,0.985,0.991
7.148,21,38995.05,2678.056,9122.539,332.325,332.325,839.416,288,693.16,2.977,0.998,15.731,1.035,45.048,0.892,0.971,0.976
3.144,9,8379.195,1386.758,7123.603,60.361,60.361,584.466,288,581.616,1.388,0.998,7.45,1.02,12.224,0.242,0.965,0.993
1.138,3,5133.595,1354.88,6624.867,7.777,7.777,595.024,288,564.224,1.269,0.998,6.877,1.019,16.026,0.252,0.991,0.985
5.14,15,21629.665,1924.344,8483.886,175.267,175.267,689.109,288,632.502,2.083,0.998,10.968,1.027,24.152,0.478,0.985,1
1.138,3,3436.313,1416.409,6718.676,11.435,11.435,536.871,288,561.4,1.224,0.998,6.566,1.019,0,0.168,0.971,0.991
9.3,27,72771.795,3560.407,9754.838,645.018,645.018,1065.264,288,775.17,4.519,0.998,22.585,1.051,88.361,1.749,0.982,0.991
4.161,12,14726.348,1547.48,7838.994,113.796,113.796,639.917,288,609.777,1.653,0.998,8.793,1.022,17.08,0.338,0.951,0.999
1.138,3,385.162,1337.931,6656.45,6.881,6.881,463.991,288,547.399,1.099,0.998,5.933,1.019,13.67,0.091,0.964,0.982
7.148,21,38986.989,2678.074,9129.493,332.138,332.138,836.856,288,694.126,2.968,0.998,15.587,1.035,44.724,0.886,0.964,0.983
6.175,18,29792.998,2307.349,8826.012,246.24,246.24,759.507,288,664.552,2.503,0.998,13.067,1.031,33.299,0.659,0.976,1
1.138,3,6237.88,1329.658,6656.031,6.505,6.505,655.544,288,575.901,1.293,0.998,7.091,1.019,27.878,0.319,0.958,0.976
1.138,3,4570.977,1377.985,6628.123,9.11,9.11,573.989,288,562.836,1.257,0.998,6.822,1.019,5.65,0.218,0.992,0.981
8.206,24,50996.46,3087.568,9312.444,438.072,438.072,938.141,288,736.738,3.581,0.998,18.569,1.041,61.447,1.216,0.963,0.98
3.144,9,8378.401,1386.753,7107.645,60.352,60.352,581.347,288,580.111,1.389,0.998,7.453,1.02,12.107,0.24,0.972,0.993
3.144,9,8375.512,1386.736,7057.558,60.313,60.313,567.753,288,574.234,1.392,0.998,7.444,1.021,11.582,0.229,0.998,0.996
6.175,18,29793.826,2307.349,8831.037,246.298,246.298,785.494,288,672.42,2.501,0.998,13.232,1.03,34.849,0.69,0.957,0.985
7.148,21,38987.458,2678.078,9130.072,332.265,332.265,829.047,288,692.031,2.968,0.998,15.516,1.035,44.177,0.875,0.968,0.988
3.144,9,8378.155,1386.752,7102.24,60.348,60.348,584.165,288,580.762,1.389,0.998,7.474,1.02,12.224,0.242,0.971,0.99
5.14,15,21629.513,1924.314,8475.3,175.277,175.277,713.197,288,638.481,2.085,0.998,11.177,1.026,25.49,0.505,0.975,0.98
2.088,6,4204.24,1390.788,6836.516,30.833,30.833,527.529,288,563.591,1.251,0.998,6.685,1.02,0,0.16,0.973,0.995
5.14,15,21634.05,1924.322,8491.407,175.311,175.311,719.158,288,641.828,2.08,0.998,11.131,1.026,25.735,0.509,0.96,0.982
8.206,24,50993.925,3087.485,9305.07,438.009,438.009,924.883,288,731.525,3.59,0.998,18.559,1.042,60.559,1.199,0.978,0.983
1.138,3,1741.153,1399.06,6708.272,10.402,10.402,493.152,288,555.239,1.159,0.998,6.238,1.019,0,0.114,0.963,0.985
9.3,27,72773.934,3560.398,9742.081,644.843,644.843,1039.245,288,767.743,4.532,0.998,22.491,1.052,86.168,1.706,1,0.999
8.206,24,50997.545,3087.621,9318.053,438.117,438.117,941.438,288,738.991,3.574,0.998,18.499,1.041,61.564,1.219,0.955,0.982
