Present_Tmax,Present_Tmin,LDAPS_RHmin,LDAPS_RHmax,LDAPS_Tmax_lapse,LDAPS_Tmin_lapse,LDAPS_WS,LDAPS_LH,LDAPS_CC1,LDAPS_CC2,LDAPS_CC3,LDAPS_CC4,LDAPS_PPT1,LDAPS_PPT2,LDAPS_PPT3,LDAPS_PPT4,lat,lon,DEM,Slope,Solar_radiation,TARGET
31.6,23.1,51.83037949,89.90398407,30.49235652,23.47719165,6.045006831,141.7119095,0.073055832,0.059407373,0.191855218,0.234712448,0,0,0,0,37.5507,127.135,35.038,0.5055,5525.90918,31.9
32.6,23.1,37.12407684,75.50818634,32.01274043,23.86183518,4.945370158,97.17849922,0.139403161,0.023063858,0.000159466,0.032474221,0,0,0,0,37.5102,127.086,21.9668,0.1332,4672.853027,33
26.9,20.8,37.59155655,96.79947662,32.14075706,20.02310928,5.350759784,13.70532515,0.073043169,0.137808068,0.046364307,0.039432685,0,0,0,0,37.5776,127.058,33.3068,0.2661,5532.800293,29.6
25.2,19.1,61.91382599,85.41516876,28.48627515,21.79244332,8.560987075,25.59362411,0.487331046,0.17346107,0.239818943,0.271609656,0.155522327,0,0,0,37.5507,126.988,132.118,0.5931,5019.580078,27.5
31.8,21.3,30.98143196,74.22494507,33.75746085,23.6471163,6.548325956,14.80546836,0.247204972,0.322623433,0.081182736,0.142450442,0,0,0,0,37.5507,127.04,26.298,0.5721,4933.166992,32.5
31.9,20.1,30.82631111,78.85788727,33.79468429,23.50824748,6.086051702,15.17916497,0.244344556,0.300899302,0.069023025,0.103523801,0,0,0,0,37.5776,127.058,33.3068,0.2661,4936.391113,32.2
25.3,22.5,84.6964798,94.39038849,26.47478394,24.44987423,9.246158957,47.69243868,0.947525279,0.788268598,0.89139263,0.709361287,7.463632047,0.815802606,0.91304694,0,37.5776,127.058,33.3068,0.2661,5748.237793,25.5
34.7,27,41.66727829,81.20117188,33.51049217,26.57592684,6.631261329,30.16953798,0.348083226,0.167364561,0.042765378,0.01520421,0.041702747,0,0,0,37.5237,126.97,19.5844,0.2713,4961.73584,36.5
27.9,22.5,68.30918121,81.23129272,25.86366631,22.28700768,7.935374498,44.07449969,0.617209335,0.459848257,0.63565253,0.67561739,0.064978565,0.040562848,0,0,37.6046,127.032,44.7624,0.5141,5071.276855,26.6
35.5,26.7,43.94787598,80.09056854,34.85479415,28.73458827,6.469989717,37.20599345,0.230928474,0.091999887,0.009871139,0.003869137,0,0,0,0,37.5507,126.937,30.0464,0.8552,5105.529785,35.3
27,22.8,94.84165955,99.4708252,25.72510165,23.17697311,9.80040741,19.70719371,0.875706302,0.950515595,0.672264289,0.655262813,9.295324167,10.27827231,0.003767618,0,37.6181,127.004,146.554,4.7296,5794.404297,28.4
29.9,22.5,65.90009308,99.20201874,27.57163826,22.1725483,7.937933584,69.37504258,0.489499046,0.237137307,0.434447502,0.526439903,0.002860487,4.02e-05,0,4.6e-05,37.6181,127.004,146.554,4.7296,5820.243164,29.2
24.6,20.2,39.09473801,77.27999878,31.65777512,22.21231695,6.121094803,13.9450285,0.401637447,0.235913926,0.256123338,0.130518276,0,0,0.000727941,0,37.4967,126.927,30.968,0.618,5840.003906,32.7
24.5,23.4,86.59334564,94.15627289,25.11029792,22.77011785,8.480191777,41.41610138,0.839873054,0.894069966,0.971460111,0.891567853,0.09738305,3.874714325,4.403310537,0.888923163,37.5507,126.937,30.0464,0.8552,5776.346191,23.7
22.9,16.3,36.73314285,88.18451691,25.85547158,17.03374193,5.812507421,116.0936678,0.074160943,0.034181154,0.003517316,0.0180107,0,0,0,0,37.5507,127.135,35.038,0.5055,4445.645996,27.9
28,24.2,48.63179398,73.88607788,29.74562876,24.007805,7.176820626,20.49867487,0.359682588,0.305011925,0.161220682,0.345092149,0,0,0,0.108211697,37.4967,126.927,30.968,0.618,4639.975098,29.8
31.4,21.4,37.68875885,74.95168304,30.84655458,21.16404988,11.06741015,122.7796429,0.01281905,0.083798627,0.286993514,0.47319648,0,0,0,0,37.4832,127.024,56.4448,1.2313,5202.184082,33
34,26.3,66.80971527,87.22349548,31.31521084,26.73549318,7.084878395,82.8839097,0.304627269,0.380097397,0.371447367,0.348985266,0,0,0,0,37.5372,126.891,15.5876,0.1554,5631.648926,32.9
30.6,25.5,60.69599533,93.57488251,31.42336132,25.1791988,6.292194078,91.95886016,0.502194207,0.496400636,0.081857362,0.076655253,0.292703287,0.00858643,0,0,37.4697,126.995,82.2912,2.2579,5323.572754,32.2
29.9,24,32.39756775,85.34785461,32.5682278,21.72724606,4.746865779,34.12152072,0.210637414,0.020590017,0.020676352,0.213780754,0,0,0,0,37.5776,127.083,59.8324,2.6865,4741.140137,31.7
25.1,19.5,75.79769897,98.49660492,25.32820838,21.51165952,7.161918253,42.38363041,0.310384199,0.697961151,0.36060886,0.085585859,0,9.61e-05,0,0,37.6046,126.991,212.335,2.785,4915.481445,26.3
27.2,24.5,43.64786148,88.79593658,34.1204939,23.61489088,4.715063582,52.38245654,0.415302308,0.256633741,0.052556633,0.086228972,0,0,0,0,37.5776,127.083,59.8324,2.6865,5410.96875,34
30.4,23.6,76.82709503,87.60327148,23.54890526,21.46348786,6.629431625,66.12611532,0.698366227,0.630008625,0.66559045,0.416622491,0.356914413,0.069469493,0.248546583,0.005955497,37.5237,126.909,17.2956,0.2223,5838.980469,25.3
25.7,24,45.90102768,80.52112579,34.9928254,25.50938664,7.463053236,38.19968134,0.26669135,0.148282222,0.117884068,0.237093419,0,0,1.466916243,0,37.5237,126.97,19.5844,0.2713,5149.236816,32.7
28,24.3,44.1824913,85.81539917,34.09500843,25.74030563,5.992404272,47.68120178,0.223800996,0.330177465,0.203116833,0.068512215,0,0,0,0,37.5372,127.085,28.7,0.6233,5575.168457,34.9
27.6,19.6,67.76197815,97.22083282,28.22805298,21.66534837,9.50051109,54.57535836,0.023037699,0.079915137,0.636301108,0.857583847,0,0,0.043920234,7.648327167,37.6046,126.991,212.335,2.785,5953.376953,27.1
21.9,19.4,74.99810028,93.57836151,24.17285535,20.90092054,7.562338779,67.84190845,0.540994353,0.325014216,0.172067637,0.188344593,0.139467328,0.089901069,0.000851781,0.000709818,37.4697,126.995,82.2912,2.2579,5682.02002,23.5
28.6,24.3,61.56159973,86.48562622,27.79589228,22.12938385,4.976044337,109.9470565,0.273217603,0.30204172,0.125221352,0.435012731,0,0,0,0.085468775,37.5776,126.838,12.37,0.0985,4634.287598,30.5
32.7,23,47.11008835,93.44968414,32.94296769,25.96258458,6.58642292,68.04215903,0.23042912,0.12468951,0.006253648,0.006314427,0,0,0,0,37.4562,126.955,208.507,5.1782,5084.998535,32.7
28.1,22.3,58.06673431,88.0823822,24.37963391,19.47001993,13.0748774,56.42669757,0.471039514,0.665807521,0.760405098,0.770693706,0,0.021689179,0.381422716,0.862488399,37.5507,126.988,132.118,0.5931,4736.23584,23.4
32.6,23.9,50.95960617,79.72880554,32.96906213,26.83331768,7.453132629,10.89875551,0.09583238,0.029224509,0.022347617,0.211909842,0,0,0,0,37.5237,126.97,19.5844,0.2713,5739.846191,33.3
23.1,21.3,72.98562622,98.90575409,28.23172559,22.61471464,10.3746833,54.3187162,0.79203267,0.789054801,0.336950495,0.385885523,5.799428898,0.874443745,0,0,37.6046,126.991,212.335,2.785,5868.59668,26.1
33.9,24.5,55.94927979,94.74877167,33.19141251,25.22615834,5.867360135,128.0530964,0.430400049,0.062482005,0.029133783,0.003454237,0.038178668,0,0,0,37.645,127.022,45.716,2.5348,5314.910156,37
29.7,24,40.31709671,81.77357483,28.32300758,22.16569178,7.265069465,102.5541536,0.213551785,0.214911249,0.172216332,0.277676574,0,0,0,0,37.5102,127.086,21.9668,0.1332,4441.803711,28.8
32.8,21.2,38.14584732,63.11804199,29.34568056,21.68803079,11.06304421,65.18937047,0.17119259,0.14080115,0.038426163,0.031832164,0,0,0,0,37.5776,126.938,75.0924,1.7678,5752.715332,28.5
29.9,21.1,78.03156281,94.62293243,22.99917424,20.97983042,6.159697428,55.40063008,0.793864452,0.600504713,0.823165494,0.517037876,1.735025043,0.036586246,0.164391081,0.01525182,37.6181,127.099,53.4712,0.697,5861.010254,24.4
33,20.9,44.15432358,76.08287811,32.06942148,23.96426458,6.245248149,57.16855582,0.011988382,0.005328639,0.046359651,0.277465956,0,0,0,0,37.5776,126.938,75.0924,1.7678,5824.878906,33.6
27.8,25.8,41.90550613,84.87909698,35.03196922,25.77481697,6.470891049,9.880238394,0.22560286,0.298396174,0.222033947,0.088464761,0,0,0,0,37.5507,127.04,26.298,0.5721,5568.829102,34.4
30.3,24.4,53.53063202,94.58647156,31.66518326,24.34379963,6.288777664,115.6888729,0.134449592,0.181035017,0.145625088,0.244238609,0,0,0,0,37.5507,127.135,35.038,0.5055,5655.37793,34.4
29.7,21.4,36.47423935,81.96231079,29.43100353,20.9599155,5.664043456,62.87967428,0.03126236,0.00973056,0.075908375,0.228762581,0,0,0,0.089946489,37.5102,127.042,54.6384,0.1457,4498.840332,30.2
30.4,23.2,52.33101654,81.81071472,28.82749957,22.63597192,9.406216621,26.15707761,0.303492686,0.3342479,0.565047422,0.429993344,0,0,0.018808273,0.274206773,37.5507,127.04,26.298,0.5721,5182.42627,27.3
27.4,20.4,77.01298523,96.76270294,23.79921332,20.25741564,4.485333095,41.19781858,0.259945407,0.400830665,0.516918802,0.297074497,0,0.006723049,0.053257736,0.005284244,37.6181,127.004,146.554,4.7296,5914.817383,26.4
24.5,21.7,77.1364212,97.00870514,26.97010019,22.76925936,9.471884052,24.48417542,0.51935174,0.387404796,0.282116026,0.280479766,0.154898425,0,0.00789632,0,37.5507,126.988,132.118,0.5931,5864.33252,26.1
29,19.2,60.64313126,87.96508026,24.10935596,18.68392148,8.043407857,97.70496543,0.666888013,0.490374071,0.450571335,0.578455912,0.652138114,0,0.016910997,0.985093981,37.5102,127.086,21.9668,0.1332,4520.791504,23.7
27.9,22.6,54.1163826,83.7817688,30.72853203,23.28411956,8.445366353,114.5605102,0.231280838,0.164754839,0.210047627,0.410844231,0,0,0,0,37.6046,126.991,212.335,2.785,5360.637207,28.6
33.5,24.1,49.56936264,93.28395844,29.25926124,22.25149527,8.189620336,97.41845191,0.139680482,0.032315616,6.36e-05,0.188459418,0,0,0,0,37.4967,126.826,50.9312,0.4125,5796.993652,33.3
34.9,25.1,44.43551636,85.33167267,34.85239748,26.34638933,4.573143244,79.87697673,0.261142806,0.063791284,0.083547493,0.083837288,0,0,0,0,37.5102,127.086,21.9668,0.1332,5309.37207,35.9
33.6,23.6,45.56417847,81.55397034,33.48795656,24.73078495,6.351697932,93.69643831,0.167491324,0.314304075,0.079531431,0.156509576,0,0,0,0,37.5102,127.086,21.9668,0.1332,4817.633789,34.9
28.8,20.8,37.03238297,72.92285156,27.34986349,19.59796723,5.202855776,10.08261319,0.074141754,0.414183685,0.387990846,0.51960216,0,0,0,0,37.5507,127.04,26.298,0.5721,4611.688965,26.7
25.5,23,66.69322968,94.29769897,28.23363426,23.66242881,6.41640087,37.58113682,0.864877904,0.706019923,0.258834092,0.051165514,0.179891651,0.617541265,0,0,37.5507,126.988,132.118,0.5931,5609.790039,30.2
32.7,22.2,52.8570137,81.97118378,33.17903912,24.4493538,6.989652703,60.7976442,0.007894864,0.013245823,0.097030209,0.294520732,0,0,0,0,37.5776,126.938,75.0924,1.7678,5861.256348,33.8
28.2,23.9,70.40393829,92.53633881,30.89341905,25.96114341,7.188342273,87.37425627,0.24810939,0.33494311,0.072850673,0.020081728,0,0,0,0,37.4697,126.995,82.2912,2.2579,5447.843262,32.8
30.1,22.2,86.81349945,98.34252167,22.02118274,19.7904442,13.36873025,77.47858826,0.78975487,0.625152045,0.748814767,0.329051409,1.019411452,0.172152352,0.454998625,0.009224055,37.6181,127.004,146.554,4.7296,5921.158691,23.9
31.4,26.2,65.80922699,89.48704529,29.96698823,25.58990128,8.926132222,40.97030481,0.65196833,0.701384751,0.284062435,0.220740842,0.005508916,0.004464198,0,0,37.4697,126.91,52.518,1.5629,5414.691895,31.9
22.6,20,70.62561035,97.14974213,26.25003762,19.38465836,5.359322692,73.57755751,0.213397831,0.203282818,0.140298277,2.71e-05,0,0.043739657,0.111666943,0,37.6181,127.004,146.554,4.7296,5751.265137,27.6
32.4,24.2,64.15444946,91.65998077,29.90806912,25.30084087,6.92441843,82.31249372,0.213773404,0.312851625,0.152038808,0.028974059,0,0,0,0,37.4697,126.995,82.2912,2.2579,5424.245117,31.6
23.8,21.9,61.05392075,93.25775146,27.86372474,20.46646145,4.765235086,98.74565268,0.422167573,0.27558637,0.079399002,0.071706463,0,0,0,0,37.5776,126.838,12.37,0.0985,5017.061523,29.3
28.8,22.2,58.60345459,91.23609924,27.51155084,23.59611252,5.754522731,28.91621757,0.394285291,0.695835702,0.384470672,0.120090576,0,0.010352766,0.00213109,0,37.5102,127.042,54.6384,0.1457,4764.229492,29.4
28.3,18.8,47.31201935,89.9151535,31.95055629,22.08105229,5.62647744,78.21368233,0.036351729,0.00702095,0.109280313,0.001809109,0,0,0,0,37.6046,127.032,44.7624,0.5141,5810.09082,32.5
28.4,23.5,50.74213791,81.9511795,29.89913568,22.36170448,6.110805233,57.5472126,0.327562603,0.213893346,0.247602338,0.621636538,0,0,0,1.399684566,37.5776,127.083,59.8324,2.6865,4629.953613,29.9
33,26.9,41.81002045,74.61089325,36.25121567,28.59081063,6.311992248,23.82968418,0.105003889,0.22256948,0.0292042,0.001196684,0,0,0,0,37.5237,126.97,19.5844,0.2713,5119.374023,37.1
34.9,25.3,55.21665192,91.06278229,32.55631008,27.20749923,5.727682531,90.94491132,0.258711326,0.146134258,0.018412988,0.014592463,0,0,0,0,37.5372,126.891,15.5876,0.1554,5112.924805,34.9
25.9,21.1,69.84626007,94.21553802,24.80487575,20.66052618,6.534226954,40.41402328,0.75462245,0.579575628,0.314198332,0.297012779,0.974358499,0.055041092,0.016574956,0,37.4697,126.91,52.518,1.5629,5822.300781,26.2
33.1,20.3,43.71974945,73.14723206,28.47366675,19.63070702,9.665593296,164.8019807,0.139982431,0.127266523,0.051519664,0.0140291,0,0,0,0,37.6181,127.099,53.4712,0.697,5729.48584,27.8
31.6,25.7,70.12923431,96.83258057,28.8916279,24.84798363,6.593778352,87.98202117,0.544511956,0.406981549,0.414214022,0.501722003,0.020689685,0,0,0,37.6181,127.004,146.554,4.7296,4925.046875,33.6
32.2,27.8,44.83058929,92.88594055,33.46298756,25.20159925,7.723374168,77.71603777,0.637376926,0.310790597,3.43e-05,0,10.23523394,0.00637492,0,0,37.6046,127.032,44.7624,0.5141,5191.268555,31.1
25.4,24,89.63317871,95.23088837,25.82895157,23.09367395,5.643541306,29.13637873,0.908170213,0.925873917,0.904502663,0.925583727,8.976617893,9.392399877,0.603489221,0.020373456,37.5102,127.042,54.6384,0.1457,5769.900879,26.1
30.2,25.3,58.29811478,82.85382843,28.13131155,24.48562634,5.981002013,33.37436799,0.478965531,0.452288118,0.329549113,0.575696574,0,0,0,0,37.4697,126.91,52.518,1.5629,4852.797852,28.7
28.9,20.7,65.46697998,92.07756042,29.16736592,22.46781408,6.866970579,70.02292371,0.01050429,0.084630892,0.687065784,0.76158185,0,0,0.098885066,10.41243977,37.4697,126.995,82.2912,2.2579,5818.445801,29
30.2,25,73.36914825,97.59362793,27.13211555,24.4142594,8.920839528,39.3700734,0.773069394,0.779388132,0.747984353,0.590773906,0.048673553,5.316734711,0.50048532,0.015235201,37.4562,126.955,208.507,5.1782,5570.72168,29.4
31.6,22.7,57.20022583,91.09496307,27.75286528,22.96620081,5.619291763,80.43614527,0.147857309,0.286500577,0.460815958,0.808120444,0,0,0,0,37.4832,127.024,56.4448,1.2313,5864.952637,31.2
27.2,22.5,45.96413422,88.95179749,31.62205187,24.99599423,5.774121672,26.47427183,0.378539878,0.251724309,0.267005847,0.260596897,0,0.005916978,0.010177838,0,37.5507,126.988,132.118,0.5931,5685.068848,31.4
32.7,25.2,52.06259537,86.10566711,34.18996308,27.72034232,9.022655229,27.10154072,0.332359197,0.345990191,0.125991852,0.017030269,0,0,0,0,37.5776,127.083,59.8324,2.6865,5228.069824,34.3
31.2,23.7,59.91453171,79.63101959,31.05683909,26.40998523,9.708333413,14.60589296,0.211813711,0.396205317,0.159164585,0.345448884,0,0.001953125,0,0,37.5237,126.97,19.5844,0.2713,5652.883301,31.2
30.7,24.5,86.15451813,92.18735504,26.70013154,25.3294318,9.282271504,47.72728733,0.66256386,0.85263874,0.495834594,0.485863157,0.020663,3.143648167,0.002390958,0,37.4832,127.024,56.4448,1.2313,5605.04541,27.9
29.2,24.6,52.33924103,84.53871918,30.90409552,24.86794166,5.419382344,40.51815971,0.207491222,0.045644058,0.351125124,0.45332157,0,0,0,0,37.5237,126.909,17.2956,0.2223,5496.240723,31.3
28.7,24.7,46.58483124,77.82415771,32.75603268,25.52068714,4.611414939,12.64581879,0.25410634,0.178617223,0.219895255,0.097767175,0,0,0,0,37.4967,126.927,30.968,0.618,5413.71582,32.7
27.9,22.1,75.63618469,96.59371185,26.09745859,22.87898443,5.361618032,68.40587123,0.447960479,0.690099695,0.321400728,0.109024868,0,0,0,0,37.5776,126.838,12.37,0.0985,4744.449219,29.1
27.5,21,86.75489807,99.25954437,24.83791497,22.24206761,7.963500708,49.8662078,0.817668204,0.688250189,0.347272933,0.394306331,6.616184226,11.26400391,0.22297081,0.062666484,37.4562,126.955,208.507,5.1782,5703.202637,29.7
32.4,21.1,68.67913055,89.29405975,26.24342853,23.15186731,8.241520941,15.33496092,0.074945185,0.375746383,0.609157027,0.467100415,0,0,0,0,37.5507,126.988,132.118,0.5931,5832.006836,30
28.9,22.5,56.4922142,95.21194458,29.18914788,22.48935426,5.623018806,95.86171045,0.404522419,0.235002302,0.544489793,0.359294877,0.041246898,0,0,0,37.6181,127.099,53.4712,0.697,5756.279297,30
34.5,26.9,64.07609558,88.16252899,29.27818399,26.05412135,5.008460879,42.97104764,0.303694639,0.372664465,0.554037286,0.454646952,0,0,0,0,37.5237,126.909,17.2956,0.2223,5225.286621,31.8
27.8,22.3,57.38796616,95.67328644,29.6278191,21.80208576,6.221321394,136.0637162,0.726234137,0.110766862,0.180393689,0.200424294,8.293410917,0.002130334,0,0,37.4967,126.826,50.9312,0.4125,5859.089355,31.5
27.4,24,50.60819626,92.53632355,27.29127994,23.25020315,7.112927526,88.78732407,0.168408754,0.142102259,0.08047632,0.165339655,0,0,0.005666596,0,37.4832,127.024,56.4448,1.2313,4475.678711,29.8
28.5,24.9,51.81059647,93.33866882,29.33896045,24.09363591,9.435800552,70.05350478,0.916981555,0.736250209,0.160219488,0.25897908,3.781832844,0.73395109,0,0,37.5102,127.042,54.6384,0.1457,5617.494141,25.6
30.6,24.7,76.27309418,94.65117645,27.47299429,24.38553922,10.28813161,65.00115387,0.381150345,0.608388014,0.163490969,0.254966375,0.017254005,0.439459528,0,0,37.4562,126.955,208.507,5.1782,5379.565918,28.6
26.9,22.9,85.1378479,99.80718231,25.52346049,23.06219682,9.379623592,58.56425548,0.874439731,0.813824058,0.673150174,0.841409783,9.249733349,7.588655961,0,0.027886124,37.5372,126.891,15.5876,0.1554,5840.055176,28.4
34.5,25.1,65.02478027,88.71595764,27.87163545,23.82908098,4.721968691,57.29964542,0.748581219,0.379076547,0.656642833,0.479046021,0.36401847,0,0.143272926,0.394581481,37.5507,126.937,30.0464,0.8552,5764.636719,31.7
33.2,26.4,36.81603241,81.83298492,35.41222165,26.13320545,6.808636467,26.12112697,0.406140448,0.223520687,0.263935721,0.224691576,0.124008662,0,0,0,37.4967,126.927,30.968,0.618,5413.71582,35.5
32.8,23.6,38.81459427,76.97919464,34.03799278,24.65768295,5.694209019,18.7026455,0.220514679,0.136614224,0.197582004,0.30247884,0,0,0,0,37.5507,127.04,26.298,0.5721,5779.554199,33
31,19,55.39722824,90.58213806,29.38674139,22.43454312,5.913025121,96.44915942,0.382640875,0.388237546,0.422390511,0.633020333,0,0,0.021530658,0.192918355,37.6181,127.099,53.4712,0.697,5866.985352,31.1
30,23.6,60.29932022,95.26883698,25.9720554,22.19202413,7.025689522,60.93290212,0.450814692,0.707282722,0.165780755,0.002954532,0,0.089781964,0.055321397,0,37.4562,126.955,208.507,5.1782,5526.780762,29.1
29.7,26.3,77.37689972,92.14031219,30.53876495,26.22706287,6.58085525,42.9054804,0.250409709,0.474343243,0.520526005,0.133788033,0,0.214844721,0.399066324,0,37.5776,127.058,33.3068,0.2661,5296.95459,27.9
32.1,23.9,52.41328049,84.46366882,33.17143294,26.26404653,5.4408093,115.2500134,0.301526611,0.255032693,0.286078544,0.660466115,0,0,0,0,37.5507,127.135,35.038,0.5055,4786.577637,34
28.3,20.9,49.42147064,87.28251648,30.15530398,23.3128451,7.325172305,96.28882718,0.229254984,0.237348361,0.261079416,0.114272471,0.045518681,0,0,0,37.4697,126.995,82.2912,2.2579,5726.639648,30.8
25.6,22.9,86.57488251,94.77638245,26.47044161,24.47889729,8.282322943,51.87457458,0.804573309,0.672643644,0.763519883,0.561866187,0.344225923,0.638861373,0.249986229,0,37.5372,126.891,15.5876,0.1554,5559.503418,27
26.7,19.7,49.20052338,89.80760193,30.2499654,20.74998764,6.519929707,119.7408874,0.006552599,0.001313818,0.034929787,0.175582348,0,0,0,0.010530112,37.6181,127.004,146.554,4.7296,5735.703613,32
27.9,23.9,54.42513275,85.68632507,31.11642193,25.03907116,9.03161629,44.82285788,0.486132118,0.178717876,0.25051151,0.177215011,0,0,0,0,37.4697,126.91,52.518,1.5629,5673.949219,30.9
33.7,26.4,80.63295746,90.81079102,27.31722773,24.69440995,11.16172572,96.14602582,0.841684836,0.786743349,0.750669109,0.804379896,2.510901908,0.76133587,1.341163583,1.81434311,37.4697,126.91,52.518,1.5629,5771.041504,27
34.4,27.2,81.04122925,89.79981995,27.69195611,25.16736794,12.17981688,113.1964871,0.819246297,0.771407566,0.772825429,0.810793274,2.728435179,0.927067707,1.287984339,1.702545683,37.5237,126.909,17.2956,0.2223,5758.557617,27.9
25.4,22.8,60.48813629,93.21613312,29.59429998,22.79461964,6.210235327,55.14654859,0.352404997,0.158642227,0.095213005,0.038324001,0,0,0,0,37.6046,127.032,44.7624,0.5141,5789.401367,31.1
31.2,22.7,54.48204041,89.67784882,29.5229586,23.33433731,6.054126749,68.54264927,0.212147536,0.506755642,0.347705428,0.316765072,0,0.029436745,0.034728023,0,37.5102,127.086,21.9668,0.1332,5723.705566,32.5
27.9,21.7,26.04264069,84.1392746,28.95483011,20.76052562,8.651890218,41.69169279,0.077175606,0.316045961,0.091776347,0,0,0.152687341,0.303015653,0,37.5776,127.083,59.8324,2.6865,5855.550293,29.1
30.9,26.9,61.42834091,89.79150391,32.15569035,25.21923575,8.086207449,50.69116855,0.772548137,0.604973074,0.386855471,0.573167315,1.752959246,3.28812663,0.023144556,1.346323443,37.5237,126.97,19.5844,0.2713,5460.181641,29.9
29.6,24.1,51.4695549,83.99359894,34.73272969,25.44865435,5.902815531,79.15464401,0.571592587,0.378525101,0.430453172,0.629678469,0,0,2.187911391,0.929449054,37.5237,126.909,17.2956,0.2223,5790.700195,33.6
27.5,25.2,55.59846115,93.40632629,28.11388572,22.67222463,5.742256949,36.3250953,0.79318114,0.657575578,0.347329084,0.039023572,5.40337495,0.030386674,0.000446424,0,37.5507,127.04,26.298,0.5721,4830.418457,29
27.7,20.3,38.54032516,91.24058533,32.91986903,21.28154511,5.193238199,36.85879324,0.013466084,0.037444406,0.063615561,0.199644217,0,0,0,0,37.5776,127.083,59.8324,2.6865,5654.287598,32.6
31.4,23.5,55.0396347,86.69335175,30.65060665,25.09834647,5.886494915,83.28977203,0.48976616,0.364096946,0.302184376,0.053689149,0,0,0,0,37.4697,126.995,82.2912,2.2579,4642.440918,31.5
33.3,24.3,60.96154404,85.60211945,32.30580313,27.01450962,4.921388427,82.74378451,0.193429759,0.126199049,0.423696172,0.069963091,0,0,2.30861187,0.005209917,37.6046,127.032,44.7624,0.5141,5162.595703,34.4
29.6,24.5,54.09600067,92.22897339,30.26399069,24.60425896,6.660452406,85.94841703,0.247028256,0.103074487,0.090679664,0.132524602,0,0,0,0,37.5372,126.891,15.5876,0.1554,5309.287109,30.1
31.5,27.7,69.87063599,85.4028244,31.06660717,27.34258967,7.796564678,9.27742221,0.476457844,0.511524983,0.399145421,0.320270046,0,0,0,0,37.5507,127.04,26.298,0.5721,5605.689453,28.1
23.8,16.7,46.39023972,85.24729156,25.87317919,17.15704809,5.893612156,77.06270617,0.068987013,0.011125455,0.39665001,0.275363364,0,0,0.758154343,0.094226395,37.6046,126.991,212.335,2.785,5975.67627,27.2
32,23.7,41.68707657,76.79693604,34.17806732,25.16489667,6.773318072,56.77535947,0.185716804,0.311940327,0.114764547,0.139981572,0,0,0,0,37.5102,127.042,54.6384,0.1457,4835.805664,34.8
