VAR6,VAR7,VAR8,VAR9,VAR10,VAR11,VAR12,VAR13,VAR14,VAR15,VAR16,VAR17,VAR18,VAR19,VAR20,VAR21,VAR22,VAR23,VAR24,VAR25,VAR26,VAR27,VAR28,VAR29,VAR30,VAR31,VAR32,VAR33,VAR34,VAR35,VAR36,VAR37,VAR38,VAR39,VAR40,VAR41,VAR42,VAR43,VAR44,VAR45,VAR46,VAR47,VAR48,VAR49,VAR50,VAR51,VAR52,VAR53,VAR54,VAR55,VAR56,VAR57,VAR58,VAR59,VAR60,VAR61,VAR62,VAR63,VAR64,VAR65,VAR66,VAR67,VAR68,VAR69,VAR70,VAR71,VAR72,VAR73,VAR74,VAR75,VAR76,VAR77,VAR78,VAR79,VAR80,VAR81,VAR82,VAR83,VAR84,VAR85,VAR86,VAR87,VAR88,VAR89,VAR90,VAR91,VAR92,VAR93,VAR94,VAR95,VAR96,VAR97,VAR98,VAR99,VAR100,VAR101,VAR102,VAR103,VAR121,VAR122,VAR123,VAR128,target
10019,2.71,53.49,45.97,0.16,0.7,16.04,27.4,12.66,13.04,0,0,17682,73.52,2.06,21.8,36.2,16.32,10.14,23135,9066,13016,5736,8810,0,5278,4346,2679,26.76,21.54,40.94,11.42,8.68,56.17,35.34,17.16,29.56,18.09,11.66,29.72,16.48,14.42,3.26,53.66,47.32,59.36,62.33,65.88,75.21,877,9.57,69,0,0,17.39,26.09,0,0,0.12,0.18,97.34,0.52,6.93,4.98,2.67,2.73,2.58,61.71,5.3,41.01,3,150,96.1,60.3,0,36.67,1971,8.92,1.33,33000,41500,59400,26400,103,192,260,157,277,26.5,21.9,15.3,0,0,0.69,86.08,58.57,88.88,94.2,7.4,1359.8,0.26,0,1522.7
23622,2.33,2.5,97,0.32,0.25,11.89,21.59,10.29,18.06,23622,100,21904,63.05,0.62,35.58,39.06,10.3,20.81,29304,12711,12844,9616,8618,8633,0,2104,4211,18.06,11.99,29.76,14.24,7.23,46.42,22.04,24.16,15.88,26.08,10.21,21.19,14.55,12.63,2.87,70.07,67.12,80.05,81.04,48.84,55.01,295,1.43,146,17.81,32.88,42.47,46.58,0.11,0.2,0.26,0.29,97.71,0.35,2.13,1.44,2.3,2.37,2.17,67.34,1.05,48.53,3,893,91.9,65.33,3.25,47.82,1953,7.89,0.45,30900,43800,63100,32200,129,218,282,153,288,24.3,15.2,11.9,18,0,0.62,72.14,60.11,85.13,90.78,11.1,2121.2,0.37,0,514.54
56216,3.07,6.87,61.68,15.23,29.86,15.46,30.16,14.34,8.08,56216,100,24727,75.05,1.12,31.42,21.45,19.98,14.41,27388,10237,13041,8344,8590,3399,6470,6644,13804,25.06,17.12,30.87,15.79,9.99,55.53,13.47,27.18,16.38,25.02,10.22,31.91,16.28,13.34,3.56,67.04,64.81,76.19,72.78,47.24,55.38,1960,4.49,10623,22.97,35.12,42.1,60.31,4.34,6.64,7.96,11.4,65.33,11.87,13.49,9.91,3.03,2.83,3.19,41.69,16.89,57.23,2,683,96.4,44.63,1.46,13.18,1973,4.91,0.55,71200,91100,118900,47700,298,374,455,157,438,29.8,22.6,11.7,64,0,18.9,52.67,39.19,74.58,85.88,16.7,3365.4,0.59,0,545.75
10486,2.69,3.73,93.69,0.74,4.5,13.75,24.67,11.26,8.38,10488,100,44130,85.85,1.57,49.41,18.19,1.88,13.46,51424,20529,21389,5695,14109,1550,7883,9370,782,7.64,5.83,13.65,36.96,4.58,67.3,16.18,24.17,5.83,41.77,8.12,21.78,10.72,9.47,3.06,83.3,81.14,92.19,87.4,53.41,64,60,0.77,299,1.34,11.37,25.75,42.14,0.04,0.32,0.73,1.2,94.1,0.98,3.39,2.62,2.64,2.74,2.42,70.97,3.03,36.17,3,467,89.29,68.35,1.28,47.75,1980,4.55,0.16,79600,118600,155200,75600,334,441,594,260,543,24.5,23.6,12.5,0,0,2.85,56.52,39.47,54.76,85.58,15.2,690.4,0.56,0,394.21
66692,2.52,6.17,90.7,1.83,8.14,12.47,24.85,11.7,13.02,66692,100,41832,80.64,0.82,53.22,26,2.53,13.21,50382,21702,22402,15340,17358,15381,9891,14803,2339,3.54,3.84,12.34,31.73,3.91,66.72,9.19,24.38,4.97,37.33,8.24,27.15,12.08,10.27,2.97,80.7,79.43,91.84,76.66,59.08,68.12,590,1.28,9284,12.16,18.42,26.13,34.31,1.69,2.56,3.64,4.78,85.15,1.91,2.99,2.12,2.5,2.63,2.16,76.31,2.45,48.78,3,2910,90.1,72.6,0.24,24.54,1978,0.62,0.18,93300,130100,172900,79600,530,617,735,205,705,27.1,23.2,12.5,0,0,13.92,20.85,40.63,70.21,77.34,22.5,2959.4,0.87,8.33,502.05
11880,2.53,8.43,90.66,0.28,1.05,12.72,25.83,12.35,14.65,0,0,26777,75.69,0.73,31.35,33.16,6.53,18.55,31531,12062,12299,9788,3956,25571,4637,9253,1070,9.21,19.45,41.92,8.06,6.16,60.67,12.73,20.15,16.35,17.76,11.6,26.11,13.33,12.52,3.03,71.9,67.06,89.05,73.18,68.15,72.71,180,1.85,161,3.11,3.11,23.6,23.6,0.04,0.04,0.32,0.32,96.6,0.58,4.3,2.94,2.49,2.57,2.37,62.27,2.21,42.87,3,284,94.3,60.33,3.52,44.37,1964,8.09,0.68,63000,81000,105400,42400,252,336,417,165,411,22.9,21.9,11.7,0,0,1.36,72.3,52.55,78.6,91.72,9.6,1238.5,1.27,0,177.04
25312,2.6,39.97,59.43,0.3,0.61,14.7,26.81,13.54,12.78,25338,100,20478,71.03,0.39,20.51,31.38,10.49,16.82,24575,9954,12650,5925,11618,2674,11453,10541,5533,22.21,18.64,40.9,10.62,8.83,55.08,26.86,22.11,22.48,18.53,12.83,28.56,16.74,14.99,3.12,58.74,51.31,67.6,66.22,61.25,68.13,1739,7.62,243,6.17,6.17,9.88,47.74,0.06,0.06,0.09,0.46,96.65,0.55,5.45,3.86,2.55,2.62,2.48,56.47,4.73,50.57,2,1068,90.12,55.09,2.34,33.15,1964,8.87,0.49,31900,46900,66400,34500,99,196,296,197,290,26.5,17.9,12.7,0,0,0.96,53.48,57.5,83.27,87.97,21.1,1197.4,0.82,0,816.58
21923,2.42,7.72,91.25,0.67,0.46,12.9,23.66,11.37,16.46,0,0,22458,64.12,0.62,40.8,34.39,12.22,21.42,29499,12529,12444,11381,15856,25201,38057,11488,4250,19.84,10.68,30.4,13.88,10.65,50.03,23.76,26.17,18.74,24.66,12.03,24.93,15.81,14.14,2.95,66.7,65.23,68.57,74.26,55.65,63.75,494,2.55,292,19.18,19.18,29.11,33.56,0.26,0.26,0.39,0.45,96.74,0.64,3.35,2.25,2.37,2.44,2.26,61.54,1.47,50.39,2,723,92.6,59.71,1.8,52.28,1946,8.57,0.3,35100,49600,70200,35100,163,230,293,130,321,27.3,18.2,13.1,0,0,1.33,83.26,56.37,87.21,94.14,8.2,2685.2,0.88,0,415.27
80414,2.61,41.58,57.23,0.85,0.81,17.66,33.2,19.51,11.69,80414,100,25153,77.17,0.67,34.72,26.21,8.36,16.15,32212,14093,18980,7522,11350,9166,5355,10616,16227,21.61,9.29,23.46,29.44,5.15,60.02,8,31.76,9.08,31.56,9.55,43.56,13.42,11.62,3.12,59.31,51.85,67.62,61.32,67.24,73.01,6087,10.52,1906,22.77,27.49,32.69,39.4,0.54,0.65,0.77,0.93,94.91,0.58,5.93,3.66,2.43,2.63,2.25,52.01,4.15,53.18,2,3569,89.6,48.14,8.94,59.71,1964,5.06,0.6,61800,86600,138400,76600,218,341,417,199,428,28.6,22,13.4,176,0,2.37,65.84,44.85,75.4,83.62,44.8,1796.2,5.85,2.4,1283.7
10145,2.69,2.18,94.68,0.59,4.05,14.21,24.55,11.73,11.26,0,0,25943,78.55,3.92,36.3,25.05,4.92,21.07,30012,11526,11887,5497,4838,256,6069,6992,1390,13.93,8.53,23.66,13.38,8.04,60.01,26.9,23.06,23.13,23.04,9.39,20.11,11.1,10.29,3.07,79.85,74.56,79.97,81.76,65.73,72.81,166,2.01,182,0,0,4.95,4.95,0,0,0.09,0.09,95.88,0,4.12,3.21,2.66,2.66,2.68,75.42,3.26,35.9,3,405,90.29,75.56,2.72,63.21,1967,7.46,0.38,32000,45400,64600,32600,172,242,335,163,346,25.3,17.3,12.6,0,0,1.79,55.67,54.88,80.19,88.4,9.9,1028.9,0,0,152.6
30270,2.56,5.97,90.82,2.63,1.65,10.94,25.55,10.35,9.28,28209,93.19,50843,88.27,0.54,57.24,17.44,1.47,13.62,57347,23248,23110,21232,25762,34192,8459,16332,595,1.99,2.69,10.1,37.11,2.55,72.68,14.33,24.19,5.97,40.23,7.53,26.22,10.71,9.21,3.03,84.86,83.56,96.07,80,57.23,69.33,112,0.56,1439,9.1,10.08,18.14,24.32,0.43,0.48,0.86,1.16,93.1,0.44,3.31,2.37,2.53,2.62,2.12,84.8,0.64,46.67,3,769,93.9,81.9,0.91,21.07,1983,0.3,0.19,115600,149000,190400,74800,584,654,722,138,758,24.4,22.5,13.5,0,0,4.75,39.49,45.29,68.41,82.68,22.6,1339.6,3.5,0,103.28
29040,2.41,0.93,97.28,0.52,2.91,14.06,25.17,12.52,14.83,0,0,24146,73.21,1.45,46.7,35.45,6.39,15.93,31225,12229,12366,6227,0,3176,8015,9475,2695,9.63,7.54,20.34,16.28,4,62.27,19.62,27.75,17.99,22.51,8.47,25.97,11.3,10.03,2.95,75.4,74.67,82.6,81.69,76.17,80.04,486,1.99,323,15.17,15.17,15.17,18.58,0.17,0.17,0.17,0.21,96.19,0.39,2.15,1.38,2.32,2.51,1.96,71.19,0.87,49.25,3,642,94.93,65.84,2.02,35.36,1952,4.37,0.11,32600,44100,59500,26900,193,258,327,134,322,25.2,16.8,12.9,41,0,1.11,76.51,55.85,82.26,92.97,26.5,1095.2,1.02,0,1088.12
27630,2.79,30.92,65.53,1.99,2.82,19.14,34.44,20.87,9.15,27529,100,31308,80.72,0.76,42.53,24.06,7.13,21.12,38058,14105,16388,9113,16275,18666,8163,10207,3037,12.45,6.21,17.79,26.54,4.07,66.79,14.49,27.89,11.32,30.77,9.9,38.66,13.94,12,3.05,65.66,60.16,76.32,69.48,65.89,74.91,1250,6.92,1032,10.17,15.5,23.06,28.68,0.38,0.58,0.86,1.07,92.41,0.78,4.32,2.91,2.48,2.65,2.28,57.61,2.68,45.87,3,585,94.42,53.88,2.05,31.97,1968,3.61,0.31,70900,88700,113700,42800,292,393,478,186,470,24.6,19.5,11.6,22,3,3.75,37.69,40.15,68.55,71.92,22.1,1251.2,0.62,0,887.29
11005,2.92,0.76,97.48,1.46,0.87,16.11,25.58,12.21,7.49,11005,100,43236,84.85,1.01,54.04,20.6,1.54,22.2,48186,16930,17017,30940,7663,8563,38667,53827,309,2.84,5.46,15.64,29.42,2.91,68.46,15.32,25.47,8.36,34.91,5.94,23.44,7.84,6.91,3.18,85.31,82.93,92.32,89.36,60.93,70.86,54,0.71,231,3.03,5.63,15.58,16.88,0.06,0.12,0.33,0.35,95.75,0.26,3.34,2.81,2.9,2.92,2.77,83.47,0.98,20.77,3,121,96.89,82.7,3.31,50.41,1973,1.51,0.23,83400,113700,151600,68200,403,475,653,250,574,25.6,22.2,12.2,0,0,2.1,52.23,53.05,65.15,80.9,16.1,684.6,0.44,0,355.9
25787,2.83,8.04,86.58,4.52,2.58,17.33,30.45,18.96,11.66,24233,93.97,51035,84.63,1,62.37,23.14,2.67,16.66,59807,23605,24100,22276,5021,19372,13711,11148,871,3.72,5.16,12.38,44.47,3.01,66.75,11.99,34.63,5.46,45.77,5.51,36.93,9.18,7.48,3.03,82.67,80.14,94.59,84.8,61.5,69.52,333,2.18,2708,13.7,23.23,32.61,36.19,1.44,2.44,3.42,3.8,84.19,1.44,3.5,2.58,2.56,2.69,2.22,75.94,1.21,36.04,3,533,94.47,72.25,1.31,41.46,1970,0.18,0.08,131000,176000,244700,113700,535,650,861,326,731,25.6,21.9,13.5,99,0,10.5,54.55,49.09,66.36,83.73,22.9,1124,5.43,0,264.12
119363,2.84,0.97,83.73,1.57,28.83,15.27,29.87,14.47,7.09,119363,100,28729,84.55,0.77,30.63,18.76,5.22,12.42,32371,12402,13254,6232,12973,16358,6849,6919,16724,14.15,12.51,30.24,10.89,7.38,62.65,19.17,16.5,16.99,18.12,12.8,26.85,15.98,14.4,3.31,74.85,71.24,84.55,75.7,52.36,58.91,1576,1.82,12973,12.16,20.64,30.12,45.53,1.32,2.24,3.27,4.95,73.64,5.57,7.89,5.82,2.82,2.9,2.73,53.01,10.83,51.97,2,5495,88.44,51.52,5.61,45.24,1966,9.27,0.71,36100,49000,68000,31900,262,323,389,127,383,23,18.2,12.3,6,3,10.87,62.93,45.07,84.67,92.54,45.3,2632.4,0.38,7.11,1248.05
15979,2.71,1.01,98.26,0.38,0.55,13.49,29.51,13.42,8.09,15979,100,33502,86.63,0.39,44.15,21.53,3.84,12.25,37793,13303,13329,13442,32000,7391,6212,21546,858,5.38,5.45,17.79,16.17,2.84,74.11,17.64,16.68,15.57,21.52,9.21,25.41,12.69,11.03,3.17,78.31,76.58,91.31,77.54,67.51,75.42,122,1.07,170,20.59,24.71,31.76,31.76,0.22,0.26,0.34,0.34,97.41,0.42,4.32,3.26,2.71,2.9,2.32,72.56,1.71,40.57,3,188,96.91,67.91,1.06,19.68,1968,1.61,0.33,54100,64400,73300,19200,306,358,408,102,394,21.1,15.7,12,0,0,1.06,64.59,54.35,76.32,88.27,8.6,1858,2.96,0,591.05
64989,2.59,3.7,90.11,2.93,8.14,12.89,29.89,14.92,10.57,64972,100,42948,84.2,0.74,48.84,21.88,5.58,15.11,53270,20407,20915,15988,13493,23186,8226,10816,3663,5.96,5,13.9,36.38,6.42,68.32,18.29,27.63,7.24,38.21,7.99,36.48,11.03,9.62,3.03,76.83,75.16,82.84,75.26,66.86,74.38,1276,3,7604,20.67,31.69,41.23,46.7,2.42,3.71,4.82,5.46,83.72,3.32,3.6,2.35,2.44,2.76,2.08,60.65,2.61,48.76,3,1289,95.12,53.73,1.47,20.64,1962,2.03,0.49,157800,184700,232400,74600,415,626,757,342,695,25.7,21.4,13.6,92,0,11.7,62.45,55.47,78.51,87.73,26,2497.3,2.81,5.56,978.02
11818,2.77,1.96,95.53,2.33,0.89,10.63,17.83,8.49,13.38,11818,100,53396,80.87,0.26,71.35,27,1.16,21.55,60514,25356,25049,6733,396,65560,0,38089,255,2.26,2.5,9.43,41.57,3.78,59.51,20.44,27.2,6.63,50.79,8.24,24.19,7.05,7.65,3.07,92.06,90.93,96.71,91.01,47.53,59.51,0,0,593,5.4,5.4,5.4,7.08,0.27,0.27,0.27,0.36,89.93,0.69,3.34,2.6,2.65,2.77,1.89,90.76,0.19,20.72,3,142,96.78,87.01,0,19.72,1969,0.14,0.16,111900,144400,190800,78900,488,612,870,382,708,27.1,20.7,12.1,0,0,5.02,73.9,59.99,83.95,92.78,20.3,581.7,3.52,0,39.71
23916,2.75,0.13,98.74,0.47,0.92,13.83,27.68,12.85,10.66,0,0,34337,81.15,0.46,53.95,24.98,4.52,13.82,38565,13957,14025,2806,8036,5512,28686,11737,1025,4.37,10.04,19.66,16.54,3.43,68.31,35.63,17.93,22.1,21.92,7.2,27.51,9.66,8.48,3.2,82,81.94,88.27,84.38,66.43,75.34,264,1.42,349,0,1.72,8.02,9.74,0,0.03,0.12,0.14,95.85,0.35,4.49,3.29,2.71,2.96,2.28,68.84,1.51,39.8,3,201,97.74,62.96,0.5,25.87,1967,1.46,0.32,62500,73100,90400,27900,320,391,444,124,455,23.8,20.4,13,2,0,1.46,84.14,52.47,82.5,94.86,10.4,2302,0.28,0,127.57
37649,3.01,7.85,70.52,5.42,26.83,12.41,27.18,11.59,7.86,37649,100,31702,79.69,0.97,35.24,20.36,11.15,17.83,35321,13384,14655,17088,9983,10533,6720,8647,5275,15.07,8.98,21.56,14.22,7.34,58.67,16.04,18.09,12.66,21.47,13.2,31.24,16.55,14.78,3.28,69.23,65.94,75.68,69.62,54.79,64.36,1288,4.9,5057,23.12,30.93,37.83,50.07,3.1,4.15,5.08,6.73,77.2,6.6,8.45,6.13,2.81,2.75,2.88,50.72,10.88,50.63,2,757,94.29,51.86,0.26,17.17,1969,4.54,0.35,122500,144600,172100,49600,377,463,579,202,514,28.7,24.3,11.6,21,119,13.43,46.28,35.92,74,84.82,11.6,3233.3,0.41,0,467.36
20816,2.6,1.44,89.99,8.04,1.44,12.16,19.04,9.14,13.11,20816,100,61572,79.89,0.94,73.54,26.71,1.27,20.06,71136,31438,32491,28390,31919,21042,9429,13867,476,2.3,0.77,3.24,60.32,3.24,61.62,12.74,31.68,2.86,54.52,6.11,22.22,11,8.68,2.97,83.51,84.22,95.11,81.51,41.6,56.84,47,0.31,2166,16.25,24.05,29.96,32.78,1.69,2.5,3.12,3.41,89.85,0.98,2.82,2.17,2.59,2.74,2.05,83.1,0.9,22.64,3,314,96.23,78.66,0.32,27.71,1964,0.2,0.59,237800,335900,485700,247900,471,571,751,280,607,26.2,20.2,11.2,0,0,10.41,39.48,55.15,78.95,82.66,6.6,3148.2,6.42,0,103.33
21472,2.81,10.46,67.07,3.44,31.32,15.3,30.61,14.79,8.33,0,0,28289,80.49,0.21,26.16,19.12,12.8,18.49,31618,11889,13045,11125,6339,11289,8579,8586,3032,14.36,8.72,24.83,10.19,9.13,58.67,3.47,17.73,14.05,21.32,12.45,27.72,16.41,14.45,3.27,68.07,61.36,71.67,68.96,46.16,60.63,553,3.2,1618,22.81,28.06,36.16,46.54,1.72,2.11,2.72,3.51,78.67,2.96,8.08,5.87,2.79,2.82,2.74,53.65,9.85,51.1,2,858,89.92,52.92,2.56,21.91,1966,10.08,0.89,61500,71900,89300,27800,308,393,487,179,464,27.3,19.8,11.5,32,8,7.54,45.05,41.6,71.93,80.06,23.7,904.6,1.25,0,1047.46
33102,2.48,1.37,92.35,3.01,3.05,12.3,27.8,12.65,10.39,33102,100,30007,79.94,0.91,37.01,22.1,8.49,14.52,35198,13866,14214,12190,8060,10138,9482,9185,3498,10.79,5.3,18.02,12.9,4.92,66.16,28.43,15.76,18.58,20.05,14.78,29.73,19.63,17.29,2.98,64.76,63.26,74.62,70.26,58.22,69,737,2.98,1639,14.28,17.45,21.96,30.93,0.71,0.86,1.09,1.53,93.21,0.98,3.56,2.29,2.43,2.53,2.34,50.8,4.24,60.13,2,620,95.56,48.78,2.74,15.48,1971,4.46,0.04,75200,91500,119000,43800,321,398,470,149,467,24.5,19.9,12,7,5,4.95,50.36,36.99,72.72,85.32,20.4,1622,3.3,0,447.63
25380,2.79,0.52,96.96,2.27,0.89,14.01,22.8,10.53,7.57,25380,100,54505,86.64,1.58,63.1,16.37,1.6,12.49,62686,24956,25195,50167,19742,13624,9172,17107,395,1.58,1.33,4.96,51.3,2.27,71.22,15.31,23.8,4.06,43.77,5.36,22.36,9.41,7.49,3.18,88.24,89.3,96.65,85.87,54.22,65.59,36,0.21,888,13.29,26.24,36.15,46.62,0.46,0.92,1.26,1.63,94.03,0.87,3.27,2.56,2.75,3.06,1.99,79.15,0.47,31.52,3,534,94.46,71.23,0,12.73,1977,0.42,0.11,108000,142500,189300,81300,398,480,603,205,560,23,18.7,11.1,0,0,3.5,49.86,39.93,56.53,77.29,13,1945.1,0.27,0,123.07
