ID,CRIM,RM,AGE,DIS,B,LSTAT,TARGET
148,0.07013,6.642,85.1,3.4211,392.78,9.69,28.7
149,0.11069,5.951,93.8,2.8893,396.9,17.92,21.5
150,0.11425,6.373,92.4,3.3633,393.74,10.5,23
151,0.35809,6.951,88.5,2.8617,391.7,9.71,26.7
153,0.62356,6.879,77.7,3.2721,390.39,9.93,27.5
154,0.6147,6.618,80.8,3.2721,396.9,7.6,30.1
155,0.31533,8.266,78.3,2.8944,385.05,4.14,44.8
156,0.52693,8.725,83,2.8944,382,4.63,50
160,0.537,5.981,68.1,3.6715,378.35,11.65,24.3
162,0.44791,6.726,66.5,3.6519,360.2,8.05,29
164,0.08244,6.481,18.5,6.1899,379.41,6.36,23.7
166,0.10612,6.095,65.1,6.3361,394.62,12.4,20.1
170,0.19133,5.605,70.2,7.9549,389.13,18.46,18.5
171,0.1403,6.487,13,7.3967,396.28,5.9,24.4
172,0.04819,6.108,32,9.2203,392.89,6.57,21.9
173,0.01538,7.454,34.2,6.3361,386.34,3.11,44
174,0.66351,7.333,100,1.8946,383.29,7.79,36
175,0.65665,6.842,100,2.0107,391.93,6.9,30.1
176,0.54011,7.203,81.8,2.1121,392.8,9.59,33.8
178,0.82526,7.327,94.5,2.0788,393.42,11.25,31
179,0.76162,5.56,62.8,1.9865,392.4,10.45,22.8
181,0.57834,8.297,67,2.4216,384.54,7.44,50
182,0.09065,5.92,61.5,3.9175,391.34,13.65,20.7
185,0.10469,7.267,49,4.7872,389.25,6.05,33.2
186,0.07978,6.482,32.1,4.1403,396.9,7.19,29.1
187,0.03578,7.82,64.5,4.6947,387.31,3.76,45.4
188,0.01501,7.923,24.8,5.885,395.52,3.16,50
189,0.00906,7.088,20.8,7.3073,394.72,7.85,32.2
190,0.01096,6.453,31.9,7.3073,394.72,8.23,22
192,0.03871,6.209,31.3,7.3172,396.9,7.14,23.2
193,0.03502,6.861,27.9,5.1167,396.9,3.33,28.5
196,0.08199,6.009,42.3,5.5027,396.9,10.4,21.7
197,0.12932,6.678,31.1,5.9604,396.9,6.27,28.6
199,0.14103,5.79,58,6.32,396.9,15.84,20.3
200,0.06466,6.345,20.1,7.8278,368.24,4.97,22.5
204,0.09266,6.495,18.4,5.4917,383.61,8.67,26.4
206,0.05515,7.236,41.1,4.022,393.68,6.93,36.1
207,0.05479,6.616,58.1,3.37,393.36,8.93,28.4
209,0.3494,5.972,76.7,3.1025,396.24,9.97,20.3
210,0.79041,6.122,52.8,2.6403,396.9,5.98,22.1
211,0.26169,6.023,90.4,2.834,396.3,11.72,19.4
212,0.3692,6.567,87.3,3.6023,395.69,9.28,23.8
213,0.25356,5.705,77.7,3.945,396.42,11.5,16.2
214,0.31827,5.914,83.2,3.9986,390.7,18.33,17.8
215,0.24522,5.782,71.7,4.0317,396.9,15.94,19.8
216,0.40202,6.382,67.2,3.5325,395.21,10.36,23.1
217,0.47547,6.113,58.8,4.0019,396.23,12.73,21
218,0.1676,6.426,52.3,4.5404,396.9,7.2,23.8
219,0.18159,6.376,54.3,4.5404,396.9,6.87,23.1
220,0.35114,6.041,49.9,4.7211,396.9,7.7,20.4
221,0.28392,5.708,74.3,4.7211,391.13,11.74,18.5
222,0.34109,6.415,40.1,4.7211,396.9,6.12,25
223,0.19186,6.431,14.7,5.4159,393.68,5.08,24.6
224,0.24103,6.083,43.7,5.4159,396.9,12.79,22.2
225,0.06617,5.868,25.8,5.2146,382.44,9.97,19.3
226,0.04544,6.144,32.2,5.8736,368.57,9.09,19.8
227,0.05023,5.706,28.4,6.6407,394.02,12.43,17.1
228,0.03466,6.031,23.3,6.6407,362.25,7.83,19.4
230,0.03961,6.037,34.5,5.9853,396.9,8.01,21.1
231,0.03427,5.869,46.3,5.2311,396.9,9.8,19.5
233,0.05497,5.985,45.4,4.8122,396.9,9.74,19
235,0.01301,7.241,49.3,7.0379,394.74,5.49,32.7
237,0.03113,6.014,48.5,8.0136,385.64,10.53,17.5
239,0.0187,6.516,27.7,8.5353,392.43,6.36,23.1
241,0.02899,6.939,34.5,8.7921,389.85,5.89,26.6
242,0.0795,6.579,35.9,10.7103,370.78,5.49,24.1
243,0.07244,5.884,18.5,10.7103,392.33,7.79,18.6
244,0.01709,6.728,36.1,12.1265,384.46,4.5,30.1
245,0.10659,5.936,19.5,10.5857,376.04,5.57,20.6
246,8.98296,6.212,97.4,2.1222,377.73,17.6,17.8
251,3.83684,6.251,91.1,2.2955,350.65,14.19,19.9
255,5.66998,6.683,96.8,1.3567,375.33,3.73,50
257,18.4982,4.138,100,1.137,396.9,37.97,13.8
259,9.82349,6.794,98.8,1.358,396.9,21.24,13.3
260,23.6482,6.38,96.2,1.3861,396.9,23.69,13.1
261,17.8667,6.223,100,1.3861,393.74,21.78,10.2
263,15.8744,6.545,99.1,1.5192,396.9,21.08,10.9
264,9.18702,5.536,100,1.5804,396.9,23.6,11.3
266,20.0849,4.368,91.2,1.4395,285.83,30.63,8.8
267,16.8118,5.277,98.1,1.4261,396.9,30.81,7.2
268,24.3938,4.652,100,1.4672,396.9,28.28,10.5
270,14.3337,4.88,100,1.5895,372.92,30.62,10.2
273,5.29305,6.051,82.5,2.1678,378.38,18.76,23.2
275,8.64476,6.193,92.6,1.7912,396.9,15.17,13.8
277,14.2362,6.343,100,1.5741,396.9,20.32,7.2
279,24.8017,5.349,96,1.7028,396.9,19.77,8.3
281,67.9208,5.683,100,1.4254,384.97,22.98,5
284,14.0507,6.657,100,1.5275,35.05,21.22,17.2
285,18.811,4.628,100,1.5539,28.79,34.37,17.9
286,28.6558,5.155,100,1.5894,210.97,20.08,16.3
287,18.0846,6.434,100,1.8347,27.25,29.05,7.2
288,73.5341,5.957,100,1.8026,16.45,20.62,8.8
291,7.02259,6.006,95.3,1.8746,319.98,15.7,14.2
292,12.0482,5.648,87.6,1.9512,291.55,14.1,20.8
293,7.05042,6.103,85.1,2.0218,2.52,23.29,13.4
295,15.8603,5.896,95.4,1.9096,7.68,24.39,8.3
296,7.36711,6.193,78.1,1.9356,96.73,21.52,11
297,9.33889,6.38,95.6,1.9682,60.72,24.08,9.5
298,8.49213,6.348,86.1,2.0527,83.45,17.64,14.5
299,10.0623,6.833,94.3,2.0882,81.33,19.69,14.1
300,5.58107,6.436,87.9,2.3158,100.19,16.22,14.3
301,14.4208,6.461,93.3,2.0026,27.49,18.05,9.6
302,15.1772,6.152,100,1.9142,9.32,26.45,8.7
303,9.39063,5.627,93.9,1.8172,396.9,22.88,12.8
304,22.0511,5.818,92.4,1.8662,391.45,22.11,10.5
305,5.66637,6.219,100,2.0048,395.69,16.59,18.4
306,9.96654,6.485,100,1.9784,386.73,18.85,15.4
309,9.92485,6.251,96.6,2.198,388.52,16.44,12.6
310,9.32909,6.185,98.7,2.2616,396.9,18.13,14.1
312,5.44114,6.655,98.2,2.3552,355.29,17.73,15.2
313,5.09017,6.297,91.8,2.3682,385.09,17.27,16.1
315,9.51363,6.728,94.1,2.4961,6.68,18.71,14.9
316,4.75237,6.525,86.5,2.4358,50.92,18.13,14.1
317,8.20058,5.936,80.3,2.7792,3.5,16.94,13.5
318,6.80117,6.081,84.4,2.7175,396.9,14.7,20
319,3.69311,6.376,88.4,2.5671,391.43,14.65,17.7
320,6.65492,6.317,83,2.7344,396.9,13.99,19.5
321,5.82115,6.513,89.9,2.8016,393.82,10.29,20.2
322,7.83932,6.209,65.4,2.9634,396.9,13.22,21.4
323,3.77498,5.952,84.7,2.8715,22.01,17.15,19
324,4.34879,6.167,84,3.0334,396.9,16.29,19.9
325,4.03841,6.229,90.7,3.0993,395.33,12.87,19.6
326,3.56868,6.437,75,2.8965,393.37,14.36,23.2
328,6.39312,6.162,97.4,2.206,302.76,24.1,13.3
329,4.87141,6.484,93.6,2.3053,396.21,18.68,16.7
331,5.82401,6.242,64.7,3.4242,396.9,10.74,23
332,5.70818,6.75,74.9,3.3317,393.07,7.74,23.7
333,2.81838,5.762,40.3,4.0983,392.92,10.42,21.8
335,5.69175,6.114,79.8,3.5459,392.68,14.98,19.1
336,4.83567,5.905,53.2,3.1523,388.22,11.45,20.6
337,0.18337,5.414,98.3,1.7554,344.05,23.97,7
339,0.27957,5.926,42.6,2.3817,396.9,13.59,24.5
340,0.17899,5.67,28.8,2.7986,393.29,17.6,23.1
341,0.2896,5.39,72.9,2.7986,396.9,21.14,19.7
342,0.26838,5.794,70.6,2.8927,396.9,14.1,18.3
344,0.04527,6.12,76.7,2.2875,396.9,9.08,20.6
346,0.10959,6.794,89.3,2.3889,393.45,6.48,22
