ID,TARGET,GiftCnt36,GiftCntAll,GiftCntCard36,GiftCntCardAll,GiftAvgLast,GiftAvg36,GiftAvgAll,GiftTimeLast,GiftTimeFirst,PromCnt12,PromCnt36,PromCntAll,PromCntCard12,PromCntCard36,PromCntCardAll,DemMedHomeValue,DemPctVeterans,DemMedIncome
188284,5,3,20,1,10,10,5.67,5.1,6,121,19,37,79,7,14,29,298900,28,53517
15648,20,3,22,2,14,16,14.67,8.95,22,130,13,35,73,6,17,33,249000,22,73547
16777,35,2,2,1,1,25,15,15,15,29,10,20,20,3,7,7,96400,29,0
188155,8,5,20,4,13,7,6.8,6.05,16,102,6,14,41,2,6,19,161000,20,0
190040,12,2,2,2,2,15,12.5,12.5,16,24,4,9,9,2,5,5,161000,20,0
16863,50,3,4,3,4,25,18.33,15,16,44,16,32,39,6,14,14,95100,10,73793
17089,5,5,7,3,4,5,6,6,19,52,12,31,38,6,14,16,60900,12,43241
17145,20,1,1,1,1,20,20,20,16,16,12,17,14,5,7,6,49700,24,40197
24311,3,2,9,2,7,16,16.5,10.22,24,105,11,29,60,5,14,25,87700,39,0
17255,20,1,7,1,5,16,16,12.71,15,77,14,31,54,5,12,19,73500,29,54339
17452,32,4,7,3,5,40,27.5,18.86,18,45,25,46,70,10,20,27,83200,27,53597
186462,8,3,28,2,17,10,5,4.29,4,129,19,37,82,6,14,31,65400,23,43231
17772,10,2,2,1,1,5,10,10,20,21,11,18,16,4,7,6,260200,43,50858
18038,16,2,8,2,7,16,15.5,12.38,25,77,11,32,60,6,17,22,54800,30,0
18089,25,5,9,5,8,17,16.6,13.78,21,76,14,32,55,6,16,22,99400,19,59375
18196,12,6,43,2,17,13,11.33,7.47,15,127,12,34,80,5,16,32,46900,28,40493
13782,10,2,23,1,14,10,15,18.04,6,130,25,45,98,5,14,33,48500,0,37127
18257,5,4,9,4,6,1,4.75,4,15,44,16,33,37,6,14,14,48700,27,33629
18322,10,4,8,3,6,11,9.5,7.38,17,56,13,31,41,6,14,17,80700,32,36402
18339,10,3,3,1,1,10,10,10,18,32,12,26,24,6,12,10,46900,25,32201
187959,10,4,34,3,20,11,9.5,7.5,19,80,7,15,34,2,6,14,102400,32,0
18438,5,7,17,3,10,5,5,4.18,16,113,13,33,66,6,17,28,120500,46,60885
19789,10,2,3,0,0,10,10,10,19,24,14,26,25,6,6,9,35500,35,50628
18581,12,1,16,0,10,12,12,4.63,18,124,11,26,58,4,4,25,77500,24,50628
18584,12,1,10,1,6,14,14,10.6,21,130,14,33,68,5,13,28,67100,49,50628
18750,20,3,6,2,3,15,13.33,12.5,25,53,11,33,41,6,17,18,48200,26,0
187750,5,4,12,2,7,10,8.75,10.83,18,53,7,15,23,2,6,9,95800,35,0
187691,10,5,9,2,5,6,5.2,4.22,18,44,6,14,16,2,6,8,87200,26,0
18953,11,6,15,3,11,11,10,7.33,17,113,13,32,66,6,15,27,109300,29,73728
190387,25,1,3,1,2,25,25,18.33,19,43,4,12,15,2,6,8,198900,30,0
19020,19,3,5,2,3,10,17,16.2,15,41,14,35,39,6,16,15,158800,31,47598
25214,25,2,6,0,3,15,15,12,25,57,11,33,46,6,6,20,182300,40,47598
19071,5,10,35,7,21,5,5.1,5,17,126,12,31,78,6,17,33,69700,26,51815
56773,8,7,14,4,7,5,10.14,8.71,20,56,12,32,43,4,14,18,70700,17,47385
19235,25,1,6,0,2,20,20,15.33,20,79,13,29,55,4,4,20,53800,37,40567
19260,17.5,2,4,1,2,16,13,8,16,74,12,26,34,5,10,13,61000,39,42620
19323,16.87,1,4,1,2,42,42,31.75,24,65,11,31,48,6,15,19,74000,37,66080
19510,12.5,2,4,1,2,15,13,11,16,105,10,20,35,4,7,13,244100,45,85664
19664,10,2,2,2,2,21,18,18,17,24,13,23,21,6,11,9,228200,32,85823
18948,17,2,15,2,7,15,15.5,13.4,24,81,12,32,55,6,17,23,113600,21,57708
20015,20,1,8,0,2,21,21,13.38,23,63,12,31,53,6,6,20,97300,31,0
20065,40,2,7,0,3,24,32,20.86,25,77,13,32,56,6,6,21,72200,28,0
20167,25,3,3,3,3,25,18.33,18.33,17,35,13,30,29,6,15,13,45100,22,0
20194,10,5,5,4,4,7,6.2,6.2,15,28,13,25,24,5,10,9,39900,32,34923
20237,13,1,15,0,12,13,13,6.27,26,129,9,28,69,4,4,28,67400,29,39564
19986,10,5,8,3,5,10,10,9,16,45,14,34,38,6,15,15,39700,2,29717
20401,30,2,6,2,4,20,22.5,16.17,26,57,11,33,46,5,16,19,47600,22,41771
20438,10,6,7,2,2,10,7.33,7.14,15,33,14,32,32,6,15,13,50900,34,31004
20445,20,2,5,0,2,25,22.5,17.6,16,68,12,29,48,5,5,18,57200,32,31004
20488,14,3,18,2,10,10,9.33,6.22,16,67,13,31,54,5,14,21,42500,34,26953
20522,15,1,1,1,1,15,15,15,17,17,10,15,13,4,6,5,120300,46,52238
20631,20,5,11,3,6,15,9.6,7.36,15,56,12,31,44,5,14,18,61500,31,44082
20645,10,1,12,0,6,10,10,11.33,25,82,10,29,58,5,5,23,40500,22,0
20691,10,2,3,2,2,10,7.5,7,17,21,13,21,21,6,10,8,54800,30,39344
20773,5,8,22,7,13,5,5,4.91,22,64,12,31,53,6,17,22,47500,25,35515
20802,25,1,1,1,1,15,15,15,24,24,7,17,15,3,7,6,43600,30,30786
21097,25,2,2,1,1,20,15,15,21,32,11,27,28,4,11,10,62300,37,43353
21135,5,4,34,1,16,5,6.25,7.24,16,111,13,30,63,5,13,26,69400,47,0
21144,6,8,32,7,22,8,6.25,6.31,17,120,14,35,82,6,17,33,82700,33,0
190778,20,3,5,0,1,10,8.33,7,18,74,7,18,32,4,4,11,87500,33,45666
21244,12,5,13,2,7,12,12,10.31,19,85,15,37,63,6,17,25,82800,34,0
21259,15,1,23,0,11,10,10,12.48,15,130,10,25,73,3,3,29,71600,23,48516
21305,10,2,3,2,2,10,7.5,8.33,15,21,13,20,19,5,8,7,41500,28,40024
21587,6,7,13,4,7,5,5.71,5.23,17,79,14,34,52,6,16,22,0,29,49981
1012,15,7,28,5,17,13,15.43,12.21,5,122,28,48,114,11,22,45,113300,32,42061
21463,11,3,8,2,4,12,10.67,9.25,18,113,14,31,55,6,14,23,49900,29,42061
190157,15,3,7,1,3,16,14,9.86,15,45,3,11,16,2,6,8,60300,20,0
21539,3,8,29,4,14,3,3.25,3.66,18,113,13,32,74,6,16,29,99600,34,50679
21659,10,5,8,3,3,6,8.4,7.88,18,40,12,31,35,6,15,14,50200,26,45788
21710,10,2,19,0,13,10,11,9.53,18,130,11,30,73,4,4,30,60000,33,43073
21769,9,4,4,2,2,10,8,8,17,32,12,26,25,6,12,10,59800,36,41358
21815,5,4,5,2,2,6,5.75,5.8,15,21,15,23,20,6,10,8,54800,37,38069
21922,20,2,28,1,12,20,20,15.54,21,128,13,34,89,6,17,35,84400,25,48269
21966,6,6,25,5,14,6,6,5.92,19,101,11,31,73,5,15,27,82400,37,51658
190391,16,5,8,4,6,17,16,14.75,17,56,4,12,19,2,6,10,34700,22,0
22119,10,3,14,2,7,10,10,9.43,18,74,15,36,54,6,16,21,50800,28,28785
22176,12,4,15,4,11,13,11.5,9.13,20,102,13,32,71,6,16,28,47400,31,0
22206,25,1,18,0,11,25,25,14.5,24,123,9,27,74,4,4,30,89700,0,0
52116,10,4,26,3,14,15,9.75,9.27,4,112,21,43,114,7,18,41,68000,29,39877
22264,10,2,2,1,1,25,22.5,22.5,26,32,10,26,26,4,11,10,125000,39,51059
2512,25,2,2,1,1,25,25,25,16,20,24,29,28,10,12,11,125000,0,51059
22337,10,2,4,2,2,6,12.5,9.25,20,33,13,31,32,6,15,13,51400,45,0
22425,20,1,11,0,6,10,10,13.82,18,113,11,27,66,4,4,25,45400,34,38566
22445,21,2,2,1,1,15,15,15,18,29,10,23,21,4,10,9,77700,40,44394
22499,10,6,13,3,5,20,18.67,15.62,20,86,15,35,65,6,16,24,43800,26,38598
22520,26,1,5,0,2,15,11,9.8,20,75,11,22,40,5,5,14,42100,26,31786
21599,7,3,19,1,12,7,5.67,5,16,126,14,33,71,5,13,29,116800,26,0
22779,20,4,15,4,12,20,20,12.53,20,127,13,30,72,6,15,30,53500,28,33862
22900,10,2,6,1,3,10,20.5,21.33,17,81,13,29,54,6,13,22,75000,0,0
190634,20,4,21,4,17,10,10,8,17,128,16,36,84,6,17,33,83400,46,0
23003,15,2,18,2,8,13,13,9.67,24,105,10,29,69,5,13,27,84800,40,0
23056,12.5,6,8,5,7,4,4.33,4,16,45,13,32,36,6,15,15,129900,36,71568
23184,10,2,5,0,3,20,20,14,16,80,12,26,49,5,5,18,39100,24,36002
6308,12,3,18,3,10,9,9.67,10.78,5,115,37,55,116,7,16,35,45400,29,40049
23412,19,4,4,3,3,12,11,11,16,29,16,29,27,6,12,10,23700,26,44411
23465,15,2,6,0,2,15,15,12,18,75,12,31,42,5,5,17,68900,51,26328
23491,10,1,6,0,2,15,15,9.17,25,107,9,28,54,4,4,23,82400,30,37446
23603,25,1,2,1,1,10,15,12.5,15,16,14,19,16,5,7,6,82400,30,50244
23732,4,4,20,3,13,6,4.5,4.95,18,127,11,29,70,5,14,30,106000,39,0
188078,10,2,24,1,14,10,12.5,11.13,19,105,7,15,42,2,6,19,108300,35,0
23934,25,2,14,1,10,16,13,3.59,21,123,12,26,59,5,11,23,105600,12,49805
23989,15,2,3,1,2,15,10,8.33,19,41,6,22,24,2,8,8,51700,50,31972
24212,6,2,4,2,2,10,5,6.25,18,28,13,26,24,6,12,10,281700,48,61637
24272,20,5,10,2,6,20,16,12.4,16,111,13,32,67,6,15,28,66400,35,43508
24320,6,3,11,3,9,3,7.67,5.73,15,81,11,26,56,5,12,20,38700,25,36326
24386,18,2,4,0,0,18,17,11.5,18,52,12,32,39,6,6,16,97700,27,46891
24902,8,2,6,1,2,10,10,7.17,18,56,12,30,39,6,13,14,47300,32,34183
32975,25,1,8,0,6,25,25,10.88,17,80,8,27,52,4,4,20,64500,30,0
24420,12,4,8,2,4,14,12.25,8.63,16,80,14,33,52,6,14,19,133300,3,0
24663,16,6,14,2,5,17,14.83,10.07,16,81,15,37,60,6,17,24,38100,19,0
24722,3,5,9,1,2,3,3.72,3.29,18,43,13,30,35,6,14,13,55100,34,49257
24747,15,3,5,2,4,15,12.33,9,16,65,14,27,39,6,11,14,141900,32,70742
24871,16,3,3,2,2,15,9.67,9.67,17,30,11,25,22,5,11,9,68200,27,45845
24869,8,7,8,6,6,7,7.71,8,16,29,14,29,29,6,14,12,68200,27,45845
24940,15,7,15,5,12,7,7.71,6.47,16,122,13,34,62,6,16,28,76100,32,70359
16907,25,3,4,1,1,25,13,11,18,32,13,26,24,6,11,9,79200,24,51462
24991,11,4,18,3,10,12,10.5,7.61,19,98,12,30,66,6,15,26,65100,32,51462
25107,5,4,17,2,10,7,6,5.82,17,104,13,34,67,6,17,28,80300,22,0
25226,12.5,9,24,5,14,10,10,9.13,22,93,14,36,66,6,17,26,79900,59,58490
25277,17,1,1,1,1,15,15,15,19,19,10,14,11,4,6,5,74700,51,65141
190635,32,2,3,2,2,15,10,8.67,24,29,11,24,23,5,11,9,38900,0,39388
22645,8,2,11,1,7,4,10.5,7.27,17,105,16,36,59,6,15,25,41600,28,0
25448,10,5,19,1,7,8,7.8,6.42,15,79,14,35,62,6,17,25,101400,39,51104
263,10,5,16,5,11,14,14,11.63,5,87,29,50,91,11,21,33,215600,42,0
25519,15,2,6,1,2,10,11,11.83,18,76,17,34,52,6,13,18,253500,50,78618
25576,21,1,11,0,6,15,15,7.82,16,92,6,18,34,2,2,13,120100,34,54815
27267,10,2,8,1,5,25,17.5,7.88,23,92,13,32,49,6,14,22,109400,41,62414
27338,7,4,21,1,8,6,7.25,5.67,16,123,13,34,66,6,16,30,45600,50,43212
27310,15,2,2,1,1,15,10,10,18,28,10,22,20,4,9,8,86600,25,52074
27329,15,2,5,0,2,15,12.5,15,19,100,13,30,55,6,6,24,68400,32,52074
27137,10,8,49,7,23,10,10.75,9.92,23,105,15,34,76,5,16,28,99100,29,0
25591,13,5,7,4,4,8,7,6.43,17,29,13,25,25,6,12,10,0,32,0
25641,10,5,10,5,8,12,10.6,9.4,21,57,14,32,46,6,16,19,68500,21,37373
25635,11,5,5,3,3,10,7.2,7.2,19,33,13,28,27,6,13,11,55300,29,37373
27846,200,1,3,1,2,25,25,23.33,17,47,13,32,38,6,15,15,114900,38,0
27597,9,5,15,1,8,10,8.6,5.8,15,93,13,33,59,5,14,23,99100,29,75867
27624,8,8,13,6,9,3,9.13,7.77,15,53,16,37,49,6,17,18,99100,29,75867
27736,8,6,7,3,3,10,7.67,7.29,16,29,16,29,27,6,12,10,124500,36,75004
27798,10,2,14,2,7,16,15,11.21,17,113,14,33,72,6,15,28,93500,31,61470
186388,10,4,6,2,4,3,7.25,5.83,9,41,17,29,29,7,12,11,87900,37,77439
26045,14,3,3,1,1,15,9.67,9.67,17,27,12,25,22,6,12,10,58300,13,56510
27987,15,6,6,3,3,12,11,11,15,32,13,32,30,6,15,13,100300,29,72766
26254,10,4,4,2,2,10,6.25,6.25,19,27,14,27,25,6,12,10,99800,46,50948
26289,10,8,29,6,20,11,9.75,8.93,22,126,14,36,81,6,17,36,117300,36,57919
26378,100,1,1,1,1,50,50,50,24,24,11,22,20,6,11,9,115300,23,0
26406,10,1,19,1,13,14,14,8.42,21,129,12,29,79,5,12,30,109800,35,75823
26410,28,3,3,2,2,25,20.33,20.33,21,32,13,29,28,6,13,11,82100,24,58698
26858,15,3,9,1,6,15,12.33,11.33,16,119,13,33,64,5,14,29,87100,27,61496
26946,30,1,1,1,1,23,23,23,20,20,10,17,15,4,7,6,167200,0,105806
26645,15,5,8,2,4,10,7.8,7.38,17,43,13,34,37,6,16,16,68100,31,49277
27108,15,3,20,1,9,11,9.67,7.35,16,121,14,34,76,5,14,30,65600,29,67245
27419,20,2,2,2,2,20,15,15,23,29,10,23,22,4,10,9,44200,28,40529
27566,30,1,2,1,1,20,20,15,16,31,11,24,22,5,10,9,60100,0,0
27928,12,3,15,1,6,15,13.33,13,17,92,15,37,71,6,17,27,102500,40,47599
185972,10,3,33,0,12,10,8.67,7.18,9,130,21,43,89,7,7,37,70800,0,60862
27890,10,2,12,0,5,10,10,7.83,18,81,13,33,62,6,6,22,92900,29,70488
27921,14,3,4,1,1,15,11.67,11.25,18,40,12,32,33,6,15,14,106700,40,84144
27944,33,1,7,1,4,10,25,13.86,18,105,13,31,58,6,14,24,68700,31,0
28040,11,3,11,1,6,12,10.67,7.55,21,57,14,34,48,6,16,20,86600,34,59522
28061,5,9,33,5,18,5,5,5.48,15,128,12,31,79,5,15,32,94800,40,59522
25760,20,1,2,0,0,20,20,20,18,20,13,21,18,6,6,8,55400,30,0
28381,15,7,8,4,4,15,8.14,7.88,15,29,13,26,26,6,12,10,160200,38,0
28514,21,2,9,0,4,15,12.5,7.33,25,81,6,20,46,2,2,15,215900,46,101983
28718,20,1,1,1,1,20,20,20,21,21,8,15,15,3,6,6,51200,13,29184
28786,10,13,27,9,12,10,8.08,7.44,17,51,14,32,45,6,17,20,40600,26,0
28874,21,1,2,1,1,20,15,17.5,19,24,13,24,22,6,11,9,92800,27,37701
29105,11,3,27,1,8,11,10,6.3,18,124,12,29,73,5,13,29,71000,31,37561
29130,10,4,5,2,2,6,10.5,9.6,15,33,13,30,29,6,14,12,66400,25,47000
28890,15,5,10,2,4,20,12,8,20,44,13,33,40,6,17,17,55300,25,0
28621,25,5,6,1,2,25,14.8,14,17,39,13,34,38,6,17,17,55000,34,27443
29342,10,3,7,2,3,6,7.67,7.29,15,40,12,32,34,6,16,15,61800,0,0
29373,20,4,18,3,9,20,18.25,14.89,17,93,14,36,75,6,17,27,86000,37,62307
29401,15,1,3,0,0,15,15,10.33,19,44,10,27,31,4,4,12,47100,28,45285
341,25,4,27,1,5,15,14,11,7,86,26,46,106,9,18,37,51700,27,0
29526,10,3,4,2,3,10,8.67,7.25,19,41,13,29,30,6,13,12,43100,25,0
29610,5,5,39,3,19,5,5,4.92,16,126,11,31,81,5,15,32,38700,37,35321
29724,5,6,18,2,12,5,4.17,5.61,15,129,12,30,69,5,14,29,52900,34,42483
29785,15,1,2,0,1,15,15,12.5,19,38,10,25,25,4,4,10,50500,37,34244
29777,10,3,3,2,2,10,10.67,10.67,19,24,12,22,21,6,11,9,72400,40,34244
29868,25,1,1,0,0,20,20,20,16,16,11,16,13,5,5,6,80300,39,61802
30029,14,3,27,1,11,15,14,7.7,17,128,13,33,80,6,16,32,64600,55,39625
30047,10,4,19,2,14,10,10,7.05,16,117,14,35,80,6,16,33,43600,30,0
30068,12,3,13,1,7,13,11.67,7.15,21,128,12,28,62,6,13,27,57300,27,0
30104,15,3,12,2,9,10,10,8.83,22,129,12,31,67,6,16,31,36400,26,36591
30185,30,2,3,0,0,15,12.5,10,26,39,10,29,30,4,4,12,74800,48,46174
12626,9,4,5,4,4,9,7.75,8.2,17,24,21,31,39,6,12,10,53300,25,0
30640,15,4,6,3,4,15,13,10.33,21,65,12,28,44,6,14,17,62900,38,40035
30629,17,2,2,2,2,15,10,10,24,29,9,21,20,4,9,8,68000,40,40035
30934,15,2,6,0,1,15,15,12.5,18,88,11,28,51,5,5,20,31600,28,37018
30976,16,3,15,1,9,17,15.67,11,17,111,14,33,66,6,15,29,68300,34,44341
31094,5,5,15,1,7,5,6.6,6.67,18,123,13,32,54,6,15,24,40500,29,30123
31183,18,3,10,2,3,15,13.67,9.6,16,80,13,32,55,5,13,21,62100,20,34794
31400,10,4,4,3,3,6,6.5,6.5,15,29,14,25,26,5,10,9,65000,0,0
31461,26,8,17,5,11,50,19.75,17.53,18,88,15,35,67,6,17,25,75200,32,63159
33284,20,5,10,4,5,50,25,22.5,19,41,13,32,39,6,16,15,69600,41,48490
31746,6,5,9,1,2,5,9,8.33,25,45,12,34,41,5,16,16,57600,30,62576
31735,19,2,2,2,2,17,11,11,21,29,10,22,22,4,9,8,88100,41,62576
31778,25,2,9,0,3,12,12,20.11,19,93,11,30,60,4,4,21,98600,43,50000
31879,13,5,13,4,8,6,10.6,8.92,15,73,14,35,57,6,16,22,79000,46,50055
32096,16,2,2,2,2,16,13,13,24,29,10,23,22,4,10,9,35100,30,30758
32198,9,4,4,3,3,10,7.5,7.5,17,29,14,25,24,6,12,10,114600,58,43156
32288,10,3,5,1,2,15,10.67,8,16,44,13,31,34,6,13,13,87500,45,46736
188170,50,2,14,2,10,10,12.5,22.79,21,112,7,15,41,2,6,19,109800,0,0
32359,3,11,61,8,28,3,3.45,4.28,16,130,12,32,84,5,15,32,92200,51,45366
32538,6,8,13,7,9,7,6,5.31,20,44,11,31,37,6,17,17,75200,33,49601
32527,3,9,9,6,6,3,3.44,3.44,16,35,13,31,31,6,16,14,78600,32,0
11494,5,6,25,4,15,5,10.83,8.4,15,77,15,23,52,2,6,14,122900,28,0
32709,15,0,8,0,1,15,0,13.25,18,62,13,13,52,6,6,21,55600,33,45725
33295,11,6,11,1,4,11,7.17,5.91,20,73,13,32,54,6,15,20,32800,0,45725
32807,5,4,9,2,4,5,6.25,5.44,16,57,14,32,46,6,13,16,70000,47,44152
32950,5,10,42,7,24,5,5.2,5.29,22,130,10,30,79,5,16,33,46500,37,45084
32972,12,6,10,4,5,10,13.33,10.4,18,52,13,31,37,6,15,15,81400,30,48581
14370,5,1,48,0,11,0,5,4.5,18,144,31,51,113,5,5,28,63700,50,48581
33069,20,2,2,0,0,20,13,13,18,32,10,23,21,4,4,8,60000,39,42535
33355,15,4,13,1,4,15,15,12.92,15,105,14,36,66,6,17,25,70000,32,0
33383,11,3,3,2,2,7,7.33,7.33,18,24,13,24,22,6,11,9,147300,37,66839
33420,25,6,41,2,18,25,20.83,12.22,18,128,11,33,81,5,16,32,70200,26,66839
33460,25,3,3,2,2,32,15.67,15.67,24,33,12,29,28,6,14,12,138500,37,79635
191779,150,1,1,1,1,25,25,25,24,24,9,19,18,4,8,7,143200,62,79635
33512,19,1,2,1,1,16,16,13,16,21,13,20,17,6,10,8,39700,23,42726
55956,10,6,28,2,10,10,8.83,9.25,17,129,14,34,81,6,17,33,162500,43,0
33717,15,3,10,2,6,15,15,10.3,22,77,12,32,57,6,17,23,31200,40,0
33773,20,2,2,2,2,16,13,13,24,35,9,24,22,4,11,10,91500,58,51004
182144,7,12,22,8,13,7,8,7.14,15,65,15,33,52,6,17,21,55900,33,0
13452,10,3,8,2,2,10,7.67,7.63,13,21,30,37,40,8,12,12,56200,56,45466
34319,25,1,1,1,1,50,50,50,25,25,11,23,20,6,11,9,71400,38,63653
4881,10,7,13,6,8,9,10,9.23,16,45,19,37,57,6,17,17,59900,20,44390
34429,15,3,13,1,8,15,15,12.54,15,87,12,32,50,6,15,23,48200,41,40818
34448,10,2,2,1,1,25,25,25,16,28,14,28,25,6,13,11,43100,35,43008
34475,20,3,5,2,4,27,24,20.4,21,88,15,32,55,6,15,22,69600,47,43551
25678,20,3,8,2,6,15,11.67,8.88,16,88,13,31,57,5,13,21,72100,44,43551
34608,12,7,15,5,9,16,12.71,9.33,15,53,15,36,50,6,17,19,96700,28,49337
34632,15,5,6,3,3,10,8.2,7.5,17,28,13,26,25,6,12,10,84200,35,49337
34909,20,4,17,4,14,10,12.5,9.76,20,127,10,27,74,5,15,30,65400,31,42475
8438,12.5,2,15,1,8,12,11,9.27,20,105,14,34,82,5,14,27,135700,33,68639
188316,10,2,10,0,4,25,17.5,13.1,6,88,23,44,71,8,8,27,66100,29,41343
130407,22,2,2,1,1,16,13,13,16,28,13,26,24,4,10,9,53300,55,46440
35267,17,4,13,2,9,20,16.25,11.85,18,92,11,31,64,4,14,24,89500,36,68443
35316,14,4,16,2,8,14,14.5,9.94,17,85,14,35,68,5,15,25,84500,43,49287
35325,30,1,7,0,6,30,30,12.14,15,119,10,12,48,3,3,17,83300,41,49287
35355,5,7,22,5,15,5,5,4.59,18,90,13,32,64,6,17,27,90700,42,44548
190597,12,4,26,3,16,10,10,7.04,15,123,13,34,78,6,16,31,73700,29,53710
35504,15,1,7,0,2,15,15,14,26,55,10,31,42,5,5,17,83400,24,32942
35553,20,1,12,0,6,18,18,10.67,26,113,10,31,71,5,5,27,72600,39,0
35700,7,4,19,4,12,3,7.25,7.84,15,74,8,26,50,3,12,20,72100,29,40054
35728,10,2,9,1,5,24,21,11.33,23,79,12,33,53,6,16,23,78600,27,47917
187532,15,4,6,3,5,15,15,15,18,33,7,14,15,2,6,6,128600,33,0
35877,5,6,7,4,5,5,4.17,4.29,18,44,12,31,35,6,15,15,53500,38,35129
35906,15,3,3,2,2,10,15.33,15.33,15,20,14,21,19,5,8,7,68300,46,49494
13622,10,2,15,1,9,15,23,14.87,15,113,29,49,98,7,16,29,71500,47,49494
35914,2,5,10,2,6,3,5.6,4.3,17,64,7,26,39,4,13,16,69300,42,0
35908,20,2,2,1,1,20,15,15,18,29,10,23,21,4,10,9,69300,42,49494
35935,21,2,3,2,3,17,13.5,10.67,17,37,12,29,29,6,13,12,71100,35,34796
190243,10,2,12,0,6,10,10,8.5,18,63,4,12,23,2,2,11,62600,37,0
36069,11,3,5,2,4,11,9.67,8.2,16,53,15,32,39,6,13,14,118800,50,52936
36474,6,5,12,3,7,6,6,6.17,21,89,11,32,58,5,16,23,122700,36,34619
36471,20,2,8,1,3,20,18,10.5,17,65,15,35,54,6,15,20,73000,28,34619
8708,10,4,28,3,11,10,10,10.5,15,134,31,51,117,5,14,31,68400,0,0
36576,5,3,12,1,7,10,7.33,4.52,15,119,12,25,61,5,10,25,134200,24,0
36590,10,3,4,3,3,11,10,10,16,29,14,28,26,6,13,11,103700,10,47043
36776,20,5,6,4,4,11,10.2,9.5,16,33,13,32,32,6,15,13,65300,22,46301
36956,9,7,32,6,15,7,7.57,6.22,22,101,12,32,68,6,17,26,77800,27,0
268,33,8,21,5,7,35,25.88,22.38,8,87,27,49,107,11,22,40,176500,50,61523
6941,15,3,26,2,12,25,25,24.27,22,93,14,36,91,6,17,27,164100,47,61523
37205,10,2,3,1,2,16,13,10.33,23,53,10,22,32,4,8,10,91400,32,49180
37299,15,1,9,0,3,15,15,9.89,18,79,13,32,58,6,6,22,117100,30,46842
37531,12,3,11,2,5,10,12.67,10.36,18,74,13,34,56,6,16,22,82900,6,31100
37528,10,3,6,1,3,10,8.33,6.83,22,64,12,27,43,6,12,16,82900,6,0
37575,50,2,2,2,2,60,55,55,16,28,13,27,26,6,13,11,193800,16,69063
37618,25,1,1,1,1,15,15,15,21,21,8,15,14,3,6,5,156600,14,53432
37697,15,3,12,2,7,15,9,6,17,81,15,36,60,6,16,23,90600,15,35833
37747,18,3,8,2,5,17,15.67,13.38,16,52,14,34,46,6,15,18,190900,20,70172
37861,15,2,9,1,7,15,12.5,12.22,26,128,10,28,64,4,12,30,93400,15,35498
37872,5,7,18,6,13,3,3.29,4.22,16,93,13,35,67,6,17,26,430600,49,0
38031,10,2,2,2,2,10,12.5,12.5,16,21,13,21,18,6,10,8,82800,25,52780
38098,3,7,20,5,9,3,3.86,4.1,15,79,10,29,52,4,13,22,165700,27,42523
38106,3,12,44,6,21,2,3.25,2.8,15,113,11,30,71,5,16,30,180600,24,42523
38266,10,0,1,0,0,15,0,15,23,23,5,5,10,2,2,4,59000,11,32042
38327,11,4,15,1,9,11,10.5,10.4,18,93,14,35,70,6,17,26,73600,8,36169
38591,10,2,28,1,14,13,13,12.42,20,113,12,33,82,5,15,29,104000,7,0
