AT,V,AP,RH,TARGET
21.69,69.94,1010.7,80.8,443.67
25.44,66.54,1011.9,56.76,437.99
12.07,43.71,1025.53,85.62,472.32
8.47,40.46,1019.87,78.19,475.06
17.45,50.9,1012.16,83.8,458.67
31.54,67.32,1013.79,36.99,433.02
15.36,41.66,1012.41,62.32,466.7
29.38,73.42,1011.49,54.96,445.42
25.41,65.12,1016.01,53.39,442.86
23.42,73.17,1012.07,88.39,438.22
26.65,73.18,1012.27,83.12,437.7
6.43,39.61,1017.51,83.8,480.58
28.87,71.97,1008.74,82.61,435.86
31.09,64.05,1011.32,61.14,440.62
25.73,66.54,1010.07,55.97,437.07
23.74,65.34,1013.7,62.9,447.31
17.93,44.63,1003.54,87.41,458.96
21.34,48.06,1014.49,63.23,458.13
22.88,71.73,1010.11,86.96,436.36
13.78,45.51,1015.56,69.92,468.17
13.74,34.03,1018.69,67.34,470.49
21.92,48.14,1013.44,67.8,449.65
12.77,41.5,1014.13,86.8,470.68
26.85,69.84,1002.84,81.31,426.58
14.66,47.83,1006.15,91.98,461.46
21.89,63.94,1019.55,55.09,447.74
26.09,58.41,1013.64,64.58,438.86
10.51,39.04,1023.95,85.35,479.15
15.67,38.62,1015.76,66.29,463.17
5.9,45.87,1013.25,87,481.27
22.5,70.94,1008.04,82.39,442.4
19.69,56.65,1020.77,62.83,456.29
32.33,69.68,1011.95,39.89,439.79
10.87,38.38,1020.85,69.78,477.03
12.75,42.86,1014.9,88.44,475.09
19.07,49.69,1007.22,76.79,453.09
11.64,40.22,1010.58,80.84,477.52
16.22,46.36,1020.04,91.73,460.73
29.21,72.25,1012.72,71.85,434.64
13.47,41.14,1026.09,82.96,463.67
14.07,42.86,1032.16,71.53,467.47
19.82,63.9,1013.19,78.96,449.61
7.11,40.77,1022.4,90.95,475.55
25.24,57.17,1010.44,74,442.77
31.92,68.3,1015.58,41.55,430.07
22.09,65.59,1015.54,72.44,447.28
24,75.23,1010.69,72.46,443.78
25.02,59.92,1009.9,76.27,436.64
28.55,74.33,1011.77,73.34,426.48
30.52,70.4,1003.9,64.33,438.29
17,49.78,1005.32,100.1,453.77
7.06,41.74,1021.95,90.38,448.97
14.85,45.87,1009.37,84.65,462.67
4.08,35.19,1018.87,97.07,489.44
21.98,55.97,1009.12,89.51,442.65
30.32,64.69,1006.35,51.36,436.72
14.63,40,1018.03,63.4,457.09
24.26,61.02,1009.78,76.68,442.86
13.73,45.08,1023.55,81.64,470.35
11.62,41.54,1019.94,66.43,477.75
13.24,39.85,1012.64,59.99,477.22
32.07,71.29,1008.43,44.95,426.96
6.94,39.61,1017.74,81.43,480.07
30.08,68.14,1003.99,77.38,425.27
19.04,51.86,1018.05,79.01,458.64
30.3,73.67,1005.57,58.74,431.57
15.26,41.2,1016,76.06,467.98
28.5,79.74,1006.75,87.09,433.08
12.41,37.92,1008.09,65.23,470.49
15.49,54.3,1017.59,71.26,464.24
19.72,44.78,1009.27,39.18,464.54
20.48,51.43,1007.4,90.7,448.03
24.03,62.44,1010.96,79.88,430.66
16.63,39.16,1005.85,72.02,460.29
31.07,73.5,1010.58,43.66,432.06
15.27,38.73,1002.83,77.77,465.99
12.49,38.25,1012.61,83.32,470.63
27.97,69.48,1010.4,57.24,432.18
14.46,42.86,1031.34,69.84,464.44
7.2,40.35,1011.83,95.59,484.9
12.43,41.62,1011.87,80.57,460.61
10.33,41.44,1015.24,86.72,478.79
24.26,66.44,1011.33,55.32,445.63
25.1,71.77,1004.34,82.8,429.7
21.85,58.33,1013.03,66.39,447.31
23.36,74.93,1016.57,71.91,443.78
23.66,67.17,1007.24,87.56,443.43
32.21,68.3,1014.94,49.38,429.66
14.74,43.71,1024.35,81.53,465.49
12.88,44.71,1018.73,51.95,469.12
19.32,52.84,1004.29,83.51,450.88
22.72,65.61,1014.64,70.53,449.04
19.72,47.03,1012.1,90.36,458.59
26.08,76.86,1003.3,79.49,436.85
10.12,41.55,1005.78,62.34,475.46
11.72,40.35,1012.08,83.98,476.41
16.97,39.16,1005.7,69.13,458.59
8.91,43.52,1022.78,98,478.38
31.55,69.75,1010.12,58.36,435.01
15.78,43.99,1022.19,83.7,461.07
26.96,65.34,1015.05,46.93,441.81
24.1,68.61,1010.97,74.87,443.75
24.99,48.92,1010.03,41.26,443.12
23.33,72.99,1009.33,89.41,440.04
12.24,44.9,1020.31,82.22,464.25
20.3,62.52,1017.96,75.17,451.86
32.81,77.17,1009.17,53.13,430.53
26.48,73.06,1008.07,90.73,433.31
17.28,44.92,1024.39,76.08,459.26
26.24,70.36,1005.4,82.43,437.31
11.41,41.4,1019.01,78.59,449.5
10.31,42.49,1009.43,78.36,479.64
7.31,43.02,1014.19,86.43,484.82
19.94,58.96,1014.16,66.27,455.55
27.18,64.44,1012.81,61.27,440.3
23.2,48.41,1008.64,80.92,444.69
24.66,69.94,1006.56,60.91,432.68
10.16,41.79,1021.35,52.4,472.75
8.72,36.25,1029.31,85.73,479.94
31.12,67.69,1005.3,50.46,425.21
4.62,38.44,1016.09,73.14,486.84
18.61,44.06,1016.91,75.01,452.68
25.59,61.5,1009.12,68,439.14
16.12,45.87,1008.15,86.12,457.41
23.75,60.29,1017.36,64.04,449.57
16.95,40.12,1012.59,87.87,457.05
30.38,74.16,1007.44,74.77,432.84
25.42,68.08,1011.2,76.58,433.82
16.05,38.28,1014.38,73.89,466.75
18.91,45.01,1012.9,59.81,456.12
6.87,40.07,1017.91,57.64,491.4
16.69,40.56,1019.92,51.43,469.9
34.65,74.67,1016.03,26.67,427.69
18.19,41.85,1014.93,61.37,466.86
22.74,58.41,1013.92,84.03,447.85
16.64,39.64,1008.7,81.79,463.49
16.91,43.96,1013.32,79.87,465.86
16.81,38.52,1018.26,75.21,459.01
32.83,74.16,1007.57,60.2,432.05
12.54,43.69,1017.26,83.59,470.04
29.35,54.2,1013.07,42.45,439.47
23.47,60.77,1017.19,75.36,444.46
25.84,69.14,1009.22,88.47,431.35
19.05,67.32,1013.2,83.14,447.47
10.88,44.63,1020.52,86.81,469.57
6.25,39.64,1010.98,83.45,483.43
29.97,73.06,1009.41,78.26,430.37
5.15,35.19,1018.63,93.94,488.42
15.43,40.89,1010.63,73.03,468.35
8.47,41.26,1020.57,91.28,477.14
26.82,65.27,1013.6,53.85,437.84
17.35,52.72,1026.31,58.01,463.65
24.76,63.07,1012.73,70.39,443.04
24.15,63.13,1013.8,92.1,440.15
21.06,67.07,1004.9,84.09,446.44
9.33,39.96,1024.55,98.58,473.78
22.04,57.32,1012.54,62.17,447.27
10.11,39.72,1019.1,69.68,476.8
3.74,35.19,1018.58,98.84,490.5
34.18,78.05,1010.71,66.77,432.1
10.2,41.46,1019.12,83.26,480.11
24.65,63.86,1018.37,56.15,442.89
24.48,69.45,1013.86,62.39,435.74
30.56,69.14,1007.49,71,432.26
16.3,39.63,1004.64,85.61,464.11
10.22,39.96,1025.05,96.05,471.36
14.56,40.89,1010.94,79.57,467.53
14.4,42.18,1015.47,77.7,464.81
21.3,48.92,1010.92,65.09,447.89
19.12,58.79,1017.34,92.45,447.02
25.33,71.73,1009.78,77.78,435.23
28.68,70.72,1009.43,71.33,435.45
8.75,40.22,1008.96,90.53,482.8
28.13,61.25,1013.12,62.57,436.61
9.36,44.03,1010.3,87.2,474.68
10.48,36.71,1023.18,81.37,473.3
14.16,40.89,1010.78,82.86,471.15
11.22,43.13,1017.24,80.9,473.93
22.47,48.6,1002.33,63.23,445.98
29.72,68.08,1010.72,53.46,430.36
23.7,64.45,1012.87,38.24,451.16
14.49,42.86,1013.94,88.2,468.4
15.29,44.88,1018.85,73.67,463.32
8.26,40.96,1025.23,89.22,485.73
27.28,47.93,1003.46,59.22,438
30.92,78.05,1011,59.62,434.12
18.6,43.56,1013.9,51.16,464.67
20.76,58.18,1007.8,99.22,449.25
8.37,39.99,1010.36,93.26,482.31
24.43,60.07,1015.59,59.99,444.71
19.31,67.71,1005.31,77.15,446.23
15.03,42.44,1014.25,94.52,464.91
27.24,71.25,1000.5,86.28,430.94
30.98,67.48,1009.96,58.92,439.39
30.2,74.34,1004.17,74.77,431.77
29.53,71.97,1008.6,79.25,434.96
20.88,57.85,1012.39,85.47,450.87
21.19,55.5,1019.83,65.22,455.93
14.26,44.2,1019.81,76.46,462.87
26.27,58.33,1013.81,60.43,438.82
22.25,66.54,1004.64,89.15,437.19
32.63,73.88,1005.64,52.56,435.75
18.43,57.76,1016.13,87.34,452.65
13.98,44.84,1023.6,89.09,462.81
29.28,74.33,1011.66,72.37,426.53
25.64,47.01,1014.81,62.29,454.48
18.48,50.16,1011.45,99.92,452.06
21.91,48.7,1006.89,83.97,449.8
29.49,70.98,1007.83,79.08,434.43
27.65,48.41,1008.54,58.25,440.94
24.3,69.94,1007.02,62.14,438.92
24.25,74.93,1013.07,69.31,445.44
17.74,49.78,1004.9,100.09,450.44
10.82,42.02,996.03,99.34,475.46
32.15,72.29,1010.13,50.19,435.71
24.3,69.23,1013.17,59.91,440.56
11.24,25.36,1009.26,97.47,469.92
6.45,40.02,1032.08,79.7,481.36
11.1,44.85,1014.27,65.08,477.03
13.95,41.49,1019.95,86.46,465.24
25.68,70.17,1001.38,85.89,433.92
21.92,66.54,1012.49,79.82,443.03
15.12,48.92,1011.8,72.93,462.59
20.76,44.58,1017.09,57.47,462.01
6.3,41.14,1027.45,86.11,481.49
26.44,71.64,1004.55,85.53,435.61
9.05,40,1015.48,80.91,472.41
26.13,57.32,1012.27,45.78,441.6
26.31,66.48,1005.93,63.9,432.89
26.19,73.77,1001.31,91.87,433.34
6.15,40.77,1022.42,88.57,482.49
29.19,70.32,1008.28,55.42,427.9
18.15,41.67,1012.75,52.69,464.44
23.47,59.22,1013.44,83.33,442.13
21.11,58.66,1011.7,68.71,457.89
32.41,72.86,1003.69,58.04,432.75
27.55,68.08,1011.42,60.71,432.59
13.49,41.78,1010.66,63.34,467.92
19.63,52.72,1025.09,51.16,459.12
22.96,68.61,1011.15,76.62,447.18
9.8,41.82,1032.98,67.55,473.72
22.67,64.15,1021.02,70.49,453.47
24.78,57.19,1008.08,65.4,443.62
13.42,48.04,1011.63,99.32,461.36
31.74,72.58,1007.26,59.58,425.12
13.96,40.83,1009.89,84.86,469.86
25.27,69.89,1015.21,79.33,436.33
15.86,43.5,1021.22,75.38,459.42
25.24,67.45,1013.56,50.91,438.99
27.88,68.94,1007.68,75.68,435.04
17.23,41.1,1002.45,68.88,464.18
24.86,63.47,1011.5,71.78,441.68
11.56,39.28,1011.27,82.05,477.71
22.63,45.61,1014.14,73.06,457.88
16.2,45.76,1014.73,89.84,460.87
21.78,68.28,1001,79.3,443.24
27.58,57.19,1007.88,52.95,435.7
20.29,49.69,1008.94,69.91,454.74
7.68,42.85,1012.51,91.51,479.16
17.66,44.9,1020.5,71.33,457.11
15.34,41.23,996.87,86.56,465.16
20.15,65.59,1014.62,79.39,449.84
10.61,41.58,1021.08,93.06,465.15
17.1,49.69,1005.53,81.82,457.32
27.26,73.18,1012.58,74.83,429.92
11.43,44.78,1013.43,82.45,471.09
25.65,68.08,1011.27,75.26,435.91
26.36,54.5,1015.35,66.87,451.81
27.71,66.93,1016.85,58.77,447.06
9.95,41.82,1033.09,69.44,477.52
9.53,38.38,1020.49,80.08,478.03
26.85,57.19,1007.9,60.04,438.01
11.39,40.27,1009.04,73.13,474.93
10.95,40.22,1010.04,78.96,477.23
6.03,41.17,1019.81,84.2,488.57
21.91,58.62,1015.95,72.87,450.23
13.56,39.52,1016.61,78.35,470.67
11.88,41.58,1016.56,90.18,465.47
27.6,73.42,1011.91,83.66,431.44
19.34,64.79,1018.03,84.77,454.59
12.66,43.67,1012.49,95.96,472.44
30.28,67.22,1014.39,53.32,447.67
26.77,68.08,1010.83,63.48,432.91
24.41,69.48,1008.34,76.13,435.38
30.01,65.18,1012.87,43.95,436.91
29.85,71.58,1010.04,58.66,432.26
31.25,69.51,1010.25,36.83,428.77
10.07,40.92,1021.84,84.18,471.71
29.87,69.13,1001.08,72.75,426.47
11.84,40.05,1014.54,86.78,473.82
31.38,71.32,1009.17,60.42,433.44
30.2,73.67,1006.31,62.14,428.72
25.45,75.23,1011.41,73.33,441.65
16.41,41.48,1016.28,45.19,451.93
13.8,44.21,1022.93,83.37,468.97
18.97,44.85,1014.86,46.31,466.17
27.67,59.14,1016.51,61.2,433.37
11.3,40.55,1005.97,97.99,476.72
25.33,73.21,1002.19,97.24,433.43
26.06,65.34,1014.07,57.63,444.55
18.75,41.1,1001.97,59.6,458.31
28.22,51.43,1006.06,63.72,438.43
10.05,41.58,1021.35,95.19,469.03
24.44,52.84,1006.39,49.05,440.2
28.38,72.39,998.93,73.85,432.02
20.29,65.27,1013.17,74.94,445.52
25.15,62.91,1012.23,48.22,444.19
32.42,65.74,1010.97,52.73,439.01
31.7,69.13,1000.29,46.27,427.95
23.6,62.44,1011.52,78.12,440.66
23.59,58.62,1017.81,66.68,448.09
31.11,75.33,1002.32,64.25,433.37
17.16,58.86,1016.4,86.39,453.76
18.17,52.08,1001.91,100.09,451.06
20.28,62.52,1017.89,75.67,452.45
32.91,73.68,1014.49,50.62,426.28
21.71,60.77,1017.95,85.07,444.59
10.69,36.71,1022.08,83.28,472.81
25.41,66.49,1014.06,51.09,449.2
15.8,41.2,1016.08,77.83,468.55
22.06,43.43,1010.46,58.01,448.92
7.26,36.08,1021.47,83.15,483.58
27.83,72.29,1012.04,48.86,445.73
13.85,44.9,1019.11,76.79,467.2
23.18,51.3,1012.04,78.64,448.86
23.25,72.99,1009.17,89.85,438.51
28.8,70.02,1010.76,49.61,435.45
23.36,65.18,1012.35,78.09,436.39
14,41.78,1010.96,48.37,465.62
12.43,43.22,1008.93,77.42,468.01
10.27,42.34,1022.69,92.78,474.55
29.78,65.74,1012.13,44.96,441.51
6.86,38.08,1019.62,77.37,486.92
25.66,77.54,1008.22,78.42,432.82
21.22,59.15,1014.68,59.71,450.96
23.93,68.28,1005.16,69.91,444.95
30.27,70.32,1007.93,51.61,430.22
22.29,45.01,1012.4,51.58,449.08
26.2,60.07,1014.75,59.41,440.89
27.91,63.76,1010.27,65.67,435.21
25.68,46.21,1011.01,57.53,442.98
7.91,39.96,1023.57,88.44,475.52
19.81,43.56,1013.39,38.13,460.59
25.69,57.32,1012.34,44.18,441.43
15.69,44.6,1014.06,61.51,462.07
10.15,41.17,1019.38,82.3,480.71
9.73,41.01,1021.76,97.71,469.11
26.85,74.16,1008.66,93.8,431.16
15.24,39.39,1013.01,74.24,469.79
10.8,41.66,1013.79,81.96,475.51
19.67,60.77,1017.33,88.13,444.87
17.77,43.72,1009.01,77.7,456.34
12.56,41.4,1019.23,74.26,472.54
11.62,39.72,1018.4,68.06,471.56
12.93,39.58,1010.93,75.9,473.09
27.22,66.49,1013.45,42.41,437.24
29.45,75.6,1018.12,50.68,437.31
26.49,71.73,1010.07,74.48,431.06
28.14,51.43,1012.16,52.67,445.33
14.95,43.52,1022.43,94.75,464.98
9.45,41.4,1027.34,86.66,475.49
31.21,66.44,1008.57,65.76,430.7
4.78,42.85,1013.39,93.36,481.47
23.1,59.43,1007.36,85.96,440.64
13.87,45.08,1024.42,81.69,465.48
15.87,45,1021.92,40,470.85
25.01,68.63,1013.76,43.65,447.12
15.09,41.76,1022.4,76.22,463.27
11.33,41.16,1019.05,87.13,468.87
9.45,43.5,1018.89,84.29,476.1
26.23,70.72,1009.73,73.44,445.28
6.14,38.5,1012.4,75.35,489.26
12,41.17,1019.48,58.71,474.4
14.96,43.02,1012.77,42.93,467.16
24.78,50.78,1008.81,62.97,443.98
14.58,41.92,1030.42,61.96,462.69
25.04,66.48,1004.12,63.01,433.83
5.63,39.22,1013.35,77.67,486.83
28.88,63.76,1010.16,56.34,435.54
22.95,63.94,1013.91,81.52,438.33
19.46,56.89,1014.02,84.95,447.86
27.06,72.58,1009.24,90.31,429.18
11.06,37.92,1008.76,67.32,473.16
23.45,69.05,1003.03,66.41,440.24
25.82,57.19,1007.99,62.95,440.8
26.55,69.45,1013.88,55.39,435.64
9.29,39.04,1022.72,74.29,482.55
32.16,66.25,1008.17,56.88,434.5
18.93,67.71,1005.04,82.4,444.55
25.56,50.05,1005.67,69.29,442.49
16.07,47.83,1006.99,86.49,458.18
31.35,71.32,1005.99,62.35,434.43
30.97,67.9,1005.98,55.6,428.26
33.82,72.29,1008.67,46.95,432.13
14.32,44.6,1013.85,68.13,466.36
20.06,60.77,1017.19,88.73,447.35
26.3,67.07,1006.26,63.79,433.72
22.18,45.09,1014.04,43.13,455.4
28.54,72.99,1007.42,67.87,432
23.56,73.18,1012.18,87.98,437.92
13.67,41.48,1017.51,63.54,463.97
28.53,49.3,1003.83,59.69,438.17
22.56,70.79,1005.85,93.09,435.14
6.22,38.68,1017.87,69.41,483.55
30.55,68.24,1009.43,63.84,426.8
21.73,50.32,1008.51,84.62,442.1
29.1,76.2,1006.28,60.22,435.97
27.34,63.78,1016.5,48.4,446.56
22.17,70.47,1011.07,82.57,441.14
18.43,44.63,1019.76,39.99,458.75
10.31,40.67,1017.61,69.61,485.25
10.32,41.01,1021.04,95.3,467.81
25.27,63.91,1009.82,75.48,440.39
25.45,63.76,1009.96,67.78,439.56
19.29,50.16,1010.49,97.78,450.21
24.96,69.68,1011.37,63.12,447.2
2.8,39.64,1011.01,82.96,482.66
14.95,39.31,1009.15,75.3,462.72
10.04,39.66,1015.84,82.31,480.63
18.3,37.2,1012.23,68.09,470.42
20.2,60.1,1010.66,84.24,451.17
32.07,70.94,1006.91,49.9,432.33
29.99,74.9,1003.84,64.43,435.87
29.13,68.3,1014.96,37.08,437.25
26.13,73.21,1002.12,92.02,435.34
26.06,58.59,1012.41,55.22,451.47
24.6,71.73,1010.08,78.77,436.28
22.69,59.44,1012.97,83.47,446.43
24.84,59.22,1013.18,83.08,442.7
6.91,39.37,1019.58,71.02,488.2
10.77,41.46,1021.42,87.18,479.22
8.04,40.64,1020.64,89.26,477.78
16.85,39.64,1008.82,80.81,464.2
25.5,58.79,1016.02,64.4,440.01
21.53,52.84,1005.06,88.22,444.04
35.03,68.27,1006.55,43.82,426.22
28.29,61.86,1011.87,64.17,438.25
8.66,41.01,1022.51,98.55,472.16
16.48,41.35,1005.61,89.07,465.64
10.91,40.1,1014.07,91.45,478.34
13.27,52.75,1025.86,65.12,464.82
21.37,81.56,1006.57,81.56,434.38
13.9,41.17,1016.84,72.9,468.96
30.25,68.24,1006.58,31.9,432.05
12.38,43.52,1022.98,100,467.55
17.25,43.14,1018.34,76.17,462.8
28.92,66.51,1015.5,34.51,439.09
31.74,79.74,1007.07,61.47,431.72
26.93,75.23,1010.19,62.12,434.1
31.06,67.17,1007.62,65.54,437.91
10.4,45.01,1018.58,93.48,470.79
25.71,52.84,1006.32,53.29,445.54
25.2,57.5,1015.19,59.62,446.26
33.37,73.88,1005.8,47.94,436.76
13.03,39.52,1016.68,83.09,473.99
16,40.66,1016.12,89.23,457.12
24.27,57.85,1012.81,63.48,445.1
21.7,64.69,1007.93,78.37,448.76
6.28,43.02,1013.72,88.13,487.17
24.49,65.06,1014.07,63.32,441.4
19.21,53.16,1013.18,81.64,454.01
25.2,65.59,1013,71.34,439.14
9.23,42.44,1014.34,94.2,481.29
9.84,36.66,1026.7,70.02,477.62
19.94,38.52,1018.4,55.9,450.48
26.17,70.47,1010.25,68.96,434.56
18.5,41.85,1015.81,64.78,466.8
7.31,42.18,1014.75,86.75,477.38
28.31,64.79,1016.58,60.88,440.96
19.31,43.56,1013.65,41.54,463.35
28.28,61.86,1012.07,64.49,439.65
29.13,66.56,1006.63,52.85,439.31
10.2,41.17,1019.56,82.46,479.7
20.55,68.63,1012.5,67.07,453.47
23.01,58.79,1009.71,84.22,444.64
10.95,39.22,1015.69,62.3,474.07
14.54,43.14,1010.26,82.98,465.45
26.29,68.24,1010.71,76.95,429.71
9.86,38.38,1018.22,85.35,479.56
26.1,66.25,1009.25,84.52,441.53
31.84,71.37,1003.51,46.22,432.04
17.88,46.97,1013.73,67.78,456.77
27.75,66.54,1010.21,46.37,437.58
14.43,41.76,1024.02,83.57,467.33
11.33,41.5,1013.58,88.7,475.01
19.1,56.53,1020.18,76.38,455.52
25.4,65.34,1013.11,53.93,445.82
18.53,61.27,1019.84,75.22,454.72
28.01,51.43,1011.6,49.2,449.82
26.38,44.89,1009.14,51.79,442.13
29.39,68.24,1009.06,66.76,427.96
12.16,40.81,1025.79,70.97,476.63
21.63,60.84,1018.16,77.53,445.93
23.94,51.95,1008.18,71.87,451.84
17.79,43.52,1020.65,68.29,458.57
21.33,63.86,1020.33,72.13,445.02
9.43,41.4,1028.03,84.98,474.16
25.37,44.89,1009.27,63.06,442.38
30.06,69.14,1007.5,72.48,436.89
17.12,49.5,1014.79,87.03,463.39
15.56,40.12,1013.72,89.78,461.21
30.53,73.21,1000.37,74.17,430.2
17.86,50.88,1015.59,88.28,457.33
20.92,63.86,1020.49,72.98,449.09
