ID,climbRate,Sgz,p,q,curRoll,absRoll,diffClb,diffRollRate,diffDiffClb,SaTime1,SaTime2,SaTime3,SaTime4,diffSaTime1,diffSaTime2,diffSaTime3,diffSaTime4,Sa,TARGET
49,146,-6,0.18,0.11,0.6,-10,-9,-0.007,-0.1,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.021
50,-182,-6,-0.33,0.14,0.4,-11,-11,-0.016,0,-0.0009,-0.0009,-0.0009,-0.0009,0.0001,0,0,0,-0.0009,0.018
52,-88,-16,-0.38,-0.05,-0.8,-12,11,0.006,-0.4,-0.0006,-0.0006,-0.0006,-0.0007,0,0,0.0001,0,-0.0007,0.016
53,330,-11,-0.09,-0.13,-1.4,-12,19,0.012,0.2,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.018
54,509,-3,0.06,0.04,-1.4,-12,5,0.011,-1.9,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.019
57,14,52,0.03,0.14,0.9,-10,-12,-0.015,0.1,-0.0009,-0.0009,-0.0009,-0.0009,0,0,0,0,-0.0009,0.02
58,-263,40,-0.51,0.09,-0.6,-11,-5,-0.007,0,-0.0009,-0.0009,-0.0009,-0.0009,0,0,0,0,-0.0009,0.018
59,275,36,0.49,0.01,-0.6,-11,5,0.002,-0.2,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.019
64,-149,-40,0.11,0.07,1.5,-9,-5,-0.01,0.1,-0.0008,-0.0007,-0.0007,-0.0007,-0.0002,0,0,0,-0.0007,0.02
66,-241,-48,-0.31,0.05,1.3,-10,1,-0.018,-0.5,-0.0009,-0.0009,-0.0009,-0.0009,0,0,0,0,-0.0009,0.018
67,-202,-56,-0.42,0,0.5,-11,3,0.001,0.3,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.017
69,528,-34,0.2,0.01,-0.7,-12,6,0.008,-0.3,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.019
71,172,17,-0.18,0.15,0,-11,-12,-0.008,-0.3,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.019
72,6,21,-0.24,0.09,-0.8,-12,-5,-0.001,-0.1,-0.0006,-0.0006,-0.0006,-0.0007,0.0001,0,0.0001,0,-0.0007,0.018
73,106,23,0.04,0.01,-1,-12,5,0.01,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.019
74,-311,13,-0.2,0.07,0.1,-11,-3,0.004,-0.3,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.018
76,-102,-9,-0.17,0.09,0.8,-10,-6,-0.01,0,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.018
77,357,9,0.33,0.02,-0.2,-11,3,0.002,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.019
78,321,21,0.27,0.1,0.6,-10,-7,-0.011,-0.4,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.02
79,-16,33,-0.46,0.11,0.1,-11,-8,-0.014,0,-0.0009,-0.0009,-0.0009,-0.0009,0.0001,0,0,0,-0.0009,0.018
80,320,48,0.41,0.01,-0.7,-12,5,0.009,-0.1,-0.0006,-0.0006,-0.0006,-0.0005,0,0,-0.0001,0,-0.0005,0.019
82,272,60,0.48,0.16,0.4,-11,-12,-0.006,-0.9,-0.0008,-0.0008,-0.0008,-0.0007,0,0,-0.0002,0,-0.0007,0.021
83,62,64,0.24,0.16,1,-10,-15,-0.017,0,-0.0009,-0.0009,-0.0009,-0.0009,0,0,0,0,-0.0009,0.02
84,-499,48,-0.27,0.15,0.8,-10,-13,-0.01,0,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.018
85,-299,-18,0.12,0.01,-0.6,-12,5,0.008,0,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.017
86,-270,-21,0.17,-0.07,-0.6,-11,5,0.008,0.5,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.018
87,-173,-29,0.09,0.04,-0.1,-11,1,-0.007,-0.3,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.017
90,193,60,0.06,0.1,0.1,-11,-7,-0.009,0,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.02
91,-380,53,-0.17,0.15,-0.4,-11,-12,-0.003,0,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.018
93,-92,14,0.28,-0.06,-0.5,-11,11,0.01,0.1,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.018
94,356,40,0.45,0.03,-0.3,-11,2,0.002,0,-0.0007,-0.0007,-0.0007,-0.0006,-0.0002,0,-0.0002,0,-0.0006,0.019
95,296,51,0.35,0.09,0.5,-11,-6,-0.008,0.3,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.021
99,-146,17,0.16,0.1,1.4,-10,-7,-0.013,-0.1,-0.0007,-0.0008,-0.0008,-0.0008,0.0001,0,0,0,-0.0008,0.018
101,346,76,0.54,0.07,0.5,-11,-4,0.004,-0.1,-0.0007,-0.0007,-0.0007,-0.0005,-0.0002,0,-0.0003,0,-0.0005,0.02
102,-455,73,-0.23,0.16,1.4,-10,-15,-0.012,0,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.018
105,253,48,0.29,0.04,-0.5,-11,2,0.003,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.019
106,-16,60,0.01,0.11,0.6,-10,-9,-0.01,-0.1,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.02
107,-212,55,-0.27,0.12,0.3,-11,-9,-0.011,-0.1,-0.0009,-0.0009,-0.0009,-0.0009,0,0,0,0,-0.0009,0.018
109,177,11,0.21,-0.03,-0.5,-11,9,0.007,-0.2,-0.0007,-0.0006,-0.0006,-0.0005,-0.0002,0,-0.0001,0,-0.0005,0.018
110,260,87,0.12,0.06,1.1,-10,-4,-0.015,0.1,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.019
111,-120,94,-0.36,0.12,0.4,-11,-9,-0.008,0,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.018
112,13,77,0.42,0.04,-0.3,-11,2,0.005,-0.2,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.02
113,-337,71,0.3,0.17,1.2,-10,-15,-0.01,-0.1,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.018
114,-514,33,-0.23,0.06,1.5,-10,-4,-0.015,0.1,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.017
115,-423,9,-0.45,0,0.4,-11,5,-0.005,-0.1,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.016
116,172,-5,-0.13,-0.08,-1.2,-12,14,0.009,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.017
119,-242,-20,-0.65,0.03,-0.6,-11,2,-0.007,0.1,-0.0012,-0.0012,-0.0012,-0.0012,0,0,0,0,-0.0012,0.03
120,-225,-23,-0.65,-0.02,-1.2,-11,2,0.011,0.3,-0.0006,-0.0007,-0.0007,-0.0008,0.0001,0,0.0001,0,-0.0008,0.029
121,-29,-30,-0.02,0.01,-2.2,-12,6,0.019,-0.2,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.03
122,77,-22,0.37,0.06,-0.5,-10,-2,-0.001,-0.2,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.029
123,123,-18,0.26,0.02,0.6,-9,2,-0.006,-0.1,-0.0009,-0.0009,-0.0009,-0.0009,0,0,0,0,-0.0009,0.031
124,-12,-14,-0.15,0.13,0.8,-9,-9,-0.019,-0.3,-0.0012,-0.0012,-0.0012,-0.0012,0,0,0,0,-0.0012,0.029
125,-75,-15,-0.28,0.02,0.6,-9,-7,-0.017,1.3,-0.0012,-0.0012,-0.0012,-0.0012,0,0,0,0,-0.0012,0.028
126,-86,-16,-0.38,-0.06,0.4,-10,2,-0.008,1.2,-0.0009,-0.0009,-0.0009,-0.001,0,0,0.0001,0,-0.001,0.027
127,184,-12,-0.1,0.01,-1,-11,5,0.007,-0.1,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.029
128,165,-3,0.02,0.09,-1.1,-11,-4,0.003,-0.3,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.03
130,66,-4,0.11,0.01,0.3,-10,3,-0.009,-0.2,-0.0009,-0.0009,-0.0009,-0.0009,0,0,0,0,-0.0009,0.028
133,162,-11,0.11,-0.09,-0.9,-11,14,0.01,-0.2,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.027
134,179,-2,0.29,0.1,-0.4,-10,-5,0.006,-0.4,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.029
135,-277,-4,0.14,0.19,0.6,-9,-16,-0.009,0,-0.0009,-0.0009,-0.0009,-0.0009,0,0,0,0,-0.0009,0.024
137,100,-34,0.3,-0.07,-0.4,-10,10,0.015,-0.1,-0.0005,-0.0004,-0.0004,-0.0004,-0.0001,0,0,0,-0.0004,0.026
138,25,-26,0.46,0.1,1.5,-9,-7,-0.006,-0.5,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.025
139,-17,-26,0.43,0.02,1.8,-8,-8,-0.006,0.5,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.024
140,114,-18,-0.45,0.01,1.3,-9,2,-0.002,0,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.023
141,259,0,-0.06,0.02,-0.6,-10,3,0.01,-0.1,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.024
142,265,5,0.03,0.14,-0.6,-11,-6,0.007,-1.7,-0.0005,-0.0005,-0.0005,-0.0006,0,0,0.0001,0,-0.0006,0.025
145,-93,11,0.36,0.1,0.8,-9,-8,0,-0.2,-0.0007,-0.0007,-0.0007,-0.0006,0,0,-0.0002,0,-0.0006,0.023
147,-291,-8,-0.03,0.07,2.1,-8,-6,-0.012,-0.1,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.021
148,492,3,0,-0.03,-0.6,-11,7,0.007,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.024
149,416,18,0.14,0.11,-0.5,-10,-13,0.007,1.3,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.023
150,395,19,0.15,0.13,-0.5,-10,-11,0.007,0.8,-0.0006,-0.0006,-0.0006,-0.0006,-0.0001,0,0,0,-0.0006,0.024
151,205,30,0.05,0.12,-0.2,-10,-10,-0.009,0.1,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.025
152,-273,30,-0.27,0.2,-0.5,-10,-18,-0.01,0,-0.0008,-0.0009,-0.0009,-0.0009,0.0001,0,0,0,-0.0009,0.022
155,415,-3,0.29,-0.1,-0.7,-11,15,0.003,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.023
156,88,31,0.31,0.14,1.3,-9,-13,-0.006,-0.1,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.024
157,-178,29,0.1,0.16,1.7,-8,-15,-0.013,0.1,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.021
158,-334,-2,-0.3,0.04,0.9,-9,-2,-0.004,0,-0.0006,-0.0007,-0.0007,-0.0007,0.0001,0,0,0,-0.0007,0.02
160,19,-9,0.07,0.12,0.1,-10,-10,-0.001,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.021
161,-104,-12,0.06,0.07,0.3,-10,-4,-0.001,-0.2,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.02
164,44,5,-0.16,-0.01,0.8,-9,4,-0.005,-0.2,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.02
169,239,-25,-0.11,-0.04,0.3,-10,7,-0.007,-0.1,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.02
170,-150,-11,0.04,0.09,-1.4,-11,-5,0.004,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.019
172,75,-25,-0.42,-0.07,0.5,-9,9,-0.009,0.1,-0.0005,-0.0007,-0.0007,-0.0008,0.0001,0,0.0001,0,-0.0008,0.018
173,371,-12,-0.17,-0.04,-0.6,-10,8,0.009,0,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.019
174,420,-8,-0.12,0.04,-0.7,-11,8,0.008,-0.6,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.021
175,-221,11,0.29,0.14,0.9,-9,-13,-0.003,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,-0.0002,0,0,0,-0.0006,0.019
177,3,-27,-0.32,-0.07,1.1,-9,10,-0.008,0,-0.0005,-0.0006,-0.0006,-0.0007,0,0,0.0001,0,-0.0007,0.018
178,23,-27,-0.32,-0.09,1.1,-9,10,-0.002,0.2,-0.0005,-0.0005,-0.0005,-0.0006,0.0001,0,0,0,-0.0006,0.017
179,463,-7,0.13,-0.05,0.6,-9,9,0.009,-0.1,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.018
180,605,12,0.17,-0.04,0.9,-9,6,-0.001,0,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.02
181,544,32,0.06,0.09,1.2,-9,-8,-0.009,0.6,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.022
183,-373,35,-0.33,0.1,0.2,-10,-8,-0.004,0.2,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.018
184,-276,17,-0.26,-0.02,-0.8,-11,7,0.004,-0.2,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.019
185,-199,8,-0.05,0.03,-1.2,-11,2,0.01,-0.2,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.018
186,131,5,0.4,-0.04,-0.4,-10,8,0.008,-0.1,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.02
187,-279,4,-0.09,0.11,1.4,-9,-10,-0.012,0,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.018
188,-64,-21,-0.44,-0.02,-0.8,-11,6,0.002,-0.1,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.019
189,122,-18,0.34,0.03,-1.6,-12,3,0.012,-0.1,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.02
190,139,-17,0.41,0.1,-1.4,-11,2,0.01,-0.7,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.023
191,-123,-15,0.57,0.22,-0.5,-10,-26,0.007,1.2,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.022
192,-214,-16,0.6,0.24,-0.3,-10,-23,0.006,0.3,-0.0005,-0.0005,-0.0005,-0.0005,-0.0001,0,-0.0001,0,-0.0005,0.023
194,-670,-44,0.33,0.05,1.4,-9,-4,-0.014,-0.3,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.016
195,-628,-57,0.15,-0.28,1.7,-8,20,-0.018,4.3,-0.0008,-0.0008,-0.0008,-0.0008,0,0,0,0,-0.0008,0.015
196,-326,-68,-0.03,-0.19,1.8,-8,21,-0.011,0.6,-0.0007,-0.0007,-0.0007,-0.0007,-0.0001,0,0,0,-0.0007,0.014
197,589,-62,-0.2,-0.24,1.3,-9,29,0.002,0,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.017
199,973,-25,-0.13,0.09,0.9,-9,-4,0.001,-2.3,-0.0007,-0.0006,-0.0006,-0.0006,-0.0002,0,-0.0002,0,-0.0006,0.021
200,943,-13,-0.18,0.24,0.8,-9,-6,-0.01,-2.2,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.025
202,-214,15,-0.29,0.34,-0.5,-10,-33,0.006,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.02
203,-509,9,-0.26,-0.02,-0.7,-11,-22,-0.001,4.1,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.018
205,-253,-30,0.54,-0.12,-0.2,-10,20,0.017,-0.3,-0.0004,-0.0003,-0.0003,-0.0003,-0.0002,0,-0.0001,0,-0.0003,0.017
206,293,-25,0.02,-0.05,2.1,-8,7,-0.02,-0.1,-0.0008,-0.0008,-0.0008,-0.0008,0.0001,0,0,0,-0.0008,0.019
207,316,14,-0.09,0.02,0.8,-9,1,0.006,-0.1,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.022
208,189,21,-0.01,0.2,0.7,-9,-25,0.002,0.2,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.023
210,-732,1,0.01,0.14,0.7,-9,-9,0.003,0.1,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.018
212,-547,-43,0.07,-0.08,0.9,-9,11,-0.003,0,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.014
213,555,-46,0.13,-0.24,1.3,-9,28,0.001,-0.1,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.019
216,23,-3,-0.32,-0.03,-0.2,-10,7,0.008,0.1,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.019
217,105,4,0.07,0.04,-0.8,-11,1,0.008,0,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.021
218,-468,-7,0.05,0.17,0.1,-10,-16,-0.009,0.1,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.018
219,-512,-25,-0.04,0.02,0.1,-10,3,-0.004,-0.9,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.016
220,345,-37,-0.09,-0.12,-0.4,-10,16,-0.001,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.018
221,507,-24,-0.1,-0.03,-0.5,-10,4,-0.002,0.9,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.022
223,-147,-6,-0.04,0.26,-0.9,-11,-27,0.007,0.5,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.017
224,107,-17,0.37,-0.09,-0.2,-10,13,0.008,0,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.02
226,-215,-19,-0.12,0.03,1.5,-9,5,-0.011,-1,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.016
227,66,-23,-0.44,-0.1,0.8,-9,14,-0.013,0.2,-0.0008,-0.0008,-0.0008,-0.0008,0.0001,0,0,0,-0.0008,0.017
228,213,-20,-0.44,-0.1,0.2,-10,11,0.009,0.3,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.021
229,39,-9,-0.12,0.14,-0.8,-11,-13,0.01,0.2,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.022
230,-192,-11,0.13,0.18,-0.8,-11,-17,0.016,0.5,-0.0004,-0.0004,-0.0004,-0.0004,0,0,0,0,-0.0004,0.015
231,-261,-16,0.32,-0.35,-0.5,-10,22,0.016,7.1,-0.0003,-0.0003,-0.0003,-0.0003,0,0,0,0,-0.0003,0.016
232,342,-12,0.28,-0.12,0.8,-9,16,-0.006,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.021
234,150,8,-0.38,-0.09,-1.4,-11,15,0.016,0.2,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.02
241,28,16,-0.07,0.16,-0.7,-11,-14,0.007,0,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.02
242,-369,1,0.15,0.12,0.1,-10,-10,-0.005,-0.2,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.018
244,164,-40,-0.16,-0.09,-0.7,-11,19,0.001,-0.7,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.018
245,501,-15,0.19,-0.02,-0.7,-11,6,0.007,-0.1,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.022
246,280,1,0.33,0.2,-0.2,-10,-18,0.006,0.6,-0.0007,-0.0005,-0.0005,-0.0005,-0.0003,0,0,0,-0.0005,0.023
247,-236,2,0.01,0.27,0.4,-10,-26,-0.018,-0.3,-0.0009,-0.0009,-0.0009,-0.0009,0,0,0,0,-0.0009,0.018
248,-415,-13,-0.3,0.03,0,-10,-2,-0.013,-0.4,-0.0008,-0.0008,-0.0008,-0.0008,0.0001,0,0,0,-0.0008,0.016
249,-55,-25,-0.14,-0.14,-0.7,-11,18,0.01,0.3,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.017
250,211,-22,0.07,-0.09,-0.8,-11,13,0.011,0.3,-0.0005,-0.0005,-0.0005,-0.0005,0,0,0,0,-0.0005,0.02
251,-280,-15,-0.01,0.12,0.4,-10,-10,-0.006,0,-0.0007,-0.0007,-0.0007,-0.0007,0,0,0,0,-0.0007,0.018
252,-106,-37,-0.04,-0.01,0.2,-10,4,0,-0.1,-0.0006,-0.0006,-0.0006,-0.0006,0,0,0,0,-0.0006,0.016
