ID,climbRate,Sgz,p,q,curPitch,curRoll,absRoll,diffClb,diffRollRate,diffDiffClb,SeTime1,SeTime2,SeTime3,SeTime4,SeTime5,SeTime6,SeTime7,SeTime8,SeTime9,SeTime10,SeTime11,SeTime12,SeTime13,SeTime14,diffSeTime1,diffSeTime2,diffSeTime3,diffSeTime4,diffSeTime5,diffSeTime6,diffSeTime7,diffSeTime8,diffSeTime9,diffSeTime10,diffSeTime11,diffSeTime12,diffSeTime13,diffSeTime14,alpha,Se,TARGET
22,-146,-84,0.09,-0.12,0.74,-0.6,-12,15,3,-0.3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,20,-0.001
23,478,-52,-0.14,0.04,0.18,-0.4,-11,2,-6,-0.2,23,23,23,23,23,23,23,23,23,23,23,23,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,23,-0.0009
24,488,-47,-0.16,0.04,0.17,-0.5,-11,2,-5,0,22,23,23,23,23,23,23,23,23,23,23,23,23,23,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0.6,23,-0.0007
25,515,-34,-0.17,0.01,0.14,-0.8,-12,3,9,0.3,22,22,22,22,22,22,22,22,22,22,22,22,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,22,-0.0008
26,341,4,0.19,0.15,0.36,-0.7,-12,-11,6,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,25,-0.001
27,-253,8,-0.03,-0.03,0.88,0.1,-11,-6,-8,3,23,23,23,23,23,23,23,23,23,23,23,23,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,23,-0.0009
28,-168,-13,-0.19,0.02,0.77,-0.7,-12,4,-2,-0.1,22,22,22,22,22,22,22,22,22,22,22,22,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,22,-0.0008
29,139,5,0.24,0.09,0.5,-0.4,-11,-5,2,-0.1,22,22,22,22,22,22,22,22,22,22,22,22,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,22,-0.0009
30,-26,7,0.03,0.02,0.6,0.6,-10,8,-7,-0.9,23,23,23,23,23,23,23,23,23,20,20,20,20,20,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0.6,20,-0.001
31,-31,7,-0.06,0.14,0.68,0.5,-10,-11,-8,-1,23,23,23,23,23,23,23,23,23,23,23,23,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,23,-0.0007
33,-323,-7,-0.22,0.09,0.9,0.7,-10,-3,-7,-0.4,20,20,20,20,20,20,20,20,20,22,22,22,22,22,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0.6,22,-0.0007
36,416,-6,0.31,0.1,0.18,0.4,-11,4,4,-1,22,22,22,22,22,22,22,22,22,22,22,22,22,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6,21,-0.0009
37,-385,1,-0.25,0.16,0.99,1.1,-10,-14,-10,0,20,20,20,20,20,20,20,20,20,20,20,22,22,23,0,0,0,0,0,0,0,0,0,0,-2,0,-2,0,0.6,23,-0.0008
38,-428,-12,-0.35,0.05,0.98,0.7,-10,-2,-3,-0.6,20,20,20,20,20,20,20,20,20,20,20,20,20,20,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,20,-0.0007
39,74,-41,0.16,-0.03,0.47,-0.7,-12,8,9,-0.1,20,19,19,19,19,19,19,19,19,19,19,19,19,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,19,-0.0009
40,-23,-23,-0.28,0.08,0.6,-0.6,-12,-4,-4,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,20,-0.0007
41,-111,-36,0.36,-0.04,0.63,-0.5,-11,5,4,1.4,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,19,-0.0009
42,-32,-38,0.37,0.12,0.58,0.3,-11,3,-10,-1,19,20,20,20,20,20,20,20,20,20,20,20,20,20,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,20,-0.0008
43,-105,-40,0.22,-0.03,0.65,0.8,-10,-2,-7,1.5,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,19,-0.001
45,-80,-47,-0.31,-0.07,0.6,0.7,-10,3,-11,1.7,19,18,18,18,18,18,18,18,18,18,18,18,18,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,18,-0.0007
46,280,-22,0.27,0.04,0.28,-0.5,-11,2,4,-0.1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,19,-0.0008
47,216,-9,0.24,0.1,0.37,0.4,-11,-8,-7,0.5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,20,-0.001
50,-245,-12,-0.45,-0.03,0.74,-0.2,-11,6,-4,1.1,17,17,17,17,17,17,17,17,17,17,17,17,17,18,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0.5,18,-0.0006
51,180,-15,-0.19,-0.11,0.3,-1.3,-12,20,13,-0.7,17,16,16,16,16,16,16,16,16,16,16,16,16,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,16,-0.0007
52,493,27,0.33,0.09,0.11,-0.7,-12,-8,6,0.6,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,20,-0.0008
53,301,45,0.32,0.13,0.29,0.3,-11,-11,-8,0.1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,20,-0.001
54,-220,44,-0.44,0.09,0.75,-0.1,-11,-5,-9,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,20,-0.0007
55,-241,33,-0.41,0.01,0.72,-1.4,-12,9,13,-0.5,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,18,-0.0006
57,243,34,0.48,0.01,0.29,-0.8,-12,6,3,-0.2,19,19,19,18,18,18,18,18,18,18,18,18,18,18,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,18,-0.0008
60,-152,55,-0.46,0.07,0.68,-0.1,-11,-4,-2,0.3,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,19,-0.0007
61,-191,32,0.19,0.06,0.7,-1.6,-12,0,10,-0.1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,19,-0.0008
62,-226,22,0.28,0.08,0.74,-0.7,-12,-3,-4,-0.2,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,19,-0.0009
63,-132,-13,-0.24,0.03,0.64,-0.5,-11,3,-5,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,18,-0.0008
64,469,26,0.25,0.02,0.09,-0.4,-11,4,1,-0.1,19,19,19,19,19,19,19,19,19,19,19,18,18,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,18,-0.0009
65,103,72,-0.31,0.09,0.45,-0.6,-11,-5,-5,0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,19,-0.0007
66,-27,74,0.4,0.06,0.55,-0.8,-12,-2,6,-0.1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,19,-0.0008
70,-534,11,-0.28,0.07,1.02,-0.5,-11,-2,6,-0.1,18,18,18,18,18,18,18,18,18,19,19,19,19,19,-1,0,0,0,0,0,0,0,-2,0,0,0,0,0,0.5,19,-0.0006
71,-250,-26,0.28,-0.02,0.73,-0.6,-12,7,10,-0.1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,18,-0.0008
73,-226,-44,-0.13,0.09,0.76,1.6,-9,-8,-20,0.1,19,19,19,19,19,19,19,19,19,19,19,19,19,20,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0.6,20,-0.0008
75,-10,-61,-0.3,-0.06,0.5,-0.4,-11,10,7,0.2,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,17,-0.0006
76,257,-56,-0.1,-0.06,0.25,-0.9,-12,12,10,-0.2,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,17,-0.0007
77,517,-35,0.19,0.01,0.04,-0.7,-12,6,8,0,19,19,19,19,19,19,19,18,18,18,18,18,18,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,18,-0.0009
81,-14,32,0.18,0.08,0.55,0.4,-11,-5,-7,0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,19,-0.0009
83,48,-12,0.21,0.01,0.47,0.4,-11,4,2,-0.1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,18,-0.0008
84,70,-11,0.22,0.01,0.45,0.5,-11,4,1,-0.1,19,19,19,19,19,18,18,18,18,18,18,18,18,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.5,18,-0.0009
87,350,8,0.32,0.02,0.19,-0.2,-11,3,3,-0.1,19,19,19,19,19,19,19,18,18,18,18,18,18,18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,18,-0.0009
90,-5,32,-0.37,0.01,0.51,-0.9,-12,3,11,0.3,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,18,-0.0006
93,198,62,0.4,0.17,0.39,0.7,-10,-14,-17,-0.3,21,21,21,21,21,21,21,21,21,21,21,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,21,-0.0009
94,-375,55,-0.17,0.15,0.91,1.1,-10,-14,-11,0,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,20,-0.0008
95,-571,43,-0.31,0.06,1.08,0.7,-10,-12,-5,0.7,18,18,18,18,18,18,18,18,18,18,18,18,18,19,0,0,0,0,0,0,0,0,0,0,-1,0,-2,0,0.6,19,-0.0007
96,-347,-13,0.03,0.01,0.82,-0.7,-12,5,9,-0.1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,18,-0.0006
97,-318,-16,0.09,0.01,0.79,-0.7,-12,5,8,-0.1,17,17,17,17,17,18,18,18,18,18,18,18,18,18,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0.5,18,-0.0009
100,380,40,0.16,0.08,0.19,-0.7,-12,-3,7,-0.1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,19,-0.0009
101,231,58,0.11,0.11,0.33,0.1,-11,-7,-9,-0.2,20,20,20,19,19,19,19,19,19,19,19,19,19,19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,19,-0.0008
102,-447,49,-0.18,0.08,0.96,-0.5,-11,-12,-2,0.6,18,18,18,18,18,18,18,18,18,18,18,18,18,19,-1,0,0,0,0,0,0,0,0,0,0,0,-2,0,0.6,19,-0.0007
103,-410,33,-0.11,0.01,0.87,-0.8,-12,5,10,0.3,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,18,-0.0006
105,13,13,-0.32,0.05,0.51,-0.6,-11,1,-4,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,18,-0.0007
107,195,21,0.12,0.01,0.33,-1.7,-13,5,14,0.2,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,18,-0.0007
108,314,32,0.4,0.02,0.22,-0.9,-12,4,7,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,18,-0.0008
111,-45,58,-0.03,0.17,0.61,1,-10,-15,-16,-0.1,20,20,20,20,20,21,21,21,21,21,21,21,21,21,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0.6,21,-0.0008
112,-337,50,-0.23,0.06,0.86,0.7,-10,-12,-2,0.8,18,18,18,18,18,18,18,18,18,18,18,18,18,19,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0.6,19,-0.0006
113,-110,22,0.26,0.01,0.6,0.5,-11,4,7,-0.1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,18,-0.0009
114,-57,19,0.31,0.15,0.59,1.1,-10,-6,-10,-2.2,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,19,-0.0008
116,-182,11,-0.01,0.03,0.68,1.5,-9,-2,-9,-0.1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,18,-0.0007
117,138,0,0.18,0.01,0.38,1.4,-10,2,1,-0.1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,18,-0.0008
118,195,35,-0.34,0.04,0.33,-0.4,-11,1,3,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,18,-0.0006
120,366,71,0.48,0.07,0.19,0,-11,-3,9,-0.3,20,19,19,19,19,19,19,19,19,19,19,19,19,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,19,-0.0009
122,-511,70,-0.27,0.16,1.03,1.3,-10,-15,-12,0,18,18,18,18,18,18,18,18,18,19,19,19,19,20,0,0,0,0,0,0,0,0,-2,0,-1,0,-2,0,0.6,20,-0.0007
124,-152,17,0.14,-0.05,0.62,0.2,-11,10,9,-0.1,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,17,-0.0007
128,61,59,0.1,0.11,0.49,0.5,-10,-9,-10,-0.1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,19,-0.001
129,-129,58,-0.16,0.12,0.66,0.5,-11,-10,-13,0.1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,20,-0.0007
130,-236,42,-0.17,0.02,0.72,-0.6,-12,3,9,0.2,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,18,-0.0006
131,-145,33,0.12,0.02,0.63,-0.7,-12,4,11,-0.1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,18,-0.0008
134,-68,10,-0.11,0.04,0.57,-0.6,-12,2,6,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,18,-0.0006
135,57,9,0.1,-0.02,0.43,-0.7,-12,9,9,-0.7,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,17,-0.0008
136,159,11,0.19,-0.04,0.34,-0.5,-11,9,8,-0.1,18,18,18,18,18,18,18,17,17,17,17,17,17,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,17,-0.0009
137,187,27,-0.04,0.06,0.35,0.2,-11,-2,-8,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,18,-0.0008
138,158,41,-0.18,0.05,0.37,-0.6,-12,-1,-1,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,18,-0.0007
139,289,68,0.34,0.03,0.24,-0.2,-11,2,5,-0.1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,18,-0.0008
141,-120,94,-0.36,0.12,0.65,0.4,-11,-9,-8,0,18,18,18,18,18,18,18,18,18,19,19,19,19,19,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0.5,19,-0.0007
142,-187,88,-0.4,0.02,0.68,-0.5,-11,-1,7,0.7,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0.5,18,-0.0006
144,17,78,0.43,0.04,0.49,-0.2,-11,2,5,-0.3,20,20,20,20,20,20,20,20,20,20,20,18,18,18,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.5,18,-0.0008
145,-456,55,0.11,0.04,0.93,1.6,-9,-3,-9,0.1,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,18,-0.0009
148,-89,-29,-0.22,-0.01,0.93,-2.1,-12,6,20,0,29,29,29,29,29,29,29,29,29,29,29,29,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,29,-0.0009
150,107,-20,0.31,0.03,0.71,0.3,-10,2,-6,-0.4,29,29,29,29,29,29,29,29,29,29,29,29,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,29,-0.0013
151,4,-14,-0.12,0.12,0.85,0.8,-9,-8,-19,-0.1,29,29,29,29,29,29,29,31,31,31,31,31,31,31,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0.9,31,-0.0008
152,156,-13,-0.14,0,0.61,-0.9,-11,5,7,-0.1,28,28,28,27,27,27,27,27,27,27,27,27,27,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8,27,-0.0009
153,2,1,0.12,0.15,0.83,-1,-11,-10,4,0,30,30,30,30,30,30,30,30,30,30,30,30,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,30,-0.0008
154,-85,-4,0.22,0.03,0.82,-0.5,-10,8,3,-1.4,26,26,26,26,26,26,26,26,26,26,26,26,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,26,-0.001
155,-20,-2,-0.16,0.09,0.8,0.2,-10,-6,-8,-0.1,27,28,28,28,28,28,28,28,28,28,28,28,28,28,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,28,-0.0009
157,233,-6,0.23,0.12,0.55,-0.7,-11,-10,7,-0.8,27,27,27,27,27,27,27,27,27,27,27,27,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,27,-0.0009
158,75,1,0.28,0.21,0.73,0,-10,-17,-5,-0.9,29,29,29,29,29,29,29,29,29,29,29,29,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,29,-0.001
160,-330,-17,-0.18,0.02,1.03,0.5,-9,5,-16,-1.2,24,24,24,24,24,24,24,24,24,24,24,24,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,24,-0.0007
164,25,-26,0.46,0.1,0.7,1.5,-9,-7,-6,-0.5,24,24,24,25,25,25,25,25,25,26,26,26,26,26,0,0,-2,0,0,0,0,0,-2,0,0,0,0,0,0.7,26,-0.0009
171,-2,12,0.35,0.11,0.69,0.3,-10,-7,2,-0.5,24,24,24,24,24,24,24,24,24,24,24,24,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,24,-0.0008
172,-166,6,0.29,0.05,0.83,1.5,-8,-4,-5,-0.1,24,23,23,23,23,23,23,23,23,23,23,23,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,23,-0.0009
173,-248,-4,0.08,0.06,0.91,2.1,-8,-5,-12,0.1,24,24,24,24,24,24,24,24,24,24,24,24,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,24,-0.0008
176,432,-4,-0.07,-0.04,0.19,-0.6,-11,8,7,-0.1,23,21,21,21,21,21,21,21,21,21,21,21,21,21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,21,-0.0007
177,528,12,0.08,0.28,0.18,-0.6,-10,-9,8,-4.4,23,24,24,24,24,24,24,24,24,24,24,24,24,24,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,24,-0.0009
179,-74,33,-0.15,0.2,0.76,-0.3,-10,-17,-12,0.1,25,25,25,25,25,25,25,25,25,25,25,25,25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,25,-0.0009
180,-172,32,-0.21,0.2,0.86,-0.4,-10,-18,-11,-0.2,24,24,24,25,25,25,25,25,25,25,25,25,25,25,0,0,-2,0,-1,0,0,0,0,0,0,0,0,0,0.7,25,-0.0007
183,182,29,0.35,0.14,0.48,1,-9,-13,-6,-0.1,24,23,23,23,23,23,23,23,23,23,23,23,23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,23,-0.0009
184,-37,31,0.22,0.17,0.69,1.6,-8,-14,-13,-0.5,24,24,24,24,24,24,24,24,24,24,24,24,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,24,-0.0008
185,-320,5,-0.25,0.04,0.9,1.3,-9,-2,-6,-0.1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,21,-0.0007
186,-84,-15,0.06,0.02,0.65,0.4,-10,3,-1,-0.5,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,20,-0.0008
187,-9,-18,-0.21,0.03,0.58,0.1,-10,1,-6,-0.1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0.6,20,-0.0007
191,-264,-20,0.1,-0.02,0.77,-0.8,-11,6,11,-0.3,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,19,-0.0008
192,147,-10,-0.23,0.08,0.43,-0.5,-10,-5,-2,-0.1,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,20,-0.0007
193,-8,-22,0.34,0.02,0.54,0.5,-9,1,-1,-0.1,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,19,-0.0008
194,-46,-23,-0.12,0.04,0.59,1.4,-9,-3,-11,0,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,19,-0.0009
195,-67,-25,-0.29,-0.13,0.58,1,-9,2,-11,2,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,17,-0.0006
